prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=6, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,401,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,885,ADV,-50,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,1383,ADV,-45,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,1882,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,2400,ADV,-50,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,2883,ADV,-46,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,3382,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,3885,ADV,-50,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,4390,ADV,-46,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,4893,ADV,-45,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,5393,ADV,-50,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,5883,ADV,-45,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,6382,ADV,-45,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,6887,ADV,-50,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,7397,ADV,-45,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,7887,ADV,-44,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,8385,ADV,-50,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,8890,ADV,-44,e0:5a:1b:15:b2:ee,MF000A
