prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=8, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,380,ADV,-45,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,1381,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,2388,ADV,-50,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,3376,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,4379,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,5379,ADV,-49,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,6381,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,7387,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,8391,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,9376,ADV,-44,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,10383,ADV,-45,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,11379,ADV,-50,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,12376,ADV,-43,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,13380,ADV,-43,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,14379,ADV,-50,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,15379,ADV,-43,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,16381,ADV,-44,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,17379,ADV,-50,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,18379,ADV,-43,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,19378,ADV,-45,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,20379,ADV,-50,e0:5a:1b:15:b2:ee,MF000C
RX_DELTAE_SWEEP_20260115,21377,ADV,-43,e0:5a:1b:15:b2:ee,MF000D
RX_DELTAE_SWEEP_20260115,22384,ADV,-43,e0:5a:1b:15:b2:ee,MF000E
RX_DELTAE_SWEEP_20260115,23383,ADV,-50,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,24376,ADV,-43,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,25378,ADV,-44,e0:5a:1b:15:b2:ee,MF0011
RX_DELTAE_SWEEP_20260115,26379,ADV,-50,e0:5a:1b:15:b2:ee,MF0012
RX_DELTAE_SWEEP_20260115,27382,ADV,-43,e0:5a:1b:15:b2:ee,MF0013
RX_DELTAE_SWEEP_20260115,28378,ADV,-45,e0:5a:1b:15:b2:ee,MF0014
RX_DELTAE_SWEEP_20260115,29379,ADV,-48,e0:5a:1b:15:b2:ee,MF0015
