prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 19 2026 13:32:04
TXSD_DELTAE_SWEEP_20260115,12,4944,55400,273.9,7
TXSD_DELTAE_SWEEP_20260115,21,4948,57000,282.0,7
TXSD_DELTAE_SWEEP_20260115,31,4944,55400,273.9,7
TXSD_DELTAE_SWEEP_20260115,41,4948,57000,282.0,7
TXSD_DELTAE_SWEEP_20260115,51,4948,55500,274.6,7
TXSD_DELTAE_SWEEP_20260115,61,4948,57100,282.5,7
TXSD_DELTAE_SWEEP_20260115,71,4852,106000,514.3,8
TXSD_DELTAE_SWEEP_20260115,81,4816,138600,667.5,8
TXSD_DELTAE_SWEEP_20260115,91,4948,55500,274.6,8
TXSD_DELTAE_SWEEP_20260115,101,4948,57100,282.5,8
TXSD_DELTAE_SWEEP_20260115,111,4944,56100,277.4,8
TXSD_DELTAE_SWEEP_20260115,121,4948,56500,279.6,8
TXSD_DELTAE_SWEEP_20260115,131,4948,56100,277.6,8
TXSD_DELTAE_SWEEP_20260115,141,4948,56300,278.6,8
TXSD_DELTAE_SWEEP_20260115,151,4948,56100,277.6,8
TXSD_DELTAE_SWEEP_20260115,161,4948,56400,279.1,8
TXSD_DELTAE_SWEEP_20260115,171,4848,77900,377.7,9
TXSD_DELTAE_SWEEP_20260115,181,4852,160600,779.2,9
TXSD_DELTAE_SWEEP_20260115,191,4948,57100,282.5,9
TXSD_DELTAE_SWEEP_20260115,201,4948,55500,274.6,9
TXSD_DELTAE_SWEEP_20260115,211,4948,57000,282.0,9
TXSD_DELTAE_SWEEP_20260115,221,4944,55500,274.4,9
TXSD_DELTAE_SWEEP_20260115,231,4948,57100,282.5,9
TXSD_DELTAE_SWEEP_20260115,241,4944,55500,274.4,9
TXSD_DELTAE_SWEEP_20260115,251,4948,57100,282.5,9
TXSD_DELTAE_SWEEP_20260115,261,4944,55400,273.9,9
TXSD_DELTAE_SWEEP_20260115,271,4908,148500,728.8,10
TXSD_DELTAE_SWEEP_20260115,281,4852,165800,804.5,10
TXSD_DELTAE_SWEEP_20260115,291,4948,56400,279.1,10
TXSD_DELTAE_SWEEP_20260115,301,4948,56200,278.1,10
TXSD_DELTAE_SWEEP_20260115,311,4948,56400,279.1,10
TXSD_DELTAE_SWEEP_20260115,321,4948,56100,277.6,10
TXSD_DELTAE_SWEEP_20260115,331,4948,56400,279.1,10
TXSD_DELTAE_SWEEP_20260115,341,4948,57000,282.0,10
TXSD_DELTAE_SWEEP_20260115,351,4944,55500,274.4,10
TXSD_DELTAE_SWEEP_20260115,361,4948,57000,282.0,10
TXSD_DELTAE_SWEEP_20260115,371,4880,127500,622.2,11
TXSD_DELTAE_SWEEP_20260115,381,4816,131200,631.9,11
TXSD_DELTAE_SWEEP_20260115,391,4948,55400,274.1,11
TXSD_DELTAE_SWEEP_20260115,401,4948,57100,282.5,11
TXSD_DELTAE_SWEEP_20260115,411,4944,55400,273.9,11
TXSD_DELTAE_SWEEP_20260115,421,4948,57000,282.0,11
TXSD_DELTAE_SWEEP_20260115,431,4948,55400,274.1,11
TXSD_DELTAE_SWEEP_20260115,441,4948,57100,282.5,11
TXSD_DELTAE_SWEEP_20260115,451,4948,56200,278.1,11
TXSD_DELTAE_SWEEP_20260115,461,4948,56200,278.1,11
TXSD_DELTAE_SWEEP_20260115,471,4832,79400,383.7,12
TXSD_DELTAE_SWEEP_20260115,481,4852,148400,720.0,12
TXSD_DELTAE_SWEEP_20260115,491,4948,56200,278.1,12
TXSD_DELTAE_SWEEP_20260115,501,4948,56400,279.1,12
TXSD_DELTAE_SWEEP_20260115,511,4948,57100,282.5,12
TXSD_DELTAE_SWEEP_20260115,521,4944,55400,273.9,12
TXSD_DELTAE_SWEEP_20260115,531,4948,57000,282.0,12
TXSD_DELTAE_SWEEP_20260115,541,4944,55400,273.9,12
TXSD_DELTAE_SWEEP_20260115,551,4948,57100,282.5,12
TXSD_DELTAE_SWEEP_20260115,561,4944,55400,273.9,12
TXSD_DELTAE_SWEEP_20260115,571,4880,70000,341.6,13
TXSD_DELTAE_SWEEP_20260115,581,4852,171000,829.7,13
TXSD_DELTAE_SWEEP_20260115,591,4948,57100,282.5,13
TXSD_DELTAE_SWEEP_20260115,601,4944,55500,274.4,13
TXSD_DELTAE_SWEEP_20260115,611,4948,57000,282.0,13
TXSD_DELTAE_SWEEP_20260115,621,4944,56000,276.9,13
TXSD_DELTAE_SWEEP_20260115,631,4948,56200,278.1,13
TXSD_DELTAE_SWEEP_20260115,641,4944,56100,277.4,13
TXSD_DELTAE_SWEEP_20260115,651,4948,56400,279.1,13
TXSD_DELTAE_SWEEP_20260115,661,4948,56400,279.1,13
TXSD_DELTAE_SWEEP_20260115,671,4916,150400,739.4,14
TXSD_DELTAE_SWEEP_20260115,681,4832,146500,707.9,14
TXSD_DELTAE_SWEEP_20260115,691,4944,55500,274.4,14
TXSD_DELTAE_SWEEP_20260115,701,4948,57100,282.5,14
TXSD_DELTAE_SWEEP_20260115,711,4944,55400,273.9,14
TXSD_DELTAE_SWEEP_20260115,721,4948,57100,282.5,14
TXSD_DELTAE_SWEEP_20260115,731,4944,55400,273.9,14
TXSD_DELTAE_SWEEP_20260115,741,4948,57000,282.0,14
TXSD_DELTAE_SWEEP_20260115,751,4948,55500,274.6,14
TXSD_DELTAE_SWEEP_20260115,761,4948,57000,282.0,14
TXSD_DELTAE_SWEEP_20260115,771,4848,99100,480.4,15
TXSD_DELTAE_SWEEP_20260115,783,4852,162100,786.5,15
TXSD_DELTAE_SWEEP_20260115,791,4944,56000,276.9,15
TXSD_DELTAE_SWEEP_20260115,801,4948,56500,279.6,15
TXSD_DELTAE_SWEEP_20260115,811,4948,56100,277.6,15
TXSD_DELTAE_SWEEP_20260115,821,4948,56400,279.1,15
TXSD_DELTAE_SWEEP_20260115,831,4944,56600,279.8,15
TXSD_DELTAE_SWEEP_20260115,841,4948,56100,277.6,15
TXSD_DELTAE_SWEEP_20260115,851,4948,57100,282.5,15
TXSD_DELTAE_SWEEP_20260115,861,4944,55400,273.9,15
TXSD_DELTAE_SWEEP_20260115,871,4856,76200,370.0,16
TXSD_DELTAE_SWEEP_20260115,881,4852,165300,802.0,16
TXSD_DELTAE_SWEEP_20260115,891,4948,57000,282.0,16
TXSD_DELTAE_SWEEP_20260115,901,4944,55500,274.4,16
TXSD_DELTAE_SWEEP_20260115,911,4948,57000,282.0,16
TXSD_DELTAE_SWEEP_20260115,921,4944,55400,273.9,16
TXSD_DELTAE_SWEEP_20260115,931,4948,57000,282.0,16
TXSD_DELTAE_SWEEP_20260115,941,4944,55500,274.4,16
TXSD_DELTAE_SWEEP_20260115,951,4944,57100,282.3,16
TXSD_DELTAE_SWEEP_20260115,961,4948,56000,277.1,16
TXSD_DELTAE_SWEEP_20260115,971,4932,151800,748.7,17
TXSD_DELTAE_SWEEP_20260115,981,4848,159900,775.2,17
TXSD_DELTAE_SWEEP_20260115,991,4948,56400,279.1,17
TXSD_DELTAE_SWEEP_20260115,1001,4948,56900,281.5,17
TXSD_DELTAE_SWEEP_20260115,1011,4948,56000,277.1,17
TXSD_DELTAE_SWEEP_20260115,1021,4948,57100,282.5,17
TXSD_DELTAE_SWEEP_20260115,1031,4948,55400,274.1,17
TXSD_DELTAE_SWEEP_20260115,1041,4948,57000,282.0,17
TXSD_DELTAE_SWEEP_20260115,1051,4944,55400,273.9,17
TXSD_DELTAE_SWEEP_20260115,1061,4948,57000,282.0,17
TXSD_DELTAE_SWEEP_20260115,1071,4872,119800,583.7,18
TXSD_DELTAE_SWEEP_20260115,1081,4816,132100,636.2,18
TXSD_DELTAE_SWEEP_20260115,1091,4948,55400,274.1,18
TXSD_DELTAE_SWEEP_20260115,1101,4948,57100,282.5,18
TXSD_DELTAE_SWEEP_20260115,1111,4944,55400,273.9,18
TXSD_DELTAE_SWEEP_20260115,1121,4948,57100,282.5,18
TXSD_DELTAE_SWEEP_20260115,1131,4944,56100,277.4,18
TXSD_DELTAE_SWEEP_20260115,1141,4948,56400,279.1,18
TXSD_DELTAE_SWEEP_20260115,1151,4948,56200,278.1,18
TXSD_DELTAE_SWEEP_20260115,1161,4948,56400,279.1,18
TXSD_DELTAE_SWEEP_20260115,1171,4836,80300,388.3,19
TXSD_DELTAE_SWEEP_20260115,1181,4852,152400,739.4,19
TXSD_DELTAE_SWEEP_20260115,1191,4948,57000,282.0,19
TXSD_DELTAE_SWEEP_20260115,1201,4944,55400,273.9,19
TXSD_DELTAE_SWEEP_20260115,1211,4948,57000,282.0,19
