prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 19 2026 13:32:04
TXSD_DELTAE_SWEEP_20260115,11,4948,57200,283.0,307
TXSD_DELTAE_SWEEP_20260115,21,4944,55600,274.9,307
TXSD_DELTAE_SWEEP_20260115,31,4948,57200,283.0,307
TXSD_DELTAE_SWEEP_20260115,41,4948,55500,274.6,307
TXSD_DELTAE_SWEEP_20260115,51,4948,57200,283.0,307
TXSD_DELTAE_SWEEP_20260115,61,4948,55500,274.6,307
TXSD_DELTAE_SWEEP_20260115,71,4948,57100,282.5,307
TXSD_DELTAE_SWEEP_20260115,81,4928,153400,756.0,308
TXSD_DELTAE_SWEEP_20260115,91,4948,56900,281.5,308
TXSD_DELTAE_SWEEP_20260115,101,4944,56300,278.3,308
TXSD_DELTAE_SWEEP_20260115,111,4948,56500,279.6,308
TXSD_DELTAE_SWEEP_20260115,121,4944,56200,277.9,308
TXSD_DELTAE_SWEEP_20260115,131,4948,56500,279.6,308
TXSD_DELTAE_SWEEP_20260115,141,4948,57200,283.0,308
TXSD_DELTAE_SWEEP_20260115,151,4944,55600,274.9,308
TXSD_DELTAE_SWEEP_20260115,161,4948,57200,283.0,308
TXSD_DELTAE_SWEEP_20260115,171,4944,55500,274.4,308
TXSD_DELTAE_SWEEP_20260115,181,4868,112500,547.7,309
TXSD_DELTAE_SWEEP_20260115,191,4948,55600,275.1,309
TXSD_DELTAE_SWEEP_20260115,201,4948,57200,283.0,309
TXSD_DELTAE_SWEEP_20260115,211,4948,55600,275.1,309
TXSD_DELTAE_SWEEP_20260115,221,4948,57200,283.0,309
TXSD_DELTAE_SWEEP_20260115,231,4944,55700,275.4,309
TXSD_DELTAE_SWEEP_20260115,241,4948,57100,282.5,309
TXSD_DELTAE_SWEEP_20260115,251,4944,56400,278.8,309
TXSD_DELTAE_SWEEP_20260115,261,4948,56600,280.1,309
TXSD_DELTAE_SWEEP_20260115,271,4948,56200,278.1,309
TXSD_DELTAE_SWEEP_20260115,281,4940,81000,400.1,310
TXSD_DELTAE_SWEEP_20260115,291,4948,56200,278.1,310
TXSD_DELTAE_SWEEP_20260115,301,4948,56500,279.6,310
TXSD_DELTAE_SWEEP_20260115,311,4948,57200,283.0,310
TXSD_DELTAE_SWEEP_20260115,321,4948,55500,274.6,310
TXSD_DELTAE_SWEEP_20260115,331,4948,57200,283.0,310
TXSD_DELTAE_SWEEP_20260115,341,4948,55600,275.1,310
TXSD_DELTAE_SWEEP_20260115,351,4948,57200,283.0,310
TXSD_DELTAE_SWEEP_20260115,361,4944,55600,274.9,310
TXSD_DELTAE_SWEEP_20260115,371,4948,57200,283.0,310
TXSD_DELTAE_SWEEP_20260115,381,4944,143500,709.5,311
TXSD_DELTAE_SWEEP_20260115,391,4948,57200,283.0,311
TXSD_DELTAE_SWEEP_20260115,401,4948,55600,275.1,311
TXSD_DELTAE_SWEEP_20260115,411,4948,57200,283.0,311
TXSD_DELTAE_SWEEP_20260115,421,4948,56300,278.6,311
TXSD_DELTAE_SWEEP_20260115,431,4948,56400,279.1,311
TXSD_DELTAE_SWEEP_20260115,441,4948,56200,278.1,311
TXSD_DELTAE_SWEEP_20260115,451,4948,56500,279.6,311
TXSD_DELTAE_SWEEP_20260115,461,4948,56300,278.6,311
TXSD_DELTAE_SWEEP_20260115,471,4948,56500,279.6,311
TXSD_DELTAE_SWEEP_20260115,481,4900,132400,648.8,312
TXSD_DELTAE_SWEEP_20260115,491,4948,55600,275.1,312
TXSD_DELTAE_SWEEP_20260115,501,4948,57100,282.5,312
TXSD_DELTAE_SWEEP_20260115,511,4948,55600,275.1,312
TXSD_DELTAE_SWEEP_20260115,521,4948,57200,283.0,312
TXSD_DELTAE_SWEEP_20260115,531,4944,55600,274.9,312
TXSD_DELTAE_SWEEP_20260115,541,4948,57100,282.5,312
TXSD_DELTAE_SWEEP_20260115,551,4948,55600,275.1,312
TXSD_DELTAE_SWEEP_20260115,561,4948,57100,282.5,312
TXSD_DELTAE_SWEEP_20260115,571,4948,55500,274.6,312
TXSD_DELTAE_SWEEP_20260115,581,4936,66900,330.2,313
TXSD_DELTAE_SWEEP_20260115,591,4948,56200,278.1,313
TXSD_DELTAE_SWEEP_20260115,601,4948,56400,279.1,313
TXSD_DELTAE_SWEEP_20260115,611,4944,56200,277.9,313
TXSD_DELTAE_SWEEP_20260115,621,4948,56500,279.6,313
TXSD_DELTAE_SWEEP_20260115,631,4948,56600,280.1,313
TXSD_DELTAE_SWEEP_20260115,641,4948,56400,279.1,313
TXSD_DELTAE_SWEEP_20260115,651,4948,57100,282.5,313
TXSD_DELTAE_SWEEP_20260115,661,4948,55600,275.1,313
TXSD_DELTAE_SWEEP_20260115,671,4944,57200,282.8,313
TXSD_DELTAE_SWEEP_20260115,681,4944,117100,578.9,314
TXSD_DELTAE_SWEEP_20260115,691,4948,57200,283.0,314
TXSD_DELTAE_SWEEP_20260115,701,4944,55600,274.9,314
TXSD_DELTAE_SWEEP_20260115,711,4948,57100,282.5,314
TXSD_DELTAE_SWEEP_20260115,721,4948,55600,275.1,314
TXSD_DELTAE_SWEEP_20260115,731,4948,57100,282.5,314
TXSD_DELTAE_SWEEP_20260115,741,4944,55500,274.4,314
TXSD_DELTAE_SWEEP_20260115,751,4948,57100,282.5,314
TXSD_DELTAE_SWEEP_20260115,763,4948,56200,278.1,314
TXSD_DELTAE_SWEEP_20260115,771,4948,56500,279.6,314
TXSD_DELTAE_SWEEP_20260115,781,4924,151300,745.0,315
TXSD_DELTAE_SWEEP_20260115,791,4948,56500,279.6,315
TXSD_DELTAE_SWEEP_20260115,801,4948,56700,280.6,315
TXSD_DELTAE_SWEEP_20260115,811,4948,56200,278.1,315
TXSD_DELTAE_SWEEP_20260115,821,4948,57100,282.5,315
TXSD_DELTAE_SWEEP_20260115,831,4948,55600,275.1,315
TXSD_DELTAE_SWEEP_20260115,841,4948,57200,283.0,315
TXSD_DELTAE_SWEEP_20260115,851,4944,55500,274.4,315
TXSD_DELTAE_SWEEP_20260115,861,4948,57100,282.5,315
TXSD_DELTAE_SWEEP_20260115,871,4944,55600,274.9,315
TXSD_DELTAE_SWEEP_20260115,881,4856,57300,278.2,316
TXSD_DELTAE_SWEEP_20260115,891,4944,55500,274.4,316
TXSD_DELTAE_SWEEP_20260115,901,4948,57100,282.5,316
TXSD_DELTAE_SWEEP_20260115,911,4944,55600,274.9,316
TXSD_DELTAE_SWEEP_20260115,921,4948,57200,283.0,316
TXSD_DELTAE_SWEEP_20260115,931,4944,56200,277.9,316
TXSD_DELTAE_SWEEP_20260115,941,4948,56600,280.1,316
TXSD_DELTAE_SWEEP_20260115,951,4944,56300,278.3,316
TXSD_DELTAE_SWEEP_20260115,961,4948,56500,279.6,316
TXSD_DELTAE_SWEEP_20260115,971,4948,57100,282.5,316
TXSD_DELTAE_SWEEP_20260115,981,4944,90300,446.4,317
TXSD_DELTAE_SWEEP_20260115,991,4948,57200,283.0,317
TXSD_DELTAE_SWEEP_20260115,1001,4944,55600,274.9,317
TXSD_DELTAE_SWEEP_20260115,1011,4948,57100,282.5,317
TXSD_DELTAE_SWEEP_20260115,1021,4944,55600,274.9,317
TXSD_DELTAE_SWEEP_20260115,1031,4948,57200,283.0,317
