prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=11, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,49,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,151,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,252,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,349,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,448,ADV,-43,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,548,ADV,-44,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,656,ADV,-48,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,746,ADV,-43,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,848,ADV,-43,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,949,ADV,-48,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,1046,ADV,-42,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,1158,ADV,-45,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,1374,ADV,-43,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,1457,ADV,-43,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,1552,ADV,-48,e0:5a:1b:15:b2:ee,MF000C
RX_DELTAE_SWEEP_20260115,1768,ADV,-44,e0:5a:1b:15:b2:ee,MF000E
RX_DELTAE_SWEEP_20260115,1946,ADV,-43,e0:5a:1b:15:b2:ee,MF0010
