prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=12, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,55,ADV,-45,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,151,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,248,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,350,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,451,ADV,-48,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,548,ADV,-43,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,671,ADV,-43,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,751,ADV,-48,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,848,ADV,-43,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,950,ADV,-43,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,1160,ADV,-43,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,1250,ADV,-45,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,1352,ADV,-48,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,1448,ADV,-43,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,1550,ADV,-45,e0:5a:1b:15:b2:ee,MF000C
RX_DELTAE_SWEEP_20260115,1651,ADV,-47,e0:5a:1b:15:b2:ee,MF000D
RX_DELTAE_SWEEP_20260115,1762,ADV,-43,e0:5a:1b:15:b2:ee,MF000E
RX_DELTAE_SWEEP_20260115,1850,ADV,-45,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,1955,ADV,-47,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,2048,ADV,-43,e0:5a:1b:15:b2:ee,MF0011
RX_DELTAE_SWEEP_20260115,2150,ADV,-43,e0:5a:1b:15:b2:ee,MF0012
RX_DELTAE_SWEEP_20260115,2255,ADV,-47,e0:5a:1b:15:b2:ee,MF0013
RX_DELTAE_SWEEP_20260115,2355,ADV,-43,e0:5a:1b:15:b2:ee,MF0014
RX_DELTAE_SWEEP_20260115,2452,ADV,-44,e0:5a:1b:15:b2:ee,MF0015
RX_DELTAE_SWEEP_20260115,2551,ADV,-47,e0:5a:1b:15:b2:ee,MF0016
RX_DELTAE_SWEEP_20260115,2648,ADV,-43,e0:5a:1b:15:b2:ee,MF0017
RX_DELTAE_SWEEP_20260115,2754,ADV,-44,e0:5a:1b:15:b2:ee,MF0018
RX_DELTAE_SWEEP_20260115,2851,ADV,-48,e0:5a:1b:15:b2:ee,MF0019
RX_DELTAE_SWEEP_20260115,2948,ADV,-43,e0:5a:1b:15:b2:ee,MF001A
RX_DELTAE_SWEEP_20260115,3050,ADV,-43,e0:5a:1b:15:b2:ee,MF001B
RX_DELTAE_SWEEP_20260115,3151,ADV,-48,e0:5a:1b:15:b2:ee,MF001C
RX_DELTAE_SWEEP_20260115,3271,ADV,-43,e0:5a:1b:15:b2:ee,MF001D
RX_DELTAE_SWEEP_20260115,3354,ADV,-43,e0:5a:1b:15:b2:ee,MF001E
RX_DELTAE_SWEEP_20260115,3454,ADV,-47,e0:5a:1b:15:b2:ee,MF001F
RX_DELTAE_SWEEP_20260115,3554,ADV,-43,e0:5a:1b:15:b2:ee,MF0020
RX_DELTAE_SWEEP_20260115,3650,ADV,-44,e0:5a:1b:15:b2:ee,MF0021
RX_DELTAE_SWEEP_20260115,3765,ADV,-48,e0:5a:1b:15:b2:ee,MF0022
RX_DELTAE_SWEEP_20260115,3851,ADV,-44,e0:5a:1b:15:b2:ee,MF0023
RX_DELTAE_SWEEP_20260115,3953,ADV,-43,e0:5a:1b:15:b2:ee,MF0024
RX_DELTAE_SWEEP_20260115,4051,ADV,-47,e0:5a:1b:15:b2:ee,MF0025
RX_DELTAE_SWEEP_20260115,4170,ADV,-43,e0:5a:1b:15:b2:ee,MF0026
RX_DELTAE_SWEEP_20260115,4254,ADV,-45,e0:5a:1b:15:b2:ee,MF0027
RX_DELTAE_SWEEP_20260115,4354,ADV,-47,e0:5a:1b:15:b2:ee,MF0028
RX_DELTAE_SWEEP_20260115,4452,ADV,-43,e0:5a:1b:15:b2:ee,MF0029
RX_DELTAE_SWEEP_20260115,4551,ADV,-43,e0:5a:1b:15:b2:ee,MF002A
RX_DELTAE_SWEEP_20260115,4670,ADV,-47,e0:5a:1b:15:b2:ee,MF002B
RX_DELTAE_SWEEP_20260115,4753,ADV,-44,e0:5a:1b:15:b2:ee,MF002C
RX_DELTAE_SWEEP_20260115,4856,ADV,-45,e0:5a:1b:15:b2:ee,MF002D
RX_DELTAE_SWEEP_20260115,4951,ADV,-48,e0:5a:1b:15:b2:ee,MF002E
RX_DELTAE_SWEEP_20260115,5049,ADV,-43,e0:5a:1b:15:b2:ee,MF002F
RX_DELTAE_SWEEP_20260115,5150,ADV,-45,e0:5a:1b:15:b2:ee,MF0030
RX_DELTAE_SWEEP_20260115,5256,ADV,-47,e0:5a:1b:15:b2:ee,MF0031
RX_DELTAE_SWEEP_20260115,5348,ADV,-44,e0:5a:1b:15:b2:ee,MF0032
RX_DELTAE_SWEEP_20260115,5450,ADV,-43,e0:5a:1b:15:b2:ee,MF0033
