prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=13, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,42,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,141,ADV,-45,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,253,ADV,-50,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,352,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,441,ADV,-45,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,542,ADV,-49,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,639,ADV,-43,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,741,ADV,-44,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,842,ADV,-49,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,939,ADV,-44,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,1043,ADV,-43,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,1239,ADV,-43,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,1442,ADV,-92,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,1543,ADV,-43,e0:5a:1b:15:b2:ee,MF000C
RX_DELTAE_SWEEP_20260115,1648,ADV,-46,e0:5a:1b:15:b2:ee,MF000D
RX_DELTAE_SWEEP_20260115,1754,ADV,-48,e0:5a:1b:15:b2:ee,MF000E
RX_DELTAE_SWEEP_20260115,1839,ADV,-42,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,1961,ADV,-45,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,2042,ADV,-48,e0:5a:1b:15:b2:ee,MF0011
RX_DELTAE_SWEEP_20260115,2148,ADV,-43,e0:5a:1b:15:b2:ee,MF0012
RX_DELTAE_SWEEP_20260115,2248,ADV,-46,e0:5a:1b:15:b2:ee,MF0013
RX_DELTAE_SWEEP_20260115,2366,ADV,-48,e0:5a:1b:15:b2:ee,MF0014
RX_DELTAE_SWEEP_20260115,2442,ADV,-43,e0:5a:1b:15:b2:ee,MF0015
RX_DELTAE_SWEEP_20260115,2541,ADV,-103,e0:5a:1b:15:b2:ee,MF0016
RX_DELTAE_SWEEP_20260115,2642,ADV,-48,e0:5a:1b:15:b2:ee,MF0017
RX_DELTAE_SWEEP_20260115,2739,ADV,-44,e0:5a:1b:15:b2:ee,MF0018
RX_DELTAE_SWEEP_20260115,2841,ADV,-45,e0:5a:1b:15:b2:ee,MF0019
