prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=16, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,36,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,159,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,239,ADV,-47,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,342,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,438,ADV,-43,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,546,ADV,-48,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,640,ADV,-44,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,744,ADV,-43,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,844,ADV,-47,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,936,ADV,-43,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,1038,ADV,-43,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,1155,ADV,-47,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,1236,ADV,-43,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,1338,ADV,-44,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,1439,ADV,-48,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,1536,ADV,-42,e0:5a:1b:15:b2:ee,MF000C
RX_DELTAE_SWEEP_20260115,1639,ADV,-44,e0:5a:1b:15:b2:ee,MF000D
RX_DELTAE_SWEEP_20260115,1748,ADV,-46,e0:5a:1b:15:b2:ee,MF000E
RX_DELTAE_SWEEP_20260115,1841,ADV,-43,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,1943,ADV,-46,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,2039,ADV,-49,e0:5a:1b:15:b2:ee,MF0011
RX_DELTAE_SWEEP_20260115,2139,ADV,-44,e0:5a:1b:15:b2:ee,MF0012
RX_DELTAE_SWEEP_20260115,2238,ADV,-45,e0:5a:1b:15:b2:ee,MF0013
RX_DELTAE_SWEEP_20260115,2349,ADV,-49,e0:5a:1b:15:b2:ee,MF0014
RX_DELTAE_SWEEP_20260115,2443,ADV,-43,e0:5a:1b:15:b2:ee,MF0015
RX_DELTAE_SWEEP_20260115,2562,ADV,-45,e0:5a:1b:15:b2:ee,MF0016
RX_DELTAE_SWEEP_20260115,2651,ADV,-49,e0:5a:1b:15:b2:ee,MF0017
RX_DELTAE_SWEEP_20260115,2747,ADV,-43,e0:5a:1b:15:b2:ee,MF0018
RX_DELTAE_SWEEP_20260115,2838,ADV,-44,e0:5a:1b:15:b2:ee,MF0019
RX_DELTAE_SWEEP_20260115,2942,ADV,-48,e0:5a:1b:15:b2:ee,MF001A
RX_DELTAE_SWEEP_20260115,3036,ADV,-43,e0:5a:1b:15:b2:ee,MF001B
RX_DELTAE_SWEEP_20260115,3138,ADV,-46,e0:5a:1b:15:b2:ee,MF001C
RX_DELTAE_SWEEP_20260115,3243,ADV,-49,e0:5a:1b:15:b2:ee,MF001D
RX_DELTAE_SWEEP_20260115,3337,ADV,-43,e0:5a:1b:15:b2:ee,MF001E
RX_DELTAE_SWEEP_20260115,3444,ADV,-45,e0:5a:1b:15:b2:ee,MF001F
RX_DELTAE_SWEEP_20260115,3539,ADV,-48,e0:5a:1b:15:b2:ee,MF0020
RX_DELTAE_SWEEP_20260115,3749,ADV,-44,e0:5a:1b:15:b2:ee,MF0022
RX_DELTAE_SWEEP_20260115,3857,ADV,-48,e0:5a:1b:15:b2:ee,MF0023
RX_DELTAE_SWEEP_20260115,3953,ADV,-44,e0:5a:1b:15:b2:ee,MF0024
RX_DELTAE_SWEEP_20260115,4039,ADV,-45,e0:5a:1b:15:b2:ee,MF0025
RX_DELTAE_SWEEP_20260115,4162,ADV,-48,e0:5a:1b:15:b2:ee,MF0026
RX_DELTAE_SWEEP_20260115,4237,ADV,-44,e0:5a:1b:15:b2:ee,MF0027
RX_DELTAE_SWEEP_20260115,4338,ADV,-44,e0:5a:1b:15:b2:ee,MF0028
RX_DELTAE_SWEEP_20260115,4440,ADV,-47,e0:5a:1b:15:b2:ee,MF0029
RX_DELTAE_SWEEP_20260115,4540,ADV,-43,e0:5a:1b:15:b2:ee,MF002A
RX_DELTAE_SWEEP_20260115,4650,ADV,-45,e0:5a:1b:15:b2:ee,MF002B
RX_DELTAE_SWEEP_20260115,4740,ADV,-48,e0:5a:1b:15:b2:ee,MF002C
RX_DELTAE_SWEEP_20260115,4837,ADV,-44,e0:5a:1b:15:b2:ee,MF002D
RX_DELTAE_SWEEP_20260115,4942,ADV,-44,e0:5a:1b:15:b2:ee,MF002E
RX_DELTAE_SWEEP_20260115,5040,ADV,-47,e0:5a:1b:15:b2:ee,MF002F
RX_DELTAE_SWEEP_20260115,5137,ADV,-43,e0:5a:1b:15:b2:ee,MF0030
RX_DELTAE_SWEEP_20260115,5238,ADV,-43,e0:5a:1b:15:b2:ee,MF0031
RX_DELTAE_SWEEP_20260115,5340,ADV,-47,e0:5a:1b:15:b2:ee,MF0032
RX_DELTAE_SWEEP_20260115,5437,ADV,-43,e0:5a:1b:15:b2:ee,MF0033
RX_DELTAE_SWEEP_20260115,5543,ADV,-45,e0:5a:1b:15:b2:ee,MF0034
RX_DELTAE_SWEEP_20260115,5640,ADV,-47,e0:5a:1b:15:b2:ee,MF0035
RX_DELTAE_SWEEP_20260115,5737,ADV,-44,e0:5a:1b:15:b2:ee,MF0036
RX_DELTAE_SWEEP_20260115,5838,ADV,-45,e0:5a:1b:15:b2:ee,MF0037
RX_DELTAE_SWEEP_20260115,5940,ADV,-47,e0:5a:1b:15:b2:ee,MF0038
RX_DELTAE_SWEEP_20260115,6045,ADV,-43,e0:5a:1b:15:b2:ee,MF0039
RX_DELTAE_SWEEP_20260115,6240,ADV,-48,e0:5a:1b:15:b2:ee,MF003B
RX_DELTAE_SWEEP_20260115,6340,ADV,-43,e0:5a:1b:15:b2:ee,MF003C
RX_DELTAE_SWEEP_20260115,6438,ADV,-45,e0:5a:1b:15:b2:ee,MF003D
RX_DELTAE_SWEEP_20260115,6540,ADV,-47,e0:5a:1b:15:b2:ee,MF003E
RX_DELTAE_SWEEP_20260115,6639,ADV,-43,e0:5a:1b:15:b2:ee,MF003F
RX_DELTAE_SWEEP_20260115,6749,ADV,-44,e0:5a:1b:15:b2:ee,MF0040
RX_DELTAE_SWEEP_20260115,6862,ADV,-48,e0:5a:1b:15:b2:ee,MF0041
RX_DELTAE_SWEEP_20260115,6949,ADV,-42,e0:5a:1b:15:b2:ee,MF0042
RX_DELTAE_SWEEP_20260115,7043,ADV,-43,e0:5a:1b:15:b2:ee,MF0043
RX_DELTAE_SWEEP_20260115,7140,ADV,-47,e0:5a:1b:15:b2:ee,MF0044
RX_DELTAE_SWEEP_20260115,7244,ADV,-44,e0:5a:1b:15:b2:ee,MF0045
RX_DELTAE_SWEEP_20260115,7338,ADV,-43,e0:5a:1b:15:b2:ee,MF0046
RX_DELTAE_SWEEP_20260115,7443,ADV,-47,e0:5a:1b:15:b2:ee,MF0047
RX_DELTAE_SWEEP_20260115,7537,ADV,-43,e0:5a:1b:15:b2:ee,MF0048
RX_DELTAE_SWEEP_20260115,7638,ADV,-44,e0:5a:1b:15:b2:ee,MF0049
RX_DELTAE_SWEEP_20260115,7740,ADV,-47,e0:5a:1b:15:b2:ee,MF004A
RX_DELTAE_SWEEP_20260115,7854,ADV,-43,e0:5a:1b:15:b2:ee,MF004B
RX_DELTAE_SWEEP_20260115,7938,ADV,-45,e0:5a:1b:15:b2:ee,MF004C
RX_DELTAE_SWEEP_20260115,8042,ADV,-47,e0:5a:1b:15:b2:ee,MF004D
RX_DELTAE_SWEEP_20260115,8242,ADV,-45,e0:5a:1b:15:b2:ee,MF004F
RX_DELTAE_SWEEP_20260115,8340,ADV,-47,e0:5a:1b:15:b2:ee,MF0050
RX_DELTAE_SWEEP_20260115,8442,ADV,-43,e0:5a:1b:15:b2:ee,MF0051
RX_DELTAE_SWEEP_20260115,8538,ADV,-45,e0:5a:1b:15:b2:ee,MF0052
RX_DELTAE_SWEEP_20260115,8645,ADV,-47,e0:5a:1b:15:b2:ee,MF0053
RX_DELTAE_SWEEP_20260115,8737,ADV,-43,e0:5a:1b:15:b2:ee,MF0054
RX_DELTAE_SWEEP_20260115,8838,ADV,-45,e0:5a:1b:15:b2:ee,MF0055
RX_DELTAE_SWEEP_20260115,8942,ADV,-47,e0:5a:1b:15:b2:ee,MF0056
RX_DELTAE_SWEEP_20260115,9037,ADV,-43,e0:5a:1b:15:b2:ee,MF0057
RX_DELTAE_SWEEP_20260115,9138,ADV,-46,e0:5a:1b:15:b2:ee,MF0058
RX_DELTAE_SWEEP_20260115,9243,ADV,-47,e0:5a:1b:15:b2:ee,MF0059
RX_DELTAE_SWEEP_20260115,9336,ADV,-43,e0:5a:1b:15:b2:ee,MF005A
RX_DELTAE_SWEEP_20260115,9438,ADV,-45,e0:5a:1b:15:b2:ee,MF005B
RX_DELTAE_SWEEP_20260115,9539,ADV,-48,e0:5a:1b:15:b2:ee,MF005C
RX_DELTAE_SWEEP_20260115,9658,ADV,-44,e0:5a:1b:15:b2:ee,MF005D
RX_DELTAE_SWEEP_20260115,9738,ADV,-45,e0:5a:1b:15:b2:ee,MF005E
RX_DELTAE_SWEEP_20260115,9843,ADV,-49,e0:5a:1b:15:b2:ee,MF005F
RX_DELTAE_SWEEP_20260115,9936,ADV,-42,e0:5a:1b:15:b2:ee,MF0060
RX_DELTAE_SWEEP_20260115,10041,ADV,-45,e0:5a:1b:15:b2:ee,MF0061
RX_DELTAE_SWEEP_20260115,10139,ADV,-48,e0:5a:1b:15:b2:ee,MF0062
RX_DELTAE_SWEEP_20260115,10244,ADV,-43,e0:5a:1b:15:b2:ee,MF0063
RX_DELTAE_SWEEP_20260115,10338,ADV,-43,e0:5a:1b:15:b2:ee,MF0064
RX_DELTAE_SWEEP_20260115,10439,ADV,-49,e0:5a:1b:15:b2:ee,MF0065
RX_DELTAE_SWEEP_20260115,10537,ADV,-43,e0:5a:1b:15:b2:ee,MF0066
RX_DELTAE_SWEEP_20260115,10647,ADV,-42,e0:5a:1b:15:b2:ee,MF0067
RX_DELTAE_SWEEP_20260115,10741,ADV,-49,e0:5a:1b:15:b2:ee,MF0068
RX_DELTAE_SWEEP_20260115,10846,ADV,-43,e0:5a:1b:15:b2:ee,MF0069
RX_DELTAE_SWEEP_20260115,10939,ADV,-43,e0:5a:1b:15:b2:ee,MF006A
RX_DELTAE_SWEEP_20260115,11041,ADV,-49,e0:5a:1b:15:b2:ee,MF006B
RX_DELTAE_SWEEP_20260115,11145,ADV,-43,e0:5a:1b:15:b2:ee,MF006C
RX_DELTAE_SWEEP_20260115,11244,ADV,-42,e0:5a:1b:15:b2:ee,MF006D
RX_DELTAE_SWEEP_20260115,11342,ADV,-48,e0:5a:1b:15:b2:ee,MF006E
RX_DELTAE_SWEEP_20260115,11436,ADV,-42,e0:5a:1b:15:b2:ee,MF006F
RX_DELTAE_SWEEP_20260115,11538,ADV,-42,e0:5a:1b:15:b2:ee,MF0070
RX_DELTAE_SWEEP_20260115,11639,ADV,-47,e0:5a:1b:15:b2:ee,MF0071
RX_DELTAE_SWEEP_20260115,11736,ADV,-43,e0:5a:1b:15:b2:ee,MF0072
RX_DELTAE_SWEEP_20260115,11839,ADV,-43,e0:5a:1b:15:b2:ee,MF0073
RX_DELTAE_SWEEP_20260115,11948,ADV,-47,e0:5a:1b:15:b2:ee,MF0074
RX_DELTAE_SWEEP_20260115,12036,ADV,-42,e0:5a:1b:15:b2:ee,MF0075
RX_DELTAE_SWEEP_20260115,12138,ADV,-45,e0:5a:1b:15:b2:ee,MF0076
RX_DELTAE_SWEEP_20260115,12239,ADV,-47,e0:5a:1b:15:b2:ee,MF0077
RX_DELTAE_SWEEP_20260115,12336,ADV,-43,e0:5a:1b:15:b2:ee,MF0078
RX_DELTAE_SWEEP_20260115,12438,ADV,-44,e0:5a:1b:15:b2:ee,MF0079
RX_DELTAE_SWEEP_20260115,12539,ADV,-47,e0:5a:1b:15:b2:ee,MF007A
RX_DELTAE_SWEEP_20260115,12639,ADV,-43,e0:5a:1b:15:b2:ee,MF007B
RX_DELTAE_SWEEP_20260115,12738,ADV,-44,e0:5a:1b:15:b2:ee,MF007C
RX_DELTAE_SWEEP_20260115,12839,ADV,-47,e0:5a:1b:15:b2:ee,MF007D
