prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=18, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,46,ADV,-45,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,148,ADV,-51,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,245,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,346,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,463,ADV,-51,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,545,ADV,-45,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,646,ADV,-45,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,762,ADV,-51,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,946,ADV,-44,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,1058,ADV,-49,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,1147,ADV,-46,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,1255,ADV,-45,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,1356,ADV,-50,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,1445,ADV,-45,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,1648,ADV,-51,e0:5a:1b:15:b2:ee,MF000D
RX_DELTAE_SWEEP_20260115,1755,ADV,-45,e0:5a:1b:15:b2:ee,MF000E
RX_DELTAE_SWEEP_20260115,1856,ADV,-45,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,1948,ADV,-49,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,2045,ADV,-45,e0:5a:1b:15:b2:ee,MF0011
RX_DELTAE_SWEEP_20260115,2154,ADV,-45,e0:5a:1b:15:b2:ee,MF0012
RX_DELTAE_SWEEP_20260115,2248,ADV,-51,e0:5a:1b:15:b2:ee,MF0013
RX_DELTAE_SWEEP_20260115,2348,ADV,-44,e0:5a:1b:15:b2:ee,MF0014
