prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=20, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,40,ADV,-47,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,137,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,240,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,359,ADV,-47,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,437,ADV,-42,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,545,ADV,-44,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,640,ADV,-47,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,737,ADV,-42,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,838,ADV,-44,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,942,ADV,-47,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,1054,ADV,-42,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,1138,ADV,-42,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,1245,ADV,-47,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,1337,ADV,-42,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,1442,ADV,-43,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,1543,ADV,-48,e0:5a:1b:15:b2:ee,MF000C
RX_DELTAE_SWEEP_20260115,1745,ADV,-44,e0:5a:1b:15:b2:ee,MF000E
RX_DELTAE_SWEEP_20260115,1840,ADV,-48,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,1937,ADV,-42,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,2042,ADV,-45,e0:5a:1b:15:b2:ee,MF0011
RX_DELTAE_SWEEP_20260115,2240,ADV,-43,e0:5a:1b:15:b2:ee,MF0013
RX_DELTAE_SWEEP_20260115,2343,ADV,-44,e0:5a:1b:15:b2:ee,MF0014
RX_DELTAE_SWEEP_20260115,2638,ADV,-43,e0:5a:1b:15:b2:ee,MF0017
RX_DELTAE_SWEEP_20260115,2740,ADV,-48,e0:5a:1b:15:b2:ee,MF0018
RX_DELTAE_SWEEP_20260115,2845,ADV,-42,e0:5a:1b:15:b2:ee,MF0019
RX_DELTAE_SWEEP_20260115,2940,ADV,-43,e0:5a:1b:15:b2:ee,MF001A
RX_DELTAE_SWEEP_20260115,3049,ADV,-48,e0:5a:1b:15:b2:ee,MF001B
RX_DELTAE_SWEEP_20260115,3137,ADV,-42,e0:5a:1b:15:b2:ee,MF001C
RX_DELTAE_SWEEP_20260115,3238,ADV,-42,e0:5a:1b:15:b2:ee,MF001D
RX_DELTAE_SWEEP_20260115,3358,ADV,-48,e0:5a:1b:15:b2:ee,MF001E
RX_DELTAE_SWEEP_20260115,3437,ADV,-42,e0:5a:1b:15:b2:ee,MF001F
RX_DELTAE_SWEEP_20260115,3547,ADV,-43,e0:5a:1b:15:b2:ee,MF0020
RX_DELTAE_SWEEP_20260115,3640,ADV,-48,e0:5a:1b:15:b2:ee,MF0021
RX_DELTAE_SWEEP_20260115,3750,ADV,-42,e0:5a:1b:15:b2:ee,MF0022
RX_DELTAE_SWEEP_20260115,3838,ADV,-43,e0:5a:1b:15:b2:ee,MF0023
RX_DELTAE_SWEEP_20260115,4037,ADV,-42,e0:5a:1b:15:b2:ee,MF0025
RX_DELTAE_SWEEP_20260115,4138,ADV,-44,e0:5a:1b:15:b2:ee,MF0026
RX_DELTAE_SWEEP_20260115,4257,ADV,-48,e0:5a:1b:15:b2:ee,MF0027
RX_DELTAE_SWEEP_20260115,4337,ADV,-42,e0:5a:1b:15:b2:ee,MF0028
RX_DELTAE_SWEEP_20260115,4438,ADV,-43,e0:5a:1b:15:b2:ee,MF0029
RX_DELTAE_SWEEP_20260115,4548,ADV,-48,e0:5a:1b:15:b2:ee,MF002A
RX_DELTAE_SWEEP_20260115,4643,ADV,-42,e0:5a:1b:15:b2:ee,MF002B
RX_DELTAE_SWEEP_20260115,4748,ADV,-42,e0:5a:1b:15:b2:ee,MF002C
RX_DELTAE_SWEEP_20260115,4852,ADV,-47,e0:5a:1b:15:b2:ee,MF002D
RX_DELTAE_SWEEP_20260115,4952,ADV,-79,e0:5a:1b:15:b2:ee,MF002E
RX_DELTAE_SWEEP_20260115,5044,ADV,-42,e0:5a:1b:15:b2:ee,MF002F
RX_DELTAE_SWEEP_20260115,5140,ADV,-48,e0:5a:1b:15:b2:ee,MF0030
RX_DELTAE_SWEEP_20260115,5237,ADV,-42,e0:5a:1b:15:b2:ee,MF0031
RX_DELTAE_SWEEP_20260115,5338,ADV,-42,e0:5a:1b:15:b2:ee,MF0032
RX_DELTAE_SWEEP_20260115,5440,ADV,-48,e0:5a:1b:15:b2:ee,MF0033
RX_DELTAE_SWEEP_20260115,5638,ADV,-43,e0:5a:1b:15:b2:ee,MF0035
RX_DELTAE_SWEEP_20260115,5740,ADV,-48,e0:5a:1b:15:b2:ee,MF0036
RX_DELTAE_SWEEP_20260115,5837,ADV,-42,e0:5a:1b:15:b2:ee,MF0037
RX_DELTAE_SWEEP_20260115,5938,ADV,-42,e0:5a:1b:15:b2:ee,MF0038
RX_DELTAE_SWEEP_20260115,6040,ADV,-47,e0:5a:1b:15:b2:ee,MF0039
RX_DELTAE_SWEEP_20260115,6145,ADV,-42,e0:5a:1b:15:b2:ee,MF003A
RX_DELTAE_SWEEP_20260115,6342,ADV,-47,e0:5a:1b:15:b2:ee,MF003C
RX_DELTAE_SWEEP_20260115,6450,ADV,-42,e0:5a:1b:15:b2:ee,MF003D
RX_DELTAE_SWEEP_20260115,6541,ADV,-43,e0:5a:1b:15:b2:ee,MF003E
RX_DELTAE_SWEEP_20260115,6640,ADV,-47,e0:5a:1b:15:b2:ee,MF003F
RX_DELTAE_SWEEP_20260115,6737,ADV,-42,e0:5a:1b:15:b2:ee,MF0040
RX_DELTAE_SWEEP_20260115,6838,ADV,-42,e0:5a:1b:15:b2:ee,MF0041
RX_DELTAE_SWEEP_20260115,6942,ADV,-48,e0:5a:1b:15:b2:ee,MF0042
RX_DELTAE_SWEEP_20260115,7038,ADV,-41,e0:5a:1b:15:b2:ee,MF0043
RX_DELTAE_SWEEP_20260115,7242,ADV,-48,e0:5a:1b:15:b2:ee,MF0045
RX_DELTAE_SWEEP_20260115,7438,ADV,-43,e0:5a:1b:15:b2:ee,MF0047
RX_DELTAE_SWEEP_20260115,7540,ADV,-48,e0:5a:1b:15:b2:ee,MF0048
RX_DELTAE_SWEEP_20260115,7640,ADV,-42,e0:5a:1b:15:b2:ee,MF0049
RX_DELTAE_SWEEP_20260115,7738,ADV,-42,e0:5a:1b:15:b2:ee,MF004A
RX_DELTAE_SWEEP_20260115,7844,ADV,-48,e0:5a:1b:15:b2:ee,MF004B
RX_DELTAE_SWEEP_20260115,7938,ADV,-41,e0:5a:1b:15:b2:ee,MF004C
RX_DELTAE_SWEEP_20260115,8045,ADV,-42,e0:5a:1b:15:b2:ee,MF004D
RX_DELTAE_SWEEP_20260115,8139,ADV,-48,e0:5a:1b:15:b2:ee,MF004E
RX_DELTAE_SWEEP_20260115,8236,ADV,-42,e0:5a:1b:15:b2:ee,MF004F
RX_DELTAE_SWEEP_20260115,8338,ADV,-42,e0:5a:1b:15:b2:ee,MF0050
RX_DELTAE_SWEEP_20260115,8439,ADV,-48,e0:5a:1b:15:b2:ee,MF0051
RX_DELTAE_SWEEP_20260115,8540,ADV,-42,e0:5a:1b:15:b2:ee,MF0052
RX_DELTAE_SWEEP_20260115,8638,ADV,-43,e0:5a:1b:15:b2:ee,MF0053
RX_DELTAE_SWEEP_20260115,8739,ADV,-47,e0:5a:1b:15:b2:ee,MF0054
RX_DELTAE_SWEEP_20260115,8836,ADV,-42,e0:5a:1b:15:b2:ee,MF0055
RX_DELTAE_SWEEP_20260115,8938,ADV,-42,e0:5a:1b:15:b2:ee,MF0056
RX_DELTAE_SWEEP_20260115,9043,ADV,-48,e0:5a:1b:15:b2:ee,MF0057
RX_DELTAE_SWEEP_20260115,9136,ADV,-42,e0:5a:1b:15:b2:ee,MF0058
RX_DELTAE_SWEEP_20260115,9238,ADV,-42,e0:5a:1b:15:b2:ee,MF0059
RX_DELTAE_SWEEP_20260115,9339,ADV,-48,e0:5a:1b:15:b2:ee,MF005A
RX_DELTAE_SWEEP_20260115,9450,ADV,-42,e0:5a:1b:15:b2:ee,MF005B
RX_DELTAE_SWEEP_20260115,9538,ADV,-42,e0:5a:1b:15:b2:ee,MF005C
RX_DELTAE_SWEEP_20260115,9646,ADV,-47,e0:5a:1b:15:b2:ee,MF005D
RX_DELTAE_SWEEP_20260115,9742,ADV,-42,e0:5a:1b:15:b2:ee,MF005E
RX_DELTAE_SWEEP_20260115,9840,ADV,-44,e0:5a:1b:15:b2:ee,MF005F
RX_DELTAE_SWEEP_20260115,9939,ADV,-47,e0:5a:1b:15:b2:ee,MF0060
RX_DELTAE_SWEEP_20260115,10037,ADV,-42,e0:5a:1b:15:b2:ee,MF0061
RX_DELTAE_SWEEP_20260115,10143,ADV,-43,e0:5a:1b:15:b2:ee,MF0062
RX_DELTAE_SWEEP_20260115,10239,ADV,-45,e0:5a:1b:15:b2:ee,MF0063
RX_DELTAE_SWEEP_20260115,10337,ADV,-43,e0:5a:1b:15:b2:ee,MF0064
RX_DELTAE_SWEEP_20260115,10448,ADV,-42,e0:5a:1b:15:b2:ee,MF0065
RX_DELTAE_SWEEP_20260115,10540,ADV,-47,e0:5a:1b:15:b2:ee,MF0066
RX_DELTAE_SWEEP_20260115,10637,ADV,-42,e0:5a:1b:15:b2:ee,MF0067
RX_DELTAE_SWEEP_20260115,10741,ADV,-42,e0:5a:1b:15:b2:ee,MF0068
RX_DELTAE_SWEEP_20260115,10840,ADV,-47,e0:5a:1b:15:b2:ee,MF0069
RX_DELTAE_SWEEP_20260115,10945,ADV,-42,e0:5a:1b:15:b2:ee,MF006A
RX_DELTAE_SWEEP_20260115,11047,ADV,-44,e0:5a:1b:15:b2:ee,MF006B
RX_DELTAE_SWEEP_20260115,11140,ADV,-47,e0:5a:1b:15:b2:ee,MF006C
RX_DELTAE_SWEEP_20260115,11237,ADV,-43,e0:5a:1b:15:b2:ee,MF006D
RX_DELTAE_SWEEP_20260115,11338,ADV,-42,e0:5a:1b:15:b2:ee,MF006E
RX_DELTAE_SWEEP_20260115,11450,ADV,-47,e0:5a:1b:15:b2:ee,MF006F
RX_DELTAE_SWEEP_20260115,11552,ADV,-42,e0:5a:1b:15:b2:ee,MF0070
RX_DELTAE_SWEEP_20260115,11638,ADV,-43,e0:5a:1b:15:b2:ee,MF0071
RX_DELTAE_SWEEP_20260115,11743,ADV,-48,e0:5a:1b:15:b2:ee,MF0072
RX_DELTAE_SWEEP_20260115,11852,ADV,-42,e0:5a:1b:15:b2:ee,MF0073
RX_DELTAE_SWEEP_20260115,11938,ADV,-42,e0:5a:1b:15:b2:ee,MF0074
RX_DELTAE_SWEEP_20260115,12040,ADV,-48,e0:5a:1b:15:b2:ee,MF0075
RX_DELTAE_SWEEP_20260115,12137,ADV,-42,e0:5a:1b:15:b2:ee,MF0076
RX_DELTAE_SWEEP_20260115,12244,ADV,-42,e0:5a:1b:15:b2:ee,MF0077
RX_DELTAE_SWEEP_20260115,12340,ADV,-47,e0:5a:1b:15:b2:ee,MF0078
RX_DELTAE_SWEEP_20260115,12437,ADV,-42,e0:5a:1b:15:b2:ee,MF0079
RX_DELTAE_SWEEP_20260115,12554,ADV,-42,e0:5a:1b:15:b2:ee,MF007A
RX_DELTAE_SWEEP_20260115,12648,ADV,-47,e0:5a:1b:15:b2:ee,MF007B
RX_DELTAE_SWEEP_20260115,12737,ADV,-42,e0:5a:1b:15:b2:ee,MF007C
RX_DELTAE_SWEEP_20260115,12851,ADV,-44,e0:5a:1b:15:b2:ee,MF007D
