prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=21, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,435,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,935,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,1438,ADV,-47,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,1935,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,2434,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,2937,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,3438,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,3934,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,4456,ADV,-48,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,5435,ADV,-42,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,5940,ADV,-47,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,6934,ADV,-42,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,7437,ADV,-48,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,7935,ADV,-43,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,8442,ADV,-42,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,8941,ADV,-47,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,9935,ADV,-42,e0:5a:1b:15:b2:ee,MF000C
RX_DELTAE_SWEEP_20260115,11457,ADV,-42,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,11941,ADV,-47,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,12934,ADV,-42,e0:5a:1b:15:b2:ee,MF0012
RX_DELTAE_SWEEP_20260115,13440,ADV,-47,e0:5a:1b:15:b2:ee,MF0013
RX_DELTAE_SWEEP_20260115,14434,ADV,-42,e0:5a:1b:15:b2:ee,MF0015
