prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=22, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,926,ADV,-47,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,1425,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,1924,ADV,-41,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,2446,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,2925,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,3423,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,3927,ADV,-47,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,4425,ADV,-42,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,4924,ADV,-43,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,5434,ADV,-47,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,5924,ADV,-43,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,6424,ADV,-42,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,7424,ADV,-43,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,7923,ADV,-42,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,8426,ADV,-47,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,9423,ADV,-42,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,10424,ADV,-43,e0:5a:1b:15:b2:ee,MF000D
RX_DELTAE_SWEEP_20260115,10924,ADV,-43,e0:5a:1b:15:b2:ee,MF000E
RX_DELTAE_SWEEP_20260115,11426,ADV,-47,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,11924,ADV,-43,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,12423,ADV,-42,e0:5a:1b:15:b2:ee,MF0011
RX_DELTAE_SWEEP_20260115,12926,ADV,-47,e0:5a:1b:15:b2:ee,MF0012
RX_DELTAE_SWEEP_20260115,13424,ADV,-43,e0:5a:1b:15:b2:ee,MF0013
RX_DELTAE_SWEEP_20260115,13923,ADV,-43,e0:5a:1b:15:b2:ee,MF0014
RX_DELTAE_SWEEP_20260115,14426,ADV,-48,e0:5a:1b:15:b2:ee,MF0015
RX_DELTAE_SWEEP_20260115,14924,ADV,-42,e0:5a:1b:15:b2:ee,MF0016
RX_DELTAE_SWEEP_20260115,15429,ADV,-42,e0:5a:1b:15:b2:ee,MF0017
RX_DELTAE_SWEEP_20260115,15926,ADV,-47,e0:5a:1b:15:b2:ee,MF0018
RX_DELTAE_SWEEP_20260115,16424,ADV,-44,e0:5a:1b:15:b2:ee,MF0019
RX_DELTAE_SWEEP_20260115,16923,ADV,-43,e0:5a:1b:15:b2:ee,MF001A
RX_DELTAE_SWEEP_20260115,17430,ADV,-48,e0:5a:1b:15:b2:ee,MF001B
RX_DELTAE_SWEEP_20260115,17924,ADV,-43,e0:5a:1b:15:b2:ee,MF001C
RX_DELTAE_SWEEP_20260115,18926,ADV,-48,e0:5a:1b:15:b2:ee,MF001E
RX_DELTAE_SWEEP_20260115,19424,ADV,-42,e0:5a:1b:15:b2:ee,MF001F
RX_DELTAE_SWEEP_20260115,19925,ADV,-42,e0:5a:1b:15:b2:ee,MF0020
RX_DELTAE_SWEEP_20260115,20436,ADV,-47,e0:5a:1b:15:b2:ee,MF0021
RX_DELTAE_SWEEP_20260115,20924,ADV,-42,e0:5a:1b:15:b2:ee,MF0022
RX_DELTAE_SWEEP_20260115,21425,ADV,-41,e0:5a:1b:15:b2:ee,MF0023
RX_DELTAE_SWEEP_20260115,21926,ADV,-47,e0:5a:1b:15:b2:ee,MF0024
RX_DELTAE_SWEEP_20260115,22426,ADV,-42,e0:5a:1b:15:b2:ee,MF0025
RX_DELTAE_SWEEP_20260115,22923,ADV,-42,e0:5a:1b:15:b2:ee,MF0026
RX_DELTAE_SWEEP_20260115,23446,ADV,-47,e0:5a:1b:15:b2:ee,MF0027
RX_DELTAE_SWEEP_20260115,23924,ADV,-42,e0:5a:1b:15:b2:ee,MF0028
RX_DELTAE_SWEEP_20260115,24425,ADV,-42,e0:5a:1b:15:b2:ee,MF0029
RX_DELTAE_SWEEP_20260115,24927,ADV,-48,e0:5a:1b:15:b2:ee,MF002A
RX_DELTAE_SWEEP_20260115,25424,ADV,-42,e0:5a:1b:15:b2:ee,MF002B
RX_DELTAE_SWEEP_20260115,25923,ADV,-42,e0:5a:1b:15:b2:ee,MF002C
RX_DELTAE_SWEEP_20260115,26426,ADV,-48,e0:5a:1b:15:b2:ee,MF002D
RX_DELTAE_SWEEP_20260115,26926,ADV,-42,e0:5a:1b:15:b2:ee,MF002E
RX_DELTAE_SWEEP_20260115,27423,ADV,-85,e0:5a:1b:15:b2:ee,MF002F
RX_DELTAE_SWEEP_20260115,27926,ADV,-47,e0:5a:1b:15:b2:ee,MF0030
RX_DELTAE_SWEEP_20260115,28426,ADV,-43,e0:5a:1b:15:b2:ee,MF0031
RX_DELTAE_SWEEP_20260115,28926,ADV,-42,e0:5a:1b:15:b2:ee,MF0032
RX_DELTAE_SWEEP_20260115,29427,ADV,-48,e0:5a:1b:15:b2:ee,MF0033
RX_DELTAE_SWEEP_20260115,29926,ADV,-43,e0:5a:1b:15:b2:ee,MF0034
RX_DELTAE_SWEEP_20260115,30428,ADV,-41,e0:5a:1b:15:b2:ee,MF0035
RX_DELTAE_SWEEP_20260115,30926,ADV,-48,e0:5a:1b:15:b2:ee,MF0036
RX_DELTAE_SWEEP_20260115,31427,ADV,-42,e0:5a:1b:15:b2:ee,MF0037
RX_DELTAE_SWEEP_20260115,31924,ADV,-42,e0:5a:1b:15:b2:ee,MF0038
RX_DELTAE_SWEEP_20260115,32427,ADV,-47,e0:5a:1b:15:b2:ee,MF0039
RX_DELTAE_SWEEP_20260115,32926,ADV,-42,e0:5a:1b:15:b2:ee,MF003A
RX_DELTAE_SWEEP_20260115,33423,ADV,-41,e0:5a:1b:15:b2:ee,MF003B
RX_DELTAE_SWEEP_20260115,33927,ADV,-48,e0:5a:1b:15:b2:ee,MF003C
RX_DELTAE_SWEEP_20260115,34424,ADV,-42,e0:5a:1b:15:b2:ee,MF003D
RX_DELTAE_SWEEP_20260115,35924,ADV,-42,e0:5a:1b:15:b2:ee,MF0040
RX_DELTAE_SWEEP_20260115,36423,ADV,-41,e0:5a:1b:15:b2:ee,MF0041
RX_DELTAE_SWEEP_20260115,36926,ADV,-48,e0:5a:1b:15:b2:ee,MF0042
RX_DELTAE_SWEEP_20260115,37424,ADV,-44,e0:5a:1b:15:b2:ee,MF0043
RX_DELTAE_SWEEP_20260115,37925,ADV,-42,e0:5a:1b:15:b2:ee,MF0044
RX_DELTAE_SWEEP_20260115,38427,ADV,-48,e0:5a:1b:15:b2:ee,MF0045
RX_DELTAE_SWEEP_20260115,38924,ADV,-42,e0:5a:1b:15:b2:ee,MF0046
RX_DELTAE_SWEEP_20260115,39927,ADV,-47,e0:5a:1b:15:b2:ee,MF0048
RX_DELTAE_SWEEP_20260115,40424,ADV,-43,e0:5a:1b:15:b2:ee,MF0049
RX_DELTAE_SWEEP_20260115,40925,ADV,-42,e0:5a:1b:15:b2:ee,MF004A
RX_DELTAE_SWEEP_20260115,41426,ADV,-48,e0:5a:1b:15:b2:ee,MF004B
RX_DELTAE_SWEEP_20260115,41925,ADV,-43,e0:5a:1b:15:b2:ee,MF004C
RX_DELTAE_SWEEP_20260115,42425,ADV,-42,e0:5a:1b:15:b2:ee,MF004D
RX_DELTAE_SWEEP_20260115,42929,ADV,-48,e0:5a:1b:15:b2:ee,MF004E
RX_DELTAE_SWEEP_20260115,43424,ADV,-42,e0:5a:1b:15:b2:ee,MF004F
RX_DELTAE_SWEEP_20260115,43923,ADV,-42,e0:5a:1b:15:b2:ee,MF0050
RX_DELTAE_SWEEP_20260115,44427,ADV,-48,e0:5a:1b:15:b2:ee,MF0051
RX_DELTAE_SWEEP_20260115,44929,ADV,-41,e0:5a:1b:15:b2:ee,MF0052
RX_DELTAE_SWEEP_20260115,45423,ADV,-42,e0:5a:1b:15:b2:ee,MF0053
RX_DELTAE_SWEEP_20260115,45926,ADV,-48,e0:5a:1b:15:b2:ee,MF0054
RX_DELTAE_SWEEP_20260115,46426,ADV,-43,e0:5a:1b:15:b2:ee,MF0055
RX_DELTAE_SWEEP_20260115,46923,ADV,-42,e0:5a:1b:15:b2:ee,MF0056
RX_DELTAE_SWEEP_20260115,47427,ADV,-49,e0:5a:1b:15:b2:ee,MF0057
RX_DELTAE_SWEEP_20260115,47924,ADV,-42,e0:5a:1b:15:b2:ee,MF0058
RX_DELTAE_SWEEP_20260115,48424,ADV,-42,e0:5a:1b:15:b2:ee,MF0059
RX_DELTAE_SWEEP_20260115,48926,ADV,-48,e0:5a:1b:15:b2:ee,MF005A
RX_DELTAE_SWEEP_20260115,49426,ADV,-42,e0:5a:1b:15:b2:ee,MF005B
RX_DELTAE_SWEEP_20260115,49942,ADV,-42,e0:5a:1b:15:b2:ee,MF005C
RX_DELTAE_SWEEP_20260115,50445,ADV,-48,e0:5a:1b:15:b2:ee,MF005D
RX_DELTAE_SWEEP_20260115,50926,ADV,-42,e0:5a:1b:15:b2:ee,MF005E
RX_DELTAE_SWEEP_20260115,51927,ADV,-48,e0:5a:1b:15:b2:ee,MF0060
RX_DELTAE_SWEEP_20260115,52427,ADV,-43,e0:5a:1b:15:b2:ee,MF0061
