prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=23, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,445,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,942,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,1441,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,1949,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,2442,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,2941,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,3444,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,3943,ADV,-45,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,4443,ADV,-43,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,5445,ADV,-46,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,5941,ADV,-43,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,6447,ADV,-48,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,6942,ADV,-45,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,7949,ADV,-47,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,8442,ADV,-46,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,8941,ADV,-42,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,9444,ADV,-47,e0:5a:1b:15:b2:ee,MF000B
