prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=27, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,446,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,932,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,1436,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,1937,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,2432,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,2942,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,3937,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,4435,ADV,-49,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,4939,ADV,-42,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,5432,ADV,-42,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,5947,ADV,-48,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,6434,ADV,-42,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,6937,ADV,-42,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,7440,ADV,-48,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,7933,ADV,-42,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,8432,ADV,-42,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,8942,ADV,-49,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,9433,ADV,-42,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,9940,ADV,-42,e0:5a:1b:15:b2:ee,MF000C
RX_DELTAE_SWEEP_20260115,10448,ADV,-48,e0:5a:1b:15:b2:ee,MF000D
RX_DELTAE_SWEEP_20260115,10933,ADV,-43,e0:5a:1b:15:b2:ee,MF000E
RX_DELTAE_SWEEP_20260115,11442,ADV,-42,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,11935,ADV,-49,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,12433,ADV,-42,e0:5a:1b:15:b2:ee,MF0011
RX_DELTAE_SWEEP_20260115,12932,ADV,-42,e0:5a:1b:15:b2:ee,MF0012
RX_DELTAE_SWEEP_20260115,13435,ADV,-49,e0:5a:1b:15:b2:ee,MF0013
RX_DELTAE_SWEEP_20260115,13933,ADV,-42,e0:5a:1b:15:b2:ee,MF0014
RX_DELTAE_SWEEP_20260115,14432,ADV,-42,e0:5a:1b:15:b2:ee,MF0015
RX_DELTAE_SWEEP_20260115,14935,ADV,-48,e0:5a:1b:15:b2:ee,MF0016
RX_DELTAE_SWEEP_20260115,15441,ADV,-44,e0:5a:1b:15:b2:ee,MF0017
RX_DELTAE_SWEEP_20260115,15932,ADV,-42,e0:5a:1b:15:b2:ee,MF0018
RX_DELTAE_SWEEP_20260115,16435,ADV,-48,e0:5a:1b:15:b2:ee,MF0019
RX_DELTAE_SWEEP_20260115,16946,ADV,-42,e0:5a:1b:15:b2:ee,MF001A
RX_DELTAE_SWEEP_20260115,17441,ADV,-42,e0:5a:1b:15:b2:ee,MF001B
RX_DELTAE_SWEEP_20260115,17936,ADV,-47,e0:5a:1b:15:b2:ee,MF001C
RX_DELTAE_SWEEP_20260115,18447,ADV,-42,e0:5a:1b:15:b2:ee,MF001D
RX_DELTAE_SWEEP_20260115,18932,ADV,-42,e0:5a:1b:15:b2:ee,MF001E
RX_DELTAE_SWEEP_20260115,19435,ADV,-48,e0:5a:1b:15:b2:ee,MF001F
RX_DELTAE_SWEEP_20260115,19935,ADV,-42,e0:5a:1b:15:b2:ee,MF0020
RX_DELTAE_SWEEP_20260115,20432,ADV,-42,e0:5a:1b:15:b2:ee,MF0021
RX_DELTAE_SWEEP_20260115,20945,ADV,-48,e0:5a:1b:15:b2:ee,MF0022
RX_DELTAE_SWEEP_20260115,21433,ADV,-43,e0:5a:1b:15:b2:ee,MF0023
RX_DELTAE_SWEEP_20260115,21938,ADV,-42,e0:5a:1b:15:b2:ee,MF0024
RX_DELTAE_SWEEP_20260115,22439,ADV,-47,e0:5a:1b:15:b2:ee,MF0025
RX_DELTAE_SWEEP_20260115,22934,ADV,-43,e0:5a:1b:15:b2:ee,MF0026
RX_DELTAE_SWEEP_20260115,23432,ADV,-42,e0:5a:1b:15:b2:ee,MF0027
RX_DELTAE_SWEEP_20260115,23935,ADV,-47,e0:5a:1b:15:b2:ee,MF0028
RX_DELTAE_SWEEP_20260115,24433,ADV,-43,e0:5a:1b:15:b2:ee,MF0029
RX_DELTAE_SWEEP_20260115,24932,ADV,-42,e0:5a:1b:15:b2:ee,MF002A
RX_DELTAE_SWEEP_20260115,25439,ADV,-48,e0:5a:1b:15:b2:ee,MF002B
RX_DELTAE_SWEEP_20260115,25933,ADV,-43,e0:5a:1b:15:b2:ee,MF002C
RX_DELTAE_SWEEP_20260115,26432,ADV,-43,e0:5a:1b:15:b2:ee,MF002D
RX_DELTAE_SWEEP_20260115,26935,ADV,-48,e0:5a:1b:15:b2:ee,MF002E
RX_DELTAE_SWEEP_20260115,27434,ADV,-42,e0:5a:1b:15:b2:ee,MF002F
RX_DELTAE_SWEEP_20260115,27932,ADV,-42,e0:5a:1b:15:b2:ee,MF0030
RX_DELTAE_SWEEP_20260115,28435,ADV,-47,e0:5a:1b:15:b2:ee,MF0031
RX_DELTAE_SWEEP_20260115,29433,ADV,-42,e0:5a:1b:15:b2:ee,MF0033
RX_DELTAE_SWEEP_20260115,29942,ADV,-48,e0:5a:1b:15:b2:ee,MF0034
RX_DELTAE_SWEEP_20260115,30447,ADV,-42,e0:5a:1b:15:b2:ee,MF0035
RX_DELTAE_SWEEP_20260115,31934,ADV,-43,e0:5a:1b:15:b2:ee,MF0038
RX_DELTAE_SWEEP_20260115,32446,ADV,-42,e0:5a:1b:15:b2:ee,MF0039
RX_DELTAE_SWEEP_20260115,32948,ADV,-47,e0:5a:1b:15:b2:ee,MF003A
RX_DELTAE_SWEEP_20260115,33932,ADV,-42,e0:5a:1b:15:b2:ee,MF003C
RX_DELTAE_SWEEP_20260115,34438,ADV,-47,e0:5a:1b:15:b2:ee,MF003D
RX_DELTAE_SWEEP_20260115,34943,ADV,-43,e0:5a:1b:15:b2:ee,MF003E
RX_DELTAE_SWEEP_20260115,35935,ADV,-47,e0:5a:1b:15:b2:ee,MF0040
RX_DELTAE_SWEEP_20260115,36443,ADV,-43,e0:5a:1b:15:b2:ee,MF0041
RX_DELTAE_SWEEP_20260115,36932,ADV,-42,e0:5a:1b:15:b2:ee,MF0042
