prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=31, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,449,ADV,-45,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,1445,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,2446,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,3462,ADV,-47,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,4442,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,5444,ADV,-45,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,6445,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,7450,ADV,-41,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,8444,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,9445,ADV,-47,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,10450,ADV,-42,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,11455,ADV,-44,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,12461,ADV,-47,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,13442,ADV,-42,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,14444,ADV,-42,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,15447,ADV,-47,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,16442,ADV,-42,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,17444,ADV,-42,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,18445,ADV,-48,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,19447,ADV,-42,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,20444,ADV,-43,e0:5a:1b:15:b2:ee,MF000C
RX_DELTAE_SWEEP_20260115,21462,ADV,-48,e0:5a:1b:15:b2:ee,MF000D
RX_DELTAE_SWEEP_20260115,23444,ADV,-43,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,24456,ADV,-48,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,26445,ADV,-44,e0:5a:1b:15:b2:ee,MF0012
RX_DELTAE_SWEEP_20260115,27446,ADV,-48,e0:5a:1b:15:b2:ee,MF0013
