prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=32, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,444,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,1461,ADV,-49,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,2454,ADV,-41,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,3444,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,4445,ADV,-49,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,5462,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,7445,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,8445,ADV,-41,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,9444,ADV,-43,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,10445,ADV,-48,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,11446,ADV,-42,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,12444,ADV,-43,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,13445,ADV,-48,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,14444,ADV,-41,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,15462,ADV,-42,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,16462,ADV,-48,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,17442,ADV,-41,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,18444,ADV,-44,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,19449,ADV,-48,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,20442,ADV,-42,e0:5a:1b:15:b2:ee,MF000C
RX_DELTAE_SWEEP_20260115,21459,ADV,-43,e0:5a:1b:15:b2:ee,MF000D
RX_DELTAE_SWEEP_20260115,22453,ADV,-49,e0:5a:1b:15:b2:ee,MF000E
RX_DELTAE_SWEEP_20260115,23462,ADV,-43,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,24462,ADV,-43,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,25448,ADV,-47,e0:5a:1b:15:b2:ee,MF0011
RX_DELTAE_SWEEP_20260115,26462,ADV,-42,e0:5a:1b:15:b2:ee,MF0012
RX_DELTAE_SWEEP_20260115,27444,ADV,-43,e0:5a:1b:15:b2:ee,MF0013
RX_DELTAE_SWEEP_20260115,28445,ADV,-48,e0:5a:1b:15:b2:ee,MF0014
RX_DELTAE_SWEEP_20260115,29442,ADV,-42,e0:5a:1b:15:b2:ee,MF0015
RX_DELTAE_SWEEP_20260115,30462,ADV,-43,e0:5a:1b:15:b2:ee,MF0016
RX_DELTAE_SWEEP_20260115,31448,ADV,-48,e0:5a:1b:15:b2:ee,MF0017
RX_DELTAE_SWEEP_20260115,32443,ADV,-42,e0:5a:1b:15:b2:ee,MF0018
RX_DELTAE_SWEEP_20260115,33450,ADV,-44,e0:5a:1b:15:b2:ee,MF0019
RX_DELTAE_SWEEP_20260115,34445,ADV,-48,e0:5a:1b:15:b2:ee,MF001A
RX_DELTAE_SWEEP_20260115,35443,ADV,-42,e0:5a:1b:15:b2:ee,MF001B
RX_DELTAE_SWEEP_20260115,36451,ADV,-43,e0:5a:1b:15:b2:ee,MF001C
RX_DELTAE_SWEEP_20260115,37456,ADV,-48,e0:5a:1b:15:b2:ee,MF001D
RX_DELTAE_SWEEP_20260115,38444,ADV,-43,e0:5a:1b:15:b2:ee,MF001E
RX_DELTAE_SWEEP_20260115,39444,ADV,-42,e0:5a:1b:15:b2:ee,MF001F
RX_DELTAE_SWEEP_20260115,40445,ADV,-48,e0:5a:1b:15:b2:ee,MF0020
