prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=33, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,428,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,1443,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,2431,ADV,-49,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,3435,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,4430,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,5432,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,6428,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,7447,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,8431,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,9429,ADV,-42,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,10430,ADV,-43,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,11431,ADV,-48,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,12432,ADV,-42,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,13435,ADV,-44,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,14431,ADV,-48,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,15428,ADV,-42,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,16432,ADV,-42,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,17431,ADV,-48,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,18428,ADV,-41,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,19432,ADV,-42,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,20441,ADV,-48,e0:5a:1b:15:b2:ee,MF000C
RX_DELTAE_SWEEP_20260115,21428,ADV,-42,e0:5a:1b:15:b2:ee,MF000D
RX_DELTAE_SWEEP_20260115,22430,ADV,-43,e0:5a:1b:15:b2:ee,MF000E
RX_DELTAE_SWEEP_20260115,23431,ADV,-48,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,24434,ADV,-42,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,26447,ADV,-48,e0:5a:1b:15:b2:ee,MF0012
RX_DELTAE_SWEEP_20260115,27429,ADV,-42,e0:5a:1b:15:b2:ee,MF0013
RX_DELTAE_SWEEP_20260115,28431,ADV,-44,e0:5a:1b:15:b2:ee,MF0014
RX_DELTAE_SWEEP_20260115,29431,ADV,-48,e0:5a:1b:15:b2:ee,MF0015
RX_DELTAE_SWEEP_20260115,30428,ADV,-42,e0:5a:1b:15:b2:ee,MF0016
RX_DELTAE_SWEEP_20260115,31431,ADV,-43,e0:5a:1b:15:b2:ee,MF0017
RX_DELTAE_SWEEP_20260115,32431,ADV,-48,e0:5a:1b:15:b2:ee,MF0018
RX_DELTAE_SWEEP_20260115,33428,ADV,-41,e0:5a:1b:15:b2:ee,MF0019
RX_DELTAE_SWEEP_20260115,34436,ADV,-44,e0:5a:1b:15:b2:ee,MF001A
RX_DELTAE_SWEEP_20260115,35431,ADV,-46,e0:5a:1b:15:b2:ee,MF001B
RX_DELTAE_SWEEP_20260115,36443,ADV,-43,e0:5a:1b:15:b2:ee,MF001C
RX_DELTAE_SWEEP_20260115,37436,ADV,-43,e0:5a:1b:15:b2:ee,MF001D
RX_DELTAE_SWEEP_20260115,38446,ADV,-47,e0:5a:1b:15:b2:ee,MF001E
RX_DELTAE_SWEEP_20260115,39447,ADV,-43,e0:5a:1b:15:b2:ee,MF001F
RX_DELTAE_SWEEP_20260115,40435,ADV,-43,e0:5a:1b:15:b2:ee,MF0020
RX_DELTAE_SWEEP_20260115,41446,ADV,-47,e0:5a:1b:15:b2:ee,MF0021
RX_DELTAE_SWEEP_20260115,43432,ADV,-44,e0:5a:1b:15:b2:ee,MF0023
RX_DELTAE_SWEEP_20260115,44439,ADV,-47,e0:5a:1b:15:b2:ee,MF0024
RX_DELTAE_SWEEP_20260115,45429,ADV,-43,e0:5a:1b:15:b2:ee,MF0025
RX_DELTAE_SWEEP_20260115,46430,ADV,-44,e0:5a:1b:15:b2:ee,MF0026
RX_DELTAE_SWEEP_20260115,47435,ADV,-46,e0:5a:1b:15:b2:ee,MF0027
RX_DELTAE_SWEEP_20260115,48428,ADV,-42,e0:5a:1b:15:b2:ee,MF0028
RX_DELTAE_SWEEP_20260115,49430,ADV,-45,e0:5a:1b:15:b2:ee,MF0029
RX_DELTAE_SWEEP_20260115,50442,ADV,-47,e0:5a:1b:15:b2:ee,MF002A
RX_DELTAE_SWEEP_20260115,51448,ADV,-43,e0:5a:1b:15:b2:ee,MF002B
RX_DELTAE_SWEEP_20260115,52432,ADV,-43,e0:5a:1b:15:b2:ee,MF002C
RX_DELTAE_SWEEP_20260115,53447,ADV,-47,e0:5a:1b:15:b2:ee,MF002D
