prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=36, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,429,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,1429,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,2443,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,3443,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,4427,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,6435,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,7442,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,8429,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,9427,ADV,-42,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,10427,ADV,-43,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,11429,ADV,-48,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,12443,ADV,-42,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,13434,ADV,-43,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,14429,ADV,-48,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,15426,ADV,-42,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,16427,ADV,-43,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,18426,ADV,-42,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,19427,ADV,-43,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,20428,ADV,-47,e0:5a:1b:15:b2:ee,MF000C
RX_DELTAE_SWEEP_20260115,21434,ADV,-42,e0:5a:1b:15:b2:ee,MF000D
RX_DELTAE_SWEEP_20260115,22428,ADV,-42,e0:5a:1b:15:b2:ee,MF000E
RX_DELTAE_SWEEP_20260115,23428,ADV,-48,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,24429,ADV,-43,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,25427,ADV,-44,e0:5a:1b:15:b2:ee,MF0011
RX_DELTAE_SWEEP_20260115,26428,ADV,-48,e0:5a:1b:15:b2:ee,MF0012
RX_DELTAE_SWEEP_20260115,27435,ADV,-42,e0:5a:1b:15:b2:ee,MF0013
RX_DELTAE_SWEEP_20260115,28427,ADV,-44,e0:5a:1b:15:b2:ee,MF0014
RX_DELTAE_SWEEP_20260115,29428,ADV,-48,e0:5a:1b:15:b2:ee,MF0015
RX_DELTAE_SWEEP_20260115,30425,ADV,-42,e0:5a:1b:15:b2:ee,MF0016
RX_DELTAE_SWEEP_20260115,31427,ADV,-43,e0:5a:1b:15:b2:ee,MF0017
RX_DELTAE_SWEEP_20260115,32428,ADV,-48,e0:5a:1b:15:b2:ee,MF0018
RX_DELTAE_SWEEP_20260115,33429,ADV,-42,e0:5a:1b:15:b2:ee,MF0019
RX_DELTAE_SWEEP_20260115,34433,ADV,-43,e0:5a:1b:15:b2:ee,MF001A
RX_DELTAE_SWEEP_20260115,35428,ADV,-48,e0:5a:1b:15:b2:ee,MF001B
RX_DELTAE_SWEEP_20260115,37427,ADV,-43,e0:5a:1b:15:b2:ee,MF001D
RX_DELTAE_SWEEP_20260115,38428,ADV,-48,e0:5a:1b:15:b2:ee,MF001E
RX_DELTAE_SWEEP_20260115,39430,ADV,-41,e0:5a:1b:15:b2:ee,MF001F
RX_DELTAE_SWEEP_20260115,40430,ADV,-44,e0:5a:1b:15:b2:ee,MF0020
RX_DELTAE_SWEEP_20260115,41428,ADV,-48,e0:5a:1b:15:b2:ee,MF0021
RX_DELTAE_SWEEP_20260115,42425,ADV,-42,e0:5a:1b:15:b2:ee,MF0022
RX_DELTAE_SWEEP_20260115,43430,ADV,-43,e0:5a:1b:15:b2:ee,MF0023
RX_DELTAE_SWEEP_20260115,44428,ADV,-46,e0:5a:1b:15:b2:ee,MF0024
RX_DELTAE_SWEEP_20260115,45425,ADV,-42,e0:5a:1b:15:b2:ee,MF0025
RX_DELTAE_SWEEP_20260115,46427,ADV,-42,e0:5a:1b:15:b2:ee,MF0026
RX_DELTAE_SWEEP_20260115,47428,ADV,-47,e0:5a:1b:15:b2:ee,MF0027
RX_DELTAE_SWEEP_20260115,48439,ADV,-43,e0:5a:1b:15:b2:ee,MF0028
RX_DELTAE_SWEEP_20260115,49427,ADV,-43,e0:5a:1b:15:b2:ee,MF0029
RX_DELTAE_SWEEP_20260115,50429,ADV,-47,e0:5a:1b:15:b2:ee,MF002A
RX_DELTAE_SWEEP_20260115,51426,ADV,-43,e0:5a:1b:15:b2:ee,MF002B
RX_DELTAE_SWEEP_20260115,52440,ADV,-40,e0:5a:1b:15:b2:ee,MF002C
RX_DELTAE_SWEEP_20260115,53428,ADV,-47,e0:5a:1b:15:b2:ee,MF002D
RX_DELTAE_SWEEP_20260115,54444,ADV,-43,e0:5a:1b:15:b2:ee,MF002E
RX_DELTAE_SWEEP_20260115,55438,ADV,-42,e0:5a:1b:15:b2:ee,MF002F
RX_DELTAE_SWEEP_20260115,56437,ADV,-49,e0:5a:1b:15:b2:ee,MF0030
RX_DELTAE_SWEEP_20260115,57426,ADV,-44,e0:5a:1b:15:b2:ee,MF0031
RX_DELTAE_SWEEP_20260115,58430,ADV,-42,e0:5a:1b:15:b2:ee,MF0032
RX_DELTAE_SWEEP_20260115,59429,ADV,-48,e0:5a:1b:15:b2:ee,MF0033
