prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=37, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,442,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,1439,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,2448,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,3444,ADV,-47,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,4450,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,6445,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,7439,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,8440,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,9451,ADV,-47,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,10439,ADV,-42,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,11444,ADV,-44,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,12444,ADV,-47,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,13456,ADV,-42,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,14446,ADV,-43,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,15443,ADV,-46,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,16442,ADV,-41,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,17443,ADV,-42,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,18442,ADV,-47,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,19439,ADV,-42,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,20446,ADV,-43,e0:5a:1b:15:b2:ee,MF000C
RX_DELTAE_SWEEP_20260115,21444,ADV,-47,e0:5a:1b:15:b2:ee,MF000D
RX_DELTAE_SWEEP_20260115,22442,ADV,-42,e0:5a:1b:15:b2:ee,MF000E
RX_DELTAE_SWEEP_20260115,23440,ADV,-42,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,24442,ADV,-47,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,25439,ADV,-42,e0:5a:1b:15:b2:ee,MF0011
RX_DELTAE_SWEEP_20260115,26444,ADV,-45,e0:5a:1b:15:b2:ee,MF0012
RX_DELTAE_SWEEP_20260115,27442,ADV,-47,e0:5a:1b:15:b2:ee,MF0013
RX_DELTAE_SWEEP_20260115,28442,ADV,-42,e0:5a:1b:15:b2:ee,MF0014
RX_DELTAE_SWEEP_20260115,29442,ADV,-42,e0:5a:1b:15:b2:ee,MF0015
RX_DELTAE_SWEEP_20260115,30442,ADV,-46,e0:5a:1b:15:b2:ee,MF0016
RX_DELTAE_SWEEP_20260115,31440,ADV,-42,e0:5a:1b:15:b2:ee,MF0017
RX_DELTAE_SWEEP_20260115,32441,ADV,-43,e0:5a:1b:15:b2:ee,MF0018
RX_DELTAE_SWEEP_20260115,33442,ADV,-47,e0:5a:1b:15:b2:ee,MF0019
RX_DELTAE_SWEEP_20260115,34439,ADV,-43,e0:5a:1b:15:b2:ee,MF001A
RX_DELTAE_SWEEP_20260115,35441,ADV,-45,e0:5a:1b:15:b2:ee,MF001B
RX_DELTAE_SWEEP_20260115,36446,ADV,-47,e0:5a:1b:15:b2:ee,MF001C
RX_DELTAE_SWEEP_20260115,37438,ADV,-42,e0:5a:1b:15:b2:ee,MF001D
