prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=41, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,936,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,1437,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,3447,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,5435,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,7439,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,9432,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,11441,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,13440,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,15432,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,17447,ADV,-50,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,19436,ADV,-43,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,21434,ADV,-42,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,23436,ADV,-49,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,25433,ADV,-43,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,27432,ADV,-42,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,29435,ADV,-47,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,31433,ADV,-43,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,35442,ADV,-49,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,37433,ADV,-42,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,39432,ADV,-42,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,41438,ADV,-48,e0:5a:1b:15:b2:ee,MF000C
RX_DELTAE_SWEEP_20260115,43440,ADV,-44,e0:5a:1b:15:b2:ee,MF000D
RX_DELTAE_SWEEP_20260115,45432,ADV,-42,e0:5a:1b:15:b2:ee,MF000E
RX_DELTAE_SWEEP_20260115,47435,ADV,-48,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,49433,ADV,-43,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,51436,ADV,-43,e0:5a:1b:15:b2:ee,MF0011
RX_DELTAE_SWEEP_20260115,53448,ADV,-48,e0:5a:1b:15:b2:ee,MF0012
RX_DELTAE_SWEEP_20260115,55433,ADV,-44,e0:5a:1b:15:b2:ee,MF0013
RX_DELTAE_SWEEP_20260115,57448,ADV,-43,e0:5a:1b:15:b2:ee,MF0014
RX_DELTAE_SWEEP_20260115,59437,ADV,-48,e0:5a:1b:15:b2:ee,MF0015
