prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=42, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,1420,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,3427,ADV,-47,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,5431,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,7420,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,9425,ADV,-47,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,11422,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,13420,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,15423,ADV,-48,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,17435,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,19420,ADV,-42,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,21426,ADV,-49,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,23423,ADV,-43,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,25435,ADV,-45,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,27423,ADV,-47,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,29423,ADV,-45,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,31420,ADV,-43,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,33423,ADV,-47,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,35421,ADV,-45,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,37420,ADV,-43,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,39423,ADV,-47,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,41430,ADV,-42,e0:5a:1b:15:b2:ee,MF000C
RX_DELTAE_SWEEP_20260115,45432,ADV,-47,e0:5a:1b:15:b2:ee,MF000E
RX_DELTAE_SWEEP_20260115,47421,ADV,-43,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,49420,ADV,-43,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,51428,ADV,-48,e0:5a:1b:15:b2:ee,MF0011
RX_DELTAE_SWEEP_20260115,53435,ADV,-43,e0:5a:1b:15:b2:ee,MF0012
RX_DELTAE_SWEEP_20260115,55420,ADV,-44,e0:5a:1b:15:b2:ee,MF0013
RX_DELTAE_SWEEP_20260115,57423,ADV,-49,e0:5a:1b:15:b2:ee,MF0014
RX_DELTAE_SWEEP_20260115,59422,ADV,-44,e0:5a:1b:15:b2:ee,MF0015
