prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_DeltaE_Sweep, program_id=RX_DELTAE_SWEEP_20260115, trial_index=47, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 19 2026 16:22:49
RX_DELTAE_SWEEP_20260115,426,ADV,-43,e0:5a:1b:15:b2:ee,MF0015
RX_DELTAE_SWEEP_20260115,1420,ADV,-45,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,3417,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,5430,ADV,-47,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,7419,ADV,-45,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,9421,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,11420,ADV,-47,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,13424,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,15417,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,17427,ADV,-46,e0:5a:1b:15:b2:ee,MF0000
RX_DELTAE_SWEEP_20260115,19423,ADV,-44,e0:5a:1b:15:b2:ee,MF0001
RX_DELTAE_SWEEP_20260115,21417,ADV,-43,e0:5a:1b:15:b2:ee,MF0002
RX_DELTAE_SWEEP_20260115,23420,ADV,-47,e0:5a:1b:15:b2:ee,MF0003
RX_DELTAE_SWEEP_20260115,25423,ADV,-83,e0:5a:1b:15:b2:ee,MF0004
RX_DELTAE_SWEEP_20260115,27417,ADV,-42,e0:5a:1b:15:b2:ee,MF0005
RX_DELTAE_SWEEP_20260115,29420,ADV,-47,e0:5a:1b:15:b2:ee,MF0006
RX_DELTAE_SWEEP_20260115,31426,ADV,-45,e0:5a:1b:15:b2:ee,MF0007
RX_DELTAE_SWEEP_20260115,33417,ADV,-43,e0:5a:1b:15:b2:ee,MF0008
RX_DELTAE_SWEEP_20260115,35421,ADV,-47,e0:5a:1b:15:b2:ee,MF0009
RX_DELTAE_SWEEP_20260115,37419,ADV,-42,e0:5a:1b:15:b2:ee,MF000A
RX_DELTAE_SWEEP_20260115,39417,ADV,-42,e0:5a:1b:15:b2:ee,MF000B
RX_DELTAE_SWEEP_20260115,41425,ADV,-48,e0:5a:1b:15:b2:ee,MF000C
RX_DELTAE_SWEEP_20260115,43419,ADV,-45,e0:5a:1b:15:b2:ee,MF000D
RX_DELTAE_SWEEP_20260115,45425,ADV,-43,e0:5a:1b:15:b2:ee,MF000E
RX_DELTAE_SWEEP_20260115,47428,ADV,-48,e0:5a:1b:15:b2:ee,MF000F
RX_DELTAE_SWEEP_20260115,49419,ADV,-44,e0:5a:1b:15:b2:ee,MF0010
RX_DELTAE_SWEEP_20260115,51428,ADV,-105,e0:5a:1b:15:b2:ee,MF0011
RX_DELTAE_SWEEP_20260115,53421,ADV,-47,e0:5a:1b:15:b2:ee,MF0012
RX_DELTAE_SWEEP_20260115,55422,ADV,-44,e0:5a:1b:15:b2:ee,MF0013
RX_DELTAE_SWEEP_20260115,57418,ADV,-43,e0:5a:1b:15:b2:ee,MF0014
RX_DELTAE_SWEEP_20260115,59422,ADV,-47,e0:5a:1b:15:b2:ee,MF0015
