prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 19 2026 13:32:04
TXSD_DELTAE_SWEEP_20260115,11,4948,52700,260.8,0
TXSD_DELTAE_SWEEP_20260115,20,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,30,4948,52700,260.8,0
TXSD_DELTAE_SWEEP_20260115,40,4948,54100,267.7,0
TXSD_DELTAE_SWEEP_20260115,50,4948,52600,260.3,0
TXSD_DELTAE_SWEEP_20260115,60,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,70,4948,52600,260.3,0
TXSD_DELTAE_SWEEP_20260115,80,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,90,4948,52600,260.3,0
TXSD_DELTAE_SWEEP_20260115,100,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,110,4948,53000,262.2,0
TXSD_DELTAE_SWEEP_20260115,120,4948,54000,267.2,0
TXSD_DELTAE_SWEEP_20260115,130,4948,53300,263.7,0
TXSD_DELTAE_SWEEP_20260115,140,4948,53500,264.7,0
TXSD_DELTAE_SWEEP_20260115,150,4948,53300,263.7,0
TXSD_DELTAE_SWEEP_20260115,160,4948,53500,264.7,0
TXSD_DELTAE_SWEEP_20260115,170,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,180,4948,52700,260.8,0
TXSD_DELTAE_SWEEP_20260115,190,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,200,4948,52600,260.3,0
TXSD_DELTAE_SWEEP_20260115,210,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,220,4948,52600,260.3,0
TXSD_DELTAE_SWEEP_20260115,230,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,240,4948,52600,260.3,0
TXSD_DELTAE_SWEEP_20260115,250,4952,54200,268.4,0
TXSD_DELTAE_SWEEP_20260115,260,4948,52600,260.3,0
TXSD_DELTAE_SWEEP_20260115,270,4952,54200,268.4,0
TXSD_DELTAE_SWEEP_20260115,280,4948,52800,261.3,0
TXSD_DELTAE_SWEEP_20260115,290,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,300,4948,53300,263.7,0
TXSD_DELTAE_SWEEP_20260115,310,4948,53600,265.2,0
TXSD_DELTAE_SWEEP_20260115,320,4948,53300,263.7,0
TXSD_DELTAE_SWEEP_20260115,330,4948,53600,265.2,0
TXSD_DELTAE_SWEEP_20260115,340,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,350,4948,52700,260.8,0
TXSD_DELTAE_SWEEP_20260115,360,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,370,4948,52600,260.3,0
TXSD_DELTAE_SWEEP_20260115,380,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,390,4948,52600,260.3,0
TXSD_DELTAE_SWEEP_20260115,400,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,410,4948,52600,260.3,0
TXSD_DELTAE_SWEEP_20260115,420,4948,54100,267.7,0
TXSD_DELTAE_SWEEP_20260115,430,4948,52600,260.3,0
TXSD_DELTAE_SWEEP_20260115,440,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,450,4948,52700,260.8,0
TXSD_DELTAE_SWEEP_20260115,460,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,470,4948,53300,263.7,0
TXSD_DELTAE_SWEEP_20260115,480,4948,53600,265.2,0
TXSD_DELTAE_SWEEP_20260115,490,4948,53300,263.7,0
TXSD_DELTAE_SWEEP_20260115,500,4948,53600,265.2,0
TXSD_DELTAE_SWEEP_20260115,510,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,520,4948,52500,259.8,0
TXSD_DELTAE_SWEEP_20260115,530,4948,54300,268.7,0
TXSD_DELTAE_SWEEP_20260115,540,4948,52600,260.3,0
TXSD_DELTAE_SWEEP_20260115,550,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,560,4948,52600,260.3,0
TXSD_DELTAE_SWEEP_20260115,570,4948,54300,268.7,0
TXSD_DELTAE_SWEEP_20260115,580,4948,52600,260.3,0
TXSD_DELTAE_SWEEP_20260115,590,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,600,4948,52600,260.3,0
TXSD_DELTAE_SWEEP_20260115,610,4948,54200,268.2,0
TXSD_DELTAE_SWEEP_20260115,620,4948,52600,260.3,0
TXSD_DELTAE_SWEEP_20260115,630,4948,54300,268.7,0
TXSD_DELTAE_SWEEP_20260115,640,4948,53200,263.2,0
TXSD_DELTAE_SWEEP_20260115,650,4948,53600,265.2,0
