prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 19 2026 13:32:04
TXSD_DELTAE_SWEEP_20260115,11,4944,56100,277.4,6
TXSD_DELTAE_SWEEP_20260115,21,4948,57600,285.0,6
TXSD_DELTAE_SWEEP_20260115,31,4944,56600,279.8,6
TXSD_DELTAE_SWEEP_20260115,41,4944,56900,281.3,6
TXSD_DELTAE_SWEEP_20260115,51,4944,132800,656.6,7
TXSD_DELTAE_SWEEP_20260115,61,4852,149700,726.3,7
TXSD_DELTAE_SWEEP_20260115,71,4944,56700,280.3,7
TXSD_DELTAE_SWEEP_20260115,81,4944,56000,276.9,7
TXSD_DELTAE_SWEEP_20260115,91,4948,57600,285.0,7
TXSD_DELTAE_SWEEP_20260115,101,4944,56000,276.9,7
TXSD_DELTAE_SWEEP_20260115,111,4948,57600,285.0,7
TXSD_DELTAE_SWEEP_20260115,121,4944,56000,276.9,7
TXSD_DELTAE_SWEEP_20260115,131,4944,57600,284.8,7
TXSD_DELTAE_SWEEP_20260115,141,4944,56000,276.9,7
TXSD_DELTAE_SWEEP_20260115,151,4888,64400,314.8,8
TXSD_DELTAE_SWEEP_20260115,161,4852,180200,874.3,8
TXSD_DELTAE_SWEEP_20260115,171,4948,57600,285.0,8
TXSD_DELTAE_SWEEP_20260115,181,4944,56700,280.3,8
TXSD_DELTAE_SWEEP_20260115,191,4948,56800,281.0,8
TXSD_DELTAE_SWEEP_20260115,201,4944,56700,280.3,8
TXSD_DELTAE_SWEEP_20260115,211,4944,56900,281.3,8
TXSD_DELTAE_SWEEP_20260115,221,4944,56600,279.8,8
TXSD_DELTAE_SWEEP_20260115,231,4944,56800,280.8,8
TXSD_DELTAE_SWEEP_20260115,241,4944,57400,283.8,8
TXSD_DELTAE_SWEEP_20260115,251,4924,61900,304.8,9
TXSD_DELTAE_SWEEP_20260115,261,4828,135200,652.7,9
TXSD_DELTAE_SWEEP_20260115,271,4944,56000,276.9,9
TXSD_DELTAE_SWEEP_20260115,281,4948,57600,285.0,9
TXSD_DELTAE_SWEEP_20260115,291,4944,56000,276.9,9
TXSD_DELTAE_SWEEP_20260115,301,4944,57600,284.8,9
TXSD_DELTAE_SWEEP_20260115,311,4944,55900,276.4,9
TXSD_DELTAE_SWEEP_20260115,321,4948,57600,285.0,9
TXSD_DELTAE_SWEEP_20260115,331,4944,56000,276.9,9
TXSD_DELTAE_SWEEP_20260115,341,4948,57500,284.5,9
TXSD_DELTAE_SWEEP_20260115,351,4944,111800,552.7,10
TXSD_DELTAE_SWEEP_20260115,361,4848,134000,649.6,10
TXSD_DELTAE_SWEEP_20260115,371,4944,56600,279.8,10
TXSD_DELTAE_SWEEP_20260115,381,4944,57000,281.8,10
TXSD_DELTAE_SWEEP_20260115,391,4948,56600,280.1,10
TXSD_DELTAE_SWEEP_20260115,401,4944,55900,276.4,10
TXSD_DELTAE_SWEEP_20260115,411,4948,57600,285.0,10
TXSD_DELTAE_SWEEP_20260115,421,4944,56000,276.9,10
TXSD_DELTAE_SWEEP_20260115,431,4944,57600,284.8,10
TXSD_DELTAE_SWEEP_20260115,441,4944,56000,276.9,10
TXSD_DELTAE_SWEEP_20260115,451,4868,68800,334.9,11
