prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 19 2026 13:32:04
TXSD_DELTAE_SWEEP_20260115,11,4948,56100,277.6,606
TXSD_DELTAE_SWEEP_20260115,21,4944,57600,284.8,606
TXSD_DELTAE_SWEEP_20260115,31,4948,56100,277.6,606
TXSD_DELTAE_SWEEP_20260115,41,4948,57600,285.0,606
TXSD_DELTAE_SWEEP_20260115,51,4936,150900,744.8,607
TXSD_DELTAE_SWEEP_20260115,61,4848,168100,814.9,607
TXSD_DELTAE_SWEEP_20260115,71,4944,56000,276.9,607
TXSD_DELTAE_SWEEP_20260115,81,4948,57600,285.0,607
TXSD_DELTAE_SWEEP_20260115,91,4944,56100,277.4,607
TXSD_DELTAE_SWEEP_20260115,101,4948,57600,285.0,607
TXSD_DELTAE_SWEEP_20260115,111,4944,56000,276.9,607
TXSD_DELTAE_SWEEP_20260115,121,4944,57400,283.8,607
TXSD_DELTAE_SWEEP_20260115,131,4944,56700,280.3,607
TXSD_DELTAE_SWEEP_20260115,141,4944,57000,281.8,607
TXSD_DELTAE_SWEEP_20260115,151,4916,58800,289.1,608
TXSD_DELTAE_SWEEP_20260115,161,4852,173000,839.4,608
TXSD_DELTAE_SWEEP_20260115,171,4944,56600,279.8,608
TXSD_DELTAE_SWEEP_20260115,181,4944,56000,276.9,608
TXSD_DELTAE_SWEEP_20260115,191,4948,57600,285.0,608
TXSD_DELTAE_SWEEP_20260115,201,4944,56000,276.9,608
TXSD_DELTAE_SWEEP_20260115,211,4948,57600,285.0,608
TXSD_DELTAE_SWEEP_20260115,221,4944,56100,277.4,608
TXSD_DELTAE_SWEEP_20260115,231,4948,57600,285.0,608
TXSD_DELTAE_SWEEP_20260115,241,4944,56000,276.9,608
TXSD_DELTAE_SWEEP_20260115,251,4936,77600,383.0,609
TXSD_DELTAE_SWEEP_20260115,261,4796,133600,640.7,609
TXSD_DELTAE_SWEEP_20260115,271,4948,57600,285.0,609
TXSD_DELTAE_SWEEP_20260115,281,4944,56100,277.4,609
TXSD_DELTAE_SWEEP_20260115,291,4944,56900,281.3,609
TXSD_DELTAE_SWEEP_20260115,301,4944,56600,279.8,609
TXSD_DELTAE_SWEEP_20260115,311,4948,57000,282.0,609
TXSD_DELTAE_SWEEP_20260115,321,4944,56700,280.3,609
TXSD_DELTAE_SWEEP_20260115,331,4944,56900,281.3,609
TXSD_DELTAE_SWEEP_20260115,341,4944,57200,282.8,609
TXSD_DELTAE_SWEEP_20260115,351,4944,136900,676.8,610
TXSD_DELTAE_SWEEP_20260115,361,4856,151000,733.3,610
TXSD_DELTAE_SWEEP_20260115,371,4944,56000,276.9,610
TXSD_DELTAE_SWEEP_20260115,381,4948,57600,285.0,610
TXSD_DELTAE_SWEEP_20260115,391,4944,56000,276.9,610
TXSD_DELTAE_SWEEP_20260115,401,4948,57600,285.0,610
TXSD_DELTAE_SWEEP_20260115,411,4944,56100,277.4,610
TXSD_DELTAE_SWEEP_20260115,421,4944,57600,284.8,610
TXSD_DELTAE_SWEEP_20260115,431,4944,56000,276.9,610
TXSD_DELTAE_SWEEP_20260115,441,4944,57600,284.8,610
TXSD_DELTAE_SWEEP_20260115,451,4892,61500,300.9,611
TXSD_DELTAE_SWEEP_20260115,461,4852,181400,880.2,611
TXSD_DELTAE_SWEEP_20260115,471,4944,56700,280.3,611
TXSD_DELTAE_SWEEP_20260115,481,4948,56900,281.5,611
TXSD_DELTAE_SWEEP_20260115,491,4944,56700,280.3,611
TXSD_DELTAE_SWEEP_20260115,501,4948,56300,278.6,611
TXSD_DELTAE_SWEEP_20260115,511,4944,57700,285.3,611
TXSD_DELTAE_SWEEP_20260115,521,4944,55900,276.4,611
TXSD_DELTAE_SWEEP_20260115,531,4948,57600,285.0,611
TXSD_DELTAE_SWEEP_20260115,541,4944,56000,276.9,611
TXSD_DELTAE_SWEEP_20260115,551,4928,64900,319.8,612
TXSD_DELTAE_SWEEP_20260115,561,4816,137200,660.8,612
TXSD_DELTAE_SWEEP_20260115,571,4948,57600,285.0,612
TXSD_DELTAE_SWEEP_20260115,581,4944,56000,276.9,612
TXSD_DELTAE_SWEEP_20260115,591,4944,57600,284.8,612
TXSD_DELTAE_SWEEP_20260115,601,4944,56000,276.9,612
TXSD_DELTAE_SWEEP_20260115,611,4948,57600,285.0,612
TXSD_DELTAE_SWEEP_20260115,621,4944,56100,277.4,612
TXSD_DELTAE_SWEEP_20260115,631,4944,56900,281.3,612
TXSD_DELTAE_SWEEP_20260115,641,4944,56700,280.3,612
TXSD_DELTAE_SWEEP_20260115,651,4944,113000,558.7,613
TXSD_DELTAE_SWEEP_20260115,661,4848,134700,653.0,613
TXSD_DELTAE_SWEEP_20260115,671,4944,56000,276.9,613
TXSD_DELTAE_SWEEP_20260115,681,4948,57500,284.5,613
TXSD_DELTAE_SWEEP_20260115,691,4944,56000,276.9,613
TXSD_DELTAE_SWEEP_20260115,701,4944,57600,284.8,613
TXSD_DELTAE_SWEEP_20260115,711,4944,56000,276.9,613
TXSD_DELTAE_SWEEP_20260115,721,4948,57600,285.0,613
TXSD_DELTAE_SWEEP_20260115,731,4944,56000,276.9,613
TXSD_DELTAE_SWEEP_20260115,741,4948,57600,285.0,613
TXSD_DELTAE_SWEEP_20260115,751,4920,67200,330.6,614
TXSD_DELTAE_SWEEP_20260115,763,4856,57600,279.7,614
TXSD_DELTAE_SWEEP_20260115,771,4944,56000,276.9,614
TXSD_DELTAE_SWEEP_20260115,781,4948,57600,285.0,614
TXSD_DELTAE_SWEEP_20260115,791,4944,56500,279.3,614
TXSD_DELTAE_SWEEP_20260115,801,4944,56900,281.3,614
TXSD_DELTAE_SWEEP_20260115,811,4944,56700,280.3,614
TXSD_DELTAE_SWEEP_20260115,821,4948,56900,281.5,614
TXSD_DELTAE_SWEEP_20260115,831,4944,56600,279.8,614
TXSD_DELTAE_SWEEP_20260115,841,4944,56000,276.9,614
TXSD_DELTAE_SWEEP_20260115,851,4920,57600,283.4,615
TXSD_DELTAE_SWEEP_20260115,861,4832,164300,793.9,615
TXSD_DELTAE_SWEEP_20260115,871,4948,57600,285.0,615
TXSD_DELTAE_SWEEP_20260115,881,4944,56000,276.9,615
TXSD_DELTAE_SWEEP_20260115,891,4948,57600,285.0,615
TXSD_DELTAE_SWEEP_20260115,901,4944,56000,276.9,615
TXSD_DELTAE_SWEEP_20260115,911,4948,57700,285.5,615
TXSD_DELTAE_SWEEP_20260115,921,4944,56000,276.9,615
TXSD_DELTAE_SWEEP_20260115,931,4948,57600,285.0,615
TXSD_DELTAE_SWEEP_20260115,941,4944,56000,276.9,615
TXSD_DELTAE_SWEEP_20260115,951,4940,90100,445.1,616
TXSD_DELTAE_SWEEP_20260115,961,4856,132700,644.4,616
TXSD_DELTAE_SWEEP_20260115,971,4944,56900,281.3,616
TXSD_DELTAE_SWEEP_20260115,981,4944,56700,280.3,616
TXSD_DELTAE_SWEEP_20260115,991,4948,57000,282.0,616
TXSD_DELTAE_SWEEP_20260115,1001,4944,56900,281.3,616
TXSD_DELTAE_SWEEP_20260115,1011,4944,56000,276.9,616
TXSD_DELTAE_SWEEP_20260115,1021,4948,57500,284.5,616
