prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 19 2026 13:32:04
TXSD_DELTAE_SWEEP_20260115,11,4948,57600,285.0,1806
TXSD_DELTAE_SWEEP_20260115,21,4944,55900,276.4,1806
TXSD_DELTAE_SWEEP_20260115,31,4948,57500,284.5,1806
TXSD_DELTAE_SWEEP_20260115,41,4944,55900,276.4,1806
TXSD_DELTAE_SWEEP_20260115,51,4868,114400,556.9,1807
TXSD_DELTAE_SWEEP_20260115,61,4944,56000,276.9,1807
TXSD_DELTAE_SWEEP_20260115,71,4948,57600,285.0,1807
TXSD_DELTAE_SWEEP_20260115,81,4944,56000,276.9,1807
TXSD_DELTAE_SWEEP_20260115,91,4948,57500,284.5,1807
TXSD_DELTAE_SWEEP_20260115,101,4944,56600,279.8,1807
TXSD_DELTAE_SWEEP_20260115,111,4944,56900,281.3,1807
TXSD_DELTAE_SWEEP_20260115,121,4948,56600,280.1,1807
TXSD_DELTAE_SWEEP_20260115,131,4948,56900,281.5,1807
TXSD_DELTAE_SWEEP_20260115,141,4944,57600,284.8,1807
TXSD_DELTAE_SWEEP_20260115,151,4836,76200,368.5,1808
TXSD_DELTAE_SWEEP_20260115,161,4944,57600,284.8,1808
TXSD_DELTAE_SWEEP_20260115,171,4944,55900,276.4,1808
TXSD_DELTAE_SWEEP_20260115,181,4944,57500,284.3,1808
TXSD_DELTAE_SWEEP_20260115,191,4944,56000,276.9,1808
TXSD_DELTAE_SWEEP_20260115,201,4948,57500,284.5,1808
TXSD_DELTAE_SWEEP_20260115,211,4944,56000,276.9,1808
TXSD_DELTAE_SWEEP_20260115,221,4948,57500,284.5,1808
TXSD_DELTAE_SWEEP_20260115,231,4944,55900,276.4,1808
TXSD_DELTAE_SWEEP_20260115,241,4948,57500,284.5,1808
TXSD_DELTAE_SWEEP_20260115,251,4892,61500,300.9,1809
TXSD_DELTAE_SWEEP_20260115,261,4948,57600,285.0,1809
TXSD_DELTAE_SWEEP_20260115,271,4944,56700,280.3,1809
TXSD_DELTAE_SWEEP_20260115,281,4944,56900,281.3,1809
TXSD_DELTAE_SWEEP_20260115,291,4948,56600,280.1,1809
TXSD_DELTAE_SWEEP_20260115,301,4944,57000,281.8,1809
TXSD_DELTAE_SWEEP_20260115,311,4944,57500,284.3,1809
TXSD_DELTAE_SWEEP_20260115,321,4948,56100,277.6,1809
TXSD_DELTAE_SWEEP_20260115,331,4948,57500,284.5,1809
TXSD_DELTAE_SWEEP_20260115,341,4944,56000,276.9,1809
TXSD_DELTAE_SWEEP_20260115,351,4928,140600,692.9,1810
TXSD_DELTAE_SWEEP_20260115,361,4944,56000,276.9,1810
TXSD_DELTAE_SWEEP_20260115,371,4948,57500,284.5,1810
TXSD_DELTAE_SWEEP_20260115,381,4944,55900,276.4,1810
TXSD_DELTAE_SWEEP_20260115,391,4944,57500,284.3,1810
TXSD_DELTAE_SWEEP_20260115,401,4944,55900,276.4,1810
TXSD_DELTAE_SWEEP_20260115,411,4944,57600,284.8,1810
TXSD_DELTAE_SWEEP_20260115,421,4944,55900,276.4,1810
TXSD_DELTAE_SWEEP_20260115,431,4948,57500,284.5,1810
TXSD_DELTAE_SWEEP_20260115,441,4944,56500,279.3,1810
TXSD_DELTAE_SWEEP_20260115,451,4840,91500,442.9,1811
TXSD_DELTAE_SWEEP_20260115,461,4944,56700,280.3,1811
TXSD_DELTAE_SWEEP_20260115,471,4944,56900,281.3,1811
TXSD_DELTAE_SWEEP_20260115,481,4944,57200,282.8,1811
