prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 19 2026 13:32:04
TXSD_DELTAE_SWEEP_20260115,11,4948,57600,285.0,2406
TXSD_DELTAE_SWEEP_20260115,21,4944,56000,276.9,2406
TXSD_DELTAE_SWEEP_20260115,31,4944,57500,284.3,2406
TXSD_DELTAE_SWEEP_20260115,41,4944,55900,276.4,2406
TXSD_DELTAE_SWEEP_20260115,51,4868,69100,336.4,2407
TXSD_DELTAE_SWEEP_20260115,61,4944,56000,276.9,2407
TXSD_DELTAE_SWEEP_20260115,71,4948,57600,285.0,2407
TXSD_DELTAE_SWEEP_20260115,81,4944,56000,276.9,2407
TXSD_DELTAE_SWEEP_20260115,91,4948,57200,283.0,2407
TXSD_DELTAE_SWEEP_20260115,101,4944,56600,279.8,2407
TXSD_DELTAE_SWEEP_20260115,111,4944,56900,281.3,2407
TXSD_DELTAE_SWEEP_20260115,121,4944,56600,279.8,2407
TXSD_DELTAE_SWEEP_20260115,131,4944,56900,281.3,2407
TXSD_DELTAE_SWEEP_20260115,141,4948,56600,280.1,2407
TXSD_DELTAE_SWEEP_20260115,151,4920,55900,275.0,2408
TXSD_DELTAE_SWEEP_20260115,161,4944,57600,284.8,2408
TXSD_DELTAE_SWEEP_20260115,171,4944,55900,276.4,2408
TXSD_DELTAE_SWEEP_20260115,181,4948,57500,284.5,2408
TXSD_DELTAE_SWEEP_20260115,191,4944,55900,276.4,2408
TXSD_DELTAE_SWEEP_20260115,201,4948,57500,284.5,2408
TXSD_DELTAE_SWEEP_20260115,211,4944,55900,276.4,2408
TXSD_DELTAE_SWEEP_20260115,221,4948,57500,284.5,2408
TXSD_DELTAE_SWEEP_20260115,231,4944,55900,276.4,2408
TXSD_DELTAE_SWEEP_20260115,241,4948,57500,284.5,2408
TXSD_DELTAE_SWEEP_20260115,251,4936,111700,551.4,2409
TXSD_DELTAE_SWEEP_20260115,261,4948,57500,284.5,2409
TXSD_DELTAE_SWEEP_20260115,271,4944,56300,278.3,2409
TXSD_DELTAE_SWEEP_20260115,281,4944,56900,281.3,2409
TXSD_DELTAE_SWEEP_20260115,291,4944,56600,279.8,2409
TXSD_DELTAE_SWEEP_20260115,301,4948,56900,281.5,2409
TXSD_DELTAE_SWEEP_20260115,311,4944,56600,279.8,2409
TXSD_DELTAE_SWEEP_20260115,321,4944,55900,276.4,2409
TXSD_DELTAE_SWEEP_20260115,331,4948,57500,284.5,2409
TXSD_DELTAE_SWEEP_20260115,341,4944,55900,276.4,2409
TXSD_DELTAE_SWEEP_20260115,351,4836,76500,370.0,2410
TXSD_DELTAE_SWEEP_20260115,361,4944,56000,276.9,2410
TXSD_DELTAE_SWEEP_20260115,371,4948,57600,285.0,2410
TXSD_DELTAE_SWEEP_20260115,381,4944,55900,276.4,2410
TXSD_DELTAE_SWEEP_20260115,391,4948,57500,284.5,2410
TXSD_DELTAE_SWEEP_20260115,401,4944,55900,276.4,2410
TXSD_DELTAE_SWEEP_20260115,411,4948,57500,284.5,2410
TXSD_DELTAE_SWEEP_20260115,421,4944,55900,276.4,2410
TXSD_DELTAE_SWEEP_20260115,431,4948,57500,284.5,2410
TXSD_DELTAE_SWEEP_20260115,441,4944,56000,276.9,2410
TXSD_DELTAE_SWEEP_20260115,451,4896,62100,304.0,2411
TXSD_DELTAE_SWEEP_20260115,461,4948,56600,280.1,2411
TXSD_DELTAE_SWEEP_20260115,471,4948,56900,281.5,2411
TXSD_DELTAE_SWEEP_20260115,481,4944,56600,279.8,2411
TXSD_DELTAE_SWEEP_20260115,491,4944,55900,276.4,2411
TXSD_DELTAE_SWEEP_20260115,501,4948,57600,285.0,2411
TXSD_DELTAE_SWEEP_20260115,511,4944,56000,276.9,2411
TXSD_DELTAE_SWEEP_20260115,521,4948,57500,284.5,2411
TXSD_DELTAE_SWEEP_20260115,531,4944,55900,276.4,2411
TXSD_DELTAE_SWEEP_20260115,541,4948,57600,285.0,2411
TXSD_DELTAE_SWEEP_20260115,551,4928,56500,278.4,2412
TXSD_DELTAE_SWEEP_20260115,561,4948,57500,284.5,2412
TXSD_DELTAE_SWEEP_20260115,571,4944,56000,276.9,2412
TXSD_DELTAE_SWEEP_20260115,581,4948,57600,285.0,2412
TXSD_DELTAE_SWEEP_20260115,591,4944,56000,276.9,2412
TXSD_DELTAE_SWEEP_20260115,601,4948,57500,284.5,2412
TXSD_DELTAE_SWEEP_20260115,611,4944,56000,276.9,2412
TXSD_DELTAE_SWEEP_20260115,621,4948,57000,282.0,2412
TXSD_DELTAE_SWEEP_20260115,631,4944,56600,279.8,2412
TXSD_DELTAE_SWEEP_20260115,641,4944,56900,281.3,2412
TXSD_DELTAE_SWEEP_20260115,651,4836,87400,422.7,2413
TXSD_DELTAE_SWEEP_20260115,661,4944,56400,278.8,2413
TXSD_DELTAE_SWEEP_20260115,671,4944,57600,284.8,2413
TXSD_DELTAE_SWEEP_20260115,681,4944,55900,276.4,2413
TXSD_DELTAE_SWEEP_20260115,691,4944,57500,284.3,2413
TXSD_DELTAE_SWEEP_20260115,701,4944,55900,276.4,2413
TXSD_DELTAE_SWEEP_20260115,711,4944,57500,284.3,2413
TXSD_DELTAE_SWEEP_20260115,721,4944,56000,276.9,2413
TXSD_DELTAE_SWEEP_20260115,731,4948,57500,284.5,2413
TXSD_DELTAE_SWEEP_20260115,741,4944,56000,276.9,2413
TXSD_DELTAE_SWEEP_20260115,753,4940,148000,731.1,2414
TXSD_DELTAE_SWEEP_20260115,761,4944,55900,276.4,2414
TXSD_DELTAE_SWEEP_20260115,771,4948,57600,285.0,2414
TXSD_DELTAE_SWEEP_20260115,781,4944,56000,276.9,2414
TXSD_DELTAE_SWEEP_20260115,791,4944,56900,281.3,2414
TXSD_DELTAE_SWEEP_20260115,801,4944,56600,279.8,2414
TXSD_DELTAE_SWEEP_20260115,811,4944,56900,281.3,2414
TXSD_DELTAE_SWEEP_20260115,821,4944,56600,279.8,2414
TXSD_DELTAE_SWEEP_20260115,831,4944,56800,280.8,2414
TXSD_DELTAE_SWEEP_20260115,841,4944,57200,282.8,2414
TXSD_DELTAE_SWEEP_20260115,851,4920,56100,276.0,2415
TXSD_DELTAE_SWEEP_20260115,861,4944,57500,284.3,2415
TXSD_DELTAE_SWEEP_20260115,871,4944,56000,276.9,2415
TXSD_DELTAE_SWEEP_20260115,881,4944,57500,284.3,2415
TXSD_DELTAE_SWEEP_20260115,891,4944,55900,276.4,2415
TXSD_DELTAE_SWEEP_20260115,901,4948,57500,284.5,2415
TXSD_DELTAE_SWEEP_20260115,911,4944,56000,276.9,2415
TXSD_DELTAE_SWEEP_20260115,921,4944,57500,284.3,2415
TXSD_DELTAE_SWEEP_20260115,931,4944,55900,276.4,2415
TXSD_DELTAE_SWEEP_20260115,941,4948,57600,285.0,2415
TXSD_DELTAE_SWEEP_20260115,951,4936,114400,564.7,2416
TXSD_DELTAE_SWEEP_20260115,961,4944,56900,281.3,2416
TXSD_DELTAE_SWEEP_20260115,971,4944,56700,280.3,2416
TXSD_DELTAE_SWEEP_20260115,981,4944,56900,281.3,2416
TXSD_DELTAE_SWEEP_20260115,991,4944,56600,279.8,2416
TXSD_DELTAE_SWEEP_20260115,1001,4948,56900,281.5,2416
TXSD_DELTAE_SWEEP_20260115,1011,4944,56700,280.3,2416
TXSD_DELTAE_SWEEP_20260115,1021,4944,55900,276.4,2416
TXSD_DELTAE_SWEEP_20260115,1031,4944,57500,284.3,2416
TXSD_DELTAE_SWEEP_20260115,1041,4944,55900,276.4,2416
TXSD_DELTAE_SWEEP_20260115,1051,4836,76700,370.9,2417
TXSD_DELTAE_SWEEP_20260115,1061,4944,56000,276.9,2417
TXSD_DELTAE_SWEEP_20260115,1071,4944,57600,284.8,2417
TXSD_DELTAE_SWEEP_20260115,1081,4944,55900,276.4,2417
TXSD_DELTAE_SWEEP_20260115,1091,4948,57500,284.5,2417
TXSD_DELTAE_SWEEP_20260115,1101,4944,55900,276.4,2417
TXSD_DELTAE_SWEEP_20260115,1111,4944,57500,284.3,2417
TXSD_DELTAE_SWEEP_20260115,1121,4944,55900,276.4,2417
TXSD_DELTAE_SWEEP_20260115,1131,4948,57300,283.5,2417
TXSD_DELTAE_SWEEP_20260115,1141,4944,56700,280.3,2417
TXSD_DELTAE_SWEEP_20260115,1151,4888,63100,308.4,2418
TXSD_DELTAE_SWEEP_20260115,1161,4948,56600,280.1,2418
TXSD_DELTAE_SWEEP_20260115,1171,4944,56900,281.3,2418
TXSD_DELTAE_SWEEP_20260115,1181,4944,56600,279.8,2418
TXSD_DELTAE_SWEEP_20260115,1191,4944,56000,276.9,2418
TXSD_DELTAE_SWEEP_20260115,1201,4948,57500,284.5,2418
TXSD_DELTAE_SWEEP_20260115,1211,4944,55900,276.4,2418
TXSD_DELTAE_SWEEP_20260115,1221,4948,57600,285.0,2418
TXSD_DELTAE_SWEEP_20260115,1231,4944,55900,276.4,2418
TXSD_DELTAE_SWEEP_20260115,1241,4944,57500,284.3,2418
TXSD_DELTAE_SWEEP_20260115,1251,4924,56000,275.7,2419
TXSD_DELTAE_SWEEP_20260115,1261,4948,57600,285.0,2419
TXSD_DELTAE_SWEEP_20260115,1271,4944,55900,276.4,2419
TXSD_DELTAE_SWEEP_20260115,1281,4948,57500,284.5,2419
TXSD_DELTAE_SWEEP_20260115,1291,4944,56000,276.9,2419
TXSD_DELTAE_SWEEP_20260115,1301,4948,57500,284.5,2419
TXSD_DELTAE_SWEEP_20260115,1311,4944,56100,277.4,2419
TXSD_DELTAE_SWEEP_20260115,1321,4944,56900,281.3,2419
TXSD_DELTAE_SWEEP_20260115,1331,4944,56600,279.8,2419
TXSD_DELTAE_SWEEP_20260115,1341,4948,56900,281.5,2419
TXSD_DELTAE_SWEEP_20260115,1351,4836,91000,440.1,2420
TXSD_DELTAE_SWEEP_20260115,1361,4944,55900,276.4,2420
TXSD_DELTAE_SWEEP_20260115,1371,4944,57500,284.3,2420
TXSD_DELTAE_SWEEP_20260115,1381,4944,56000,276.9,2420
TXSD_DELTAE_SWEEP_20260115,1391,4944,57500,284.3,2420
TXSD_DELTAE_SWEEP_20260115,1401,4944,56000,276.9,2420
TXSD_DELTAE_SWEEP_20260115,1411,4948,57500,284.5,2420
TXSD_DELTAE_SWEEP_20260115,1421,4944,55900,276.4,2420
TXSD_DELTAE_SWEEP_20260115,1431,4944,57500,284.3,2420
TXSD_DELTAE_SWEEP_20260115,1441,4944,56000,276.9,2420
TXSD_DELTAE_SWEEP_20260115,1451,4860,70100,340.7,2421
TXSD_DELTAE_SWEEP_20260115,1461,4944,56000,276.9,2421
TXSD_DELTAE_SWEEP_20260115,1471,4948,57500,284.5,2421
TXSD_DELTAE_SWEEP_20260115,1481,4944,56000,276.9,2421
TXSD_DELTAE_SWEEP_20260115,1491,4944,56900,281.3,2421
TXSD_DELTAE_SWEEP_20260115,1501,4944,56600,279.8,2421
TXSD_DELTAE_SWEEP_20260115,1511,4944,56900,281.3,2421
TXSD_DELTAE_SWEEP_20260115,1521,4944,56700,280.3,2421
TXSD_DELTAE_SWEEP_20260115,1531,4944,55900,276.4,2421
TXSD_DELTAE_SWEEP_20260115,1541,4944,57500,284.3,2421
TXSD_DELTAE_SWEEP_20260115,1551,4920,57200,281.4,2422
TXSD_DELTAE_SWEEP_20260115,1561,4944,57600,284.8,2422
TXSD_DELTAE_SWEEP_20260115,1571,4948,56000,277.1,2422
TXSD_DELTAE_SWEEP_20260115,1581,4948,57500,284.5,2422
TXSD_DELTAE_SWEEP_20260115,1591,4944,55900,276.4,2422
TXSD_DELTAE_SWEEP_20260115,1601,4948,57500,284.5,2422
TXSD_DELTAE_SWEEP_20260115,1611,4944,55900,276.4,2422
TXSD_DELTAE_SWEEP_20260115,1621,4948,57500,284.5,2422
TXSD_DELTAE_SWEEP_20260115,1631,4944,55900,276.4,2422
TXSD_DELTAE_SWEEP_20260115,1641,4948,57500,284.5,2422
TXSD_DELTAE_SWEEP_20260115,1651,4932,117300,578.5,2423
TXSD_DELTAE_SWEEP_20260115,1661,4944,56900,281.3,2423
TXSD_DELTAE_SWEEP_20260115,1671,4944,56600,279.8,2423
TXSD_DELTAE_SWEEP_20260115,1681,4948,56900,281.5,2423
TXSD_DELTAE_SWEEP_20260115,1691,4944,56600,279.8,2423
TXSD_DELTAE_SWEEP_20260115,1701,4948,56400,279.1,2423
TXSD_DELTAE_SWEEP_20260115,1711,4944,57500,284.3,2423
TXSD_DELTAE_SWEEP_20260115,1721,4944,56000,276.9,2423
TXSD_DELTAE_SWEEP_20260115,1731,4944,57500,284.3,2423
TXSD_DELTAE_SWEEP_20260115,1741,4944,56000,276.9,2423
TXSD_DELTAE_SWEEP_20260115,1751,4832,78800,380.8,2424
TXSD_DELTAE_SWEEP_20260115,1761,4944,56000,276.9,2424
TXSD_DELTAE_SWEEP_20260115,1771,4948,57600,285.0,2424
TXSD_DELTAE_SWEEP_20260115,1781,4944,55900,276.4,2424
TXSD_DELTAE_SWEEP_20260115,1791,4948,57500,284.5,2424
TXSD_DELTAE_SWEEP_20260115,1801,4944,55900,276.4,2424
TXSD_DELTAE_SWEEP_20260115,1811,4944,57500,284.3,2424
TXSD_DELTAE_SWEEP_20260115,1821,4944,55900,276.4,2424
TXSD_DELTAE_SWEEP_20260115,1831,4948,56800,281.0,2424
TXSD_DELTAE_SWEEP_20260115,1841,4944,56600,279.8,2424
TXSD_DELTAE_SWEEP_20260115,1851,4888,64300,314.3,2425
TXSD_DELTAE_SWEEP_20260115,1861,4944,56600,279.8,2425
TXSD_DELTAE_SWEEP_20260115,1871,4944,56900,281.3,2425
TXSD_DELTAE_SWEEP_20260115,1881,4944,56900,281.3,2425
TXSD_DELTAE_SWEEP_20260115,1891,4944,56000,276.9,2425
TXSD_DELTAE_SWEEP_20260115,1901,4944,57500,284.3,2425
