prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 19 2026 13:32:04
TXSD_DELTAE_SWEEP_20260115,11,4944,57400,283.8,3006
TXSD_DELTAE_SWEEP_20260115,21,4944,56300,278.3,3006
TXSD_DELTAE_SWEEP_20260115,31,4944,57600,284.8,3006
TXSD_DELTAE_SWEEP_20260115,41,4948,55900,276.6,3006
TXSD_DELTAE_SWEEP_20260115,51,4936,72700,358.8,3007
TXSD_DELTAE_SWEEP_20260115,61,4896,55900,273.7,3007
TXSD_DELTAE_SWEEP_20260115,71,4944,57500,284.3,3007
TXSD_DELTAE_SWEEP_20260115,81,4944,55900,276.4,3007
TXSD_DELTAE_SWEEP_20260115,91,4948,57500,284.5,3007
TXSD_DELTAE_SWEEP_20260115,101,4944,56000,276.9,3007
TXSD_DELTAE_SWEEP_20260115,111,4944,57500,284.3,3007
TXSD_DELTAE_SWEEP_20260115,121,4944,55900,276.4,3007
TXSD_DELTAE_SWEEP_20260115,131,4944,56800,280.8,3007
TXSD_DELTAE_SWEEP_20260115,141,4944,56500,279.3,3007
TXSD_DELTAE_SWEEP_20260115,151,4944,125500,620.5,3008
TXSD_DELTAE_SWEEP_20260115,161,4948,56600,280.1,3008
TXSD_DELTAE_SWEEP_20260115,171,4944,56900,281.3,3008
TXSD_DELTAE_SWEEP_20260115,181,4944,57000,281.8,3008
TXSD_DELTAE_SWEEP_20260115,191,4944,56700,280.3,3008
TXSD_DELTAE_SWEEP_20260115,201,4948,57600,285.0,3008
TXSD_DELTAE_SWEEP_20260115,211,4944,55900,276.4,3008
TXSD_DELTAE_SWEEP_20260115,221,4948,57600,285.0,3008
TXSD_DELTAE_SWEEP_20260115,231,4944,56000,276.9,3008
TXSD_DELTAE_SWEEP_20260115,241,4944,57500,284.3,3008
TXSD_DELTAE_SWEEP_20260115,251,4888,61800,302.1,3009
TXSD_DELTAE_SWEEP_20260115,261,4948,57600,285.0,3009
TXSD_DELTAE_SWEEP_20260115,271,4944,56000,276.9,3009
TXSD_DELTAE_SWEEP_20260115,281,4948,57500,284.5,3009
TXSD_DELTAE_SWEEP_20260115,291,4944,55900,276.4,3009
TXSD_DELTAE_SWEEP_20260115,301,4948,57000,282.0,3009
TXSD_DELTAE_SWEEP_20260115,311,4944,56700,280.3,3009
TXSD_DELTAE_SWEEP_20260115,321,4948,56900,281.5,3009
TXSD_DELTAE_SWEEP_20260115,331,4944,56600,279.8,3009
TXSD_DELTAE_SWEEP_20260115,341,4944,56900,281.3,3009
TXSD_DELTAE_SWEEP_20260115,351,4928,57200,281.9,3010
TXSD_DELTAE_SWEEP_20260115,361,4944,57000,281.8,3010
TXSD_DELTAE_SWEEP_20260115,371,4944,57600,284.8,3010
TXSD_DELTAE_SWEEP_20260115,381,4944,55900,276.4,3010
TXSD_DELTAE_SWEEP_20260115,391,4948,57500,284.5,3010
TXSD_DELTAE_SWEEP_20260115,401,4944,56000,276.9,3010
TXSD_DELTAE_SWEEP_20260115,411,4948,57600,285.0,3010
TXSD_DELTAE_SWEEP_20260115,421,4944,56000,276.9,3010
TXSD_DELTAE_SWEEP_20260115,431,4948,57500,284.5,3010
TXSD_DELTAE_SWEEP_20260115,441,4944,56000,276.9,3010
TXSD_DELTAE_SWEEP_20260115,451,4944,93100,460.3,3011
TXSD_DELTAE_SWEEP_20260115,461,4932,56000,276.2,3011
TXSD_DELTAE_SWEEP_20260115,471,4944,57500,284.3,3011
TXSD_DELTAE_SWEEP_20260115,481,4944,56500,279.3,3011
TXSD_DELTAE_SWEEP_20260115,491,4948,56900,281.5,3011
TXSD_DELTAE_SWEEP_20260115,501,4944,56600,279.8,3011
TXSD_DELTAE_SWEEP_20260115,511,4944,56900,281.3,3011
TXSD_DELTAE_SWEEP_20260115,521,4944,56600,279.8,3011
TXSD_DELTAE_SWEEP_20260115,531,4944,57000,281.8,3011
TXSD_DELTAE_SWEEP_20260115,541,4948,57500,284.5,3011
TXSD_DELTAE_SWEEP_20260115,551,4936,69200,341.6,3012
TXSD_DELTAE_SWEEP_20260115,561,4948,57600,285.0,3012
TXSD_DELTAE_SWEEP_20260115,571,4944,56000,276.9,3012
TXSD_DELTAE_SWEEP_20260115,581,4944,57500,284.3,3012
TXSD_DELTAE_SWEEP_20260115,591,4944,55900,276.4,3012
TXSD_DELTAE_SWEEP_20260115,601,4948,57600,285.0,3012
TXSD_DELTAE_SWEEP_20260115,611,4948,56000,277.1,3012
TXSD_DELTAE_SWEEP_20260115,621,4944,57700,285.3,3012
TXSD_DELTAE_SWEEP_20260115,631,4944,56000,276.9,3012
TXSD_DELTAE_SWEEP_20260115,641,4948,57500,284.5,3012
TXSD_DELTAE_SWEEP_20260115,651,4920,57000,280.4,3013
TXSD_DELTAE_SWEEP_20260115,661,4948,56900,281.5,3013
TXSD_DELTAE_SWEEP_20260115,671,4944,56600,279.8,3013
TXSD_DELTAE_SWEEP_20260115,681,4944,56900,281.3,3013
TXSD_DELTAE_SWEEP_20260115,691,4944,56600,279.8,3013
TXSD_DELTAE_SWEEP_20260115,701,4944,56900,281.3,3013
TXSD_DELTAE_SWEEP_20260115,711,4944,57500,284.3,3013
TXSD_DELTAE_SWEEP_20260115,721,4944,55900,276.4,3013
TXSD_DELTAE_SWEEP_20260115,731,4948,57500,284.5,3013
TXSD_DELTAE_SWEEP_20260115,741,4944,55900,276.4,3013
TXSD_DELTAE_SWEEP_20260115,753,4828,79300,382.9,3014
TXSD_DELTAE_SWEEP_20260115,761,4896,56000,274.2,3014
TXSD_DELTAE_SWEEP_20260115,771,4944,57600,284.8,3014
TXSD_DELTAE_SWEEP_20260115,781,4944,56000,276.9,3014
TXSD_DELTAE_SWEEP_20260115,791,4948,57500,284.5,3014
TXSD_DELTAE_SWEEP_20260115,801,4944,56000,276.9,3014
TXSD_DELTAE_SWEEP_20260115,811,4944,57500,284.3,3014
TXSD_DELTAE_SWEEP_20260115,821,4944,56000,276.9,3014
TXSD_DELTAE_SWEEP_20260115,831,4944,56800,280.8,3014
TXSD_DELTAE_SWEEP_20260115,841,4944,56600,279.8,3014
TXSD_DELTAE_SWEEP_20260115,851,4948,124200,614.5,3015
TXSD_DELTAE_SWEEP_20260115,861,4944,56600,279.8,3015
TXSD_DELTAE_SWEEP_20260115,871,4948,57000,282.0,3015
TXSD_DELTAE_SWEEP_20260115,881,4948,57600,285.0,3015
TXSD_DELTAE_SWEEP_20260115,891,4944,55900,276.4,3015
TXSD_DELTAE_SWEEP_20260115,901,4948,57600,285.0,3015
TXSD_DELTAE_SWEEP_20260115,911,4944,55900,276.4,3015
TXSD_DELTAE_SWEEP_20260115,921,4948,57600,285.0,3015
TXSD_DELTAE_SWEEP_20260115,931,4944,55900,276.4,3015
TXSD_DELTAE_SWEEP_20260115,941,4948,57500,284.5,3015
TXSD_DELTAE_SWEEP_20260115,951,4888,62000,303.1,3016
TXSD_DELTAE_SWEEP_20260115,961,4948,57600,285.0,3016
TXSD_DELTAE_SWEEP_20260115,971,4944,56000,276.9,3016
TXSD_DELTAE_SWEEP_20260115,981,4944,57600,284.8,3016
TXSD_DELTAE_SWEEP_20260115,991,4944,56000,276.9,3016
TXSD_DELTAE_SWEEP_20260115,1001,4944,57000,281.8,3016
TXSD_DELTAE_SWEEP_20260115,1011,4944,56600,279.8,3016
TXSD_DELTAE_SWEEP_20260115,1021,4948,56900,281.5,3016
TXSD_DELTAE_SWEEP_20260115,1031,4944,56600,279.8,3016
TXSD_DELTAE_SWEEP_20260115,1041,4948,56900,281.5,3016
TXSD_DELTAE_SWEEP_20260115,1051,4928,57700,284.3,3017
TXSD_DELTAE_SWEEP_20260115,1061,4944,56200,277.9,3017
TXSD_DELTAE_SWEEP_20260115,1071,4944,57600,284.8,3017
TXSD_DELTAE_SWEEP_20260115,1081,4944,56000,276.9,3017
TXSD_DELTAE_SWEEP_20260115,1091,4948,57500,284.5,3017
TXSD_DELTAE_SWEEP_20260115,1101,4944,56000,276.9,3017
TXSD_DELTAE_SWEEP_20260115,1111,4944,57600,284.8,3017
TXSD_DELTAE_SWEEP_20260115,1121,4944,56000,276.9,3017
TXSD_DELTAE_SWEEP_20260115,1131,4944,57500,284.3,3017
TXSD_DELTAE_SWEEP_20260115,1141,4944,55900,276.4,3017
TXSD_DELTAE_SWEEP_20260115,1151,4944,91000,449.9,3018
TXSD_DELTAE_SWEEP_20260115,1161,4932,56000,276.2,3018
TXSD_DELTAE_SWEEP_20260115,1171,4944,56900,281.3,3018
TXSD_DELTAE_SWEEP_20260115,1181,4944,56600,279.8,3018
TXSD_DELTAE_SWEEP_20260115,1191,4944,56900,281.3,3018
TXSD_DELTAE_SWEEP_20260115,1201,4944,56700,280.3,3018
TXSD_DELTAE_SWEEP_20260115,1211,4944,56900,281.3,3018
TXSD_DELTAE_SWEEP_20260115,1221,4944,57100,282.3,3018
TXSD_DELTAE_SWEEP_20260115,1231,4948,56700,280.6,3018
TXSD_DELTAE_SWEEP_20260115,1241,4948,57500,284.5,3018
TXSD_DELTAE_SWEEP_20260115,1251,4940,69200,341.8,3019
TXSD_DELTAE_SWEEP_20260115,1261,4948,57600,285.0,3019
TXSD_DELTAE_SWEEP_20260115,1271,4944,56000,276.9,3019
TXSD_DELTAE_SWEEP_20260115,1281,4948,57600,285.0,3019
TXSD_DELTAE_SWEEP_20260115,1291,4944,55900,276.4,3019
TXSD_DELTAE_SWEEP_20260115,1301,4948,57600,285.0,3019
TXSD_DELTAE_SWEEP_20260115,1311,4944,55900,276.4,3019
TXSD_DELTAE_SWEEP_20260115,1321,4948,57500,284.5,3019
TXSD_DELTAE_SWEEP_20260115,1331,4944,56000,276.9,3019
TXSD_DELTAE_SWEEP_20260115,1341,4948,56900,281.5,3019
TXSD_DELTAE_SWEEP_20260115,1351,4916,58100,285.6,3020
TXSD_DELTAE_SWEEP_20260115,1361,4944,56900,281.3,3020
TXSD_DELTAE_SWEEP_20260115,1371,4944,56600,279.8,3020
TXSD_DELTAE_SWEEP_20260115,1381,4944,57000,281.8,3020
TXSD_DELTAE_SWEEP_20260115,1391,4948,56700,280.6,3020
TXSD_DELTAE_SWEEP_20260115,1401,4944,56900,281.3,3020
TXSD_DELTAE_SWEEP_20260115,1411,4948,57600,285.0,3020
TXSD_DELTAE_SWEEP_20260115,1421,4944,56000,276.9,3020
TXSD_DELTAE_SWEEP_20260115,1431,4944,57600,284.8,3020
TXSD_DELTAE_SWEEP_20260115,1441,4944,56000,276.9,3020
TXSD_DELTAE_SWEEP_20260115,1451,4936,69800,344.5,3021
TXSD_DELTAE_SWEEP_20260115,1461,4892,55900,273.5,3021
TXSD_DELTAE_SWEEP_20260115,1471,4948,57600,285.0,3021
TXSD_DELTAE_SWEEP_20260115,1481,4944,56000,276.9,3021
TXSD_DELTAE_SWEEP_20260115,1491,4944,57500,284.3,3021
TXSD_DELTAE_SWEEP_20260115,1501,4944,56000,276.9,3021
TXSD_DELTAE_SWEEP_20260115,1511,4948,57300,283.5,3021
TXSD_DELTAE_SWEEP_20260115,1521,4944,56700,280.3,3021
TXSD_DELTAE_SWEEP_20260115,1531,4948,56900,281.5,3021
TXSD_DELTAE_SWEEP_20260115,1541,4944,56600,279.8,3021
TXSD_DELTAE_SWEEP_20260115,1551,4944,119200,589.3,3022
TXSD_DELTAE_SWEEP_20260115,1561,4948,56600,280.1,3022
TXSD_DELTAE_SWEEP_20260115,1571,4944,56900,281.3,3022
TXSD_DELTAE_SWEEP_20260115,1581,4948,57600,285.0,3022
TXSD_DELTAE_SWEEP_20260115,1591,4944,56000,276.9,3022
TXSD_DELTAE_SWEEP_20260115,1601,4948,57600,285.0,3022
TXSD_DELTAE_SWEEP_20260115,1611,4944,55900,276.4,3022
TXSD_DELTAE_SWEEP_20260115,1621,4948,57500,284.5,3022
TXSD_DELTAE_SWEEP_20260115,1631,4944,55900,276.4,3022
TXSD_DELTAE_SWEEP_20260115,1641,4948,57600,285.0,3022
TXSD_DELTAE_SWEEP_20260115,1651,4884,62700,306.2,3023
TXSD_DELTAE_SWEEP_20260115,1661,4948,57500,284.5,3023
TXSD_DELTAE_SWEEP_20260115,1671,4944,56000,276.9,3023
TXSD_DELTAE_SWEEP_20260115,1681,4944,57600,284.8,3023
TXSD_DELTAE_SWEEP_20260115,1691,4944,56200,277.9,3023
TXSD_DELTAE_SWEEP_20260115,1701,4944,57000,281.8,3023
TXSD_DELTAE_SWEEP_20260115,1711,4944,56600,279.8,3023
TXSD_DELTAE_SWEEP_20260115,1721,4948,56900,281.5,3023
TXSD_DELTAE_SWEEP_20260115,1731,4948,56600,280.1,3023
TXSD_DELTAE_SWEEP_20260115,1741,4944,56900,281.3,3023
TXSD_DELTAE_SWEEP_20260115,1751,4924,57700,284.1,3024
TXSD_DELTAE_SWEEP_20260115,1761,4948,56000,277.1,3024
TXSD_DELTAE_SWEEP_20260115,1771,4948,57500,284.5,3024
TXSD_DELTAE_SWEEP_20260115,1781,4944,55900,276.4,3024
TXSD_DELTAE_SWEEP_20260115,1791,4948,57500,284.5,3024
TXSD_DELTAE_SWEEP_20260115,1801,4944,56000,276.9,3024
TXSD_DELTAE_SWEEP_20260115,1811,4948,57500,284.5,3024
TXSD_DELTAE_SWEEP_20260115,1821,4944,56000,276.9,3024
TXSD_DELTAE_SWEEP_20260115,1831,4948,57600,285.0,3024
TXSD_DELTAE_SWEEP_20260115,1841,4944,55900,276.4,3024
TXSD_DELTAE_SWEEP_20260115,1851,4944,88600,438.0,3025
TXSD_DELTAE_SWEEP_20260115,1861,4928,56000,276.0,3025
TXSD_DELTAE_SWEEP_20260115,1871,4944,56900,281.3,3025
TXSD_DELTAE_SWEEP_20260115,1881,4948,56600,280.1,3025
TXSD_DELTAE_SWEEP_20260115,1891,4944,56800,280.8,3025
TXSD_DELTAE_SWEEP_20260115,1901,4948,56600,280.1,3025
TXSD_DELTAE_SWEEP_20260115,1911,4944,56800,280.8,3025
TXSD_DELTAE_SWEEP_20260115,1921,4944,57600,284.8,3025
TXSD_DELTAE_SWEEP_20260115,1931,4944,55900,276.4,3025
TXSD_DELTAE_SWEEP_20260115,1941,4944,57500,284.3,3025
TXSD_DELTAE_SWEEP_20260115,1951,4852,70200,340.6,3026
TXSD_DELTAE_SWEEP_20260115,1961,4948,57500,284.5,3026
TXSD_DELTAE_SWEEP_20260115,1971,4944,56000,276.9,3026
TXSD_DELTAE_SWEEP_20260115,1981,4948,57500,284.5,3026
TXSD_DELTAE_SWEEP_20260115,1991,4944,56000,276.9,3026
TXSD_DELTAE_SWEEP_20260115,2001,4944,57500,284.3,3026
TXSD_DELTAE_SWEEP_20260115,2011,4944,56000,276.9,3026
TXSD_DELTAE_SWEEP_20260115,2021,4948,57500,284.5,3026
TXSD_DELTAE_SWEEP_20260115,2031,4944,55900,276.4,3026
TXSD_DELTAE_SWEEP_20260115,2041,4944,56900,281.3,3026
TXSD_DELTAE_SWEEP_20260115,2051,4916,58500,287.6,3027
TXSD_DELTAE_SWEEP_20260115,2061,4948,56900,281.5,3027
TXSD_DELTAE_SWEEP_20260115,2071,4944,56700,280.3,3027
TXSD_DELTAE_SWEEP_20260115,2081,4944,56900,281.3,3027
TXSD_DELTAE_SWEEP_20260115,2091,4948,57500,284.5,3027
TXSD_DELTAE_SWEEP_20260115,2101,4944,56100,277.4,3027
TXSD_DELTAE_SWEEP_20260115,2111,4948,57600,285.0,3027
TXSD_DELTAE_SWEEP_20260115,2121,4944,56000,276.9,3027
TXSD_DELTAE_SWEEP_20260115,2131,4948,57500,284.5,3027
TXSD_DELTAE_SWEEP_20260115,2141,4944,55900,276.4,3027
TXSD_DELTAE_SWEEP_20260115,2151,4932,68100,335.9,3028
TXSD_DELTAE_SWEEP_20260115,2161,4888,56000,273.7,3028
TXSD_DELTAE_SWEEP_20260115,2171,4944,57600,284.8,3028
TXSD_DELTAE_SWEEP_20260115,2181,4944,56000,276.9,3028
TXSD_DELTAE_SWEEP_20260115,2191,4944,57500,284.3,3028
TXSD_DELTAE_SWEEP_20260115,2201,4944,56000,276.9,3028
TXSD_DELTAE_SWEEP_20260115,2211,4944,56900,281.3,3028
TXSD_DELTAE_SWEEP_20260115,2221,4944,56600,279.8,3028
TXSD_DELTAE_SWEEP_20260115,2231,4944,56900,281.3,3028
TXSD_DELTAE_SWEEP_20260115,2241,4944,56700,280.3,3028
TXSD_DELTAE_SWEEP_20260115,2251,4948,78400,387.9,3029
TXSD_DELTAE_SWEEP_20260115,2261,4944,57100,282.3,3029
TXSD_DELTAE_SWEEP_20260115,2271,4944,56700,280.3,3029
TXSD_DELTAE_SWEEP_20260115,2281,4944,57600,284.8,3029
TXSD_DELTAE_SWEEP_20260115,2291,4948,56000,277.1,3029
TXSD_DELTAE_SWEEP_20260115,2301,4944,57600,284.8,3029
TXSD_DELTAE_SWEEP_20260115,2311,4944,56000,276.9,3029
TXSD_DELTAE_SWEEP_20260115,2321,4944,57500,284.3,3029
TXSD_DELTAE_SWEEP_20260115,2331,4944,56000,276.9,3029
TXSD_DELTAE_SWEEP_20260115,2341,4948,57500,284.5,3029
TXSD_DELTAE_SWEEP_20260115,2351,4880,63400,309.4,3030
TXSD_DELTAE_SWEEP_20260115,2361,4948,57600,285.0,3030
TXSD_DELTAE_SWEEP_20260115,2371,4944,56000,276.9,3030
TXSD_DELTAE_SWEEP_20260115,2381,4948,56900,281.5,3030
TXSD_DELTAE_SWEEP_20260115,2391,4944,56500,279.3,3030
