prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 19 2026 13:32:04
TXSD_DELTAE_SWEEP_20260115,11,4944,78800,389.6,3607
TXSD_DELTAE_SWEEP_20260115,21,4828,143100,690.9,3607
TXSD_DELTAE_SWEEP_20260115,31,4944,57000,281.8,3607
TXSD_DELTAE_SWEEP_20260115,41,4944,56700,280.3,3607
TXSD_DELTAE_SWEEP_20260115,51,4948,56900,281.5,3607
TXSD_DELTAE_SWEEP_20260115,61,4948,57600,285.0,3607
TXSD_DELTAE_SWEEP_20260115,71,4944,56000,276.9,3607
TXSD_DELTAE_SWEEP_20260115,81,4948,57600,285.0,3607
TXSD_DELTAE_SWEEP_20260115,91,4944,56000,276.9,3607
TXSD_DELTAE_SWEEP_20260115,101,4948,57600,285.0,3607
TXSD_DELTAE_SWEEP_20260115,111,4936,86800,428.4,3608
TXSD_DELTAE_SWEEP_20260115,121,4844,166000,804.1,3608
TXSD_DELTAE_SWEEP_20260115,131,4944,56000,276.9,3608
TXSD_DELTAE_SWEEP_20260115,141,4944,57600,284.8,3608
TXSD_DELTAE_SWEEP_20260115,151,4944,56000,276.9,3608
TXSD_DELTAE_SWEEP_20260115,161,4948,57600,285.0,3608
TXSD_DELTAE_SWEEP_20260115,171,4944,56600,279.8,3608
TXSD_DELTAE_SWEEP_20260115,181,4948,57100,282.5,3608
TXSD_DELTAE_SWEEP_20260115,191,4944,56600,279.8,3608
TXSD_DELTAE_SWEEP_20260115,201,4948,56900,281.5,3608
TXSD_DELTAE_SWEEP_20260115,211,4912,64700,317.8,3609
TXSD_DELTAE_SWEEP_20260115,221,4820,151200,728.8,3609
TXSD_DELTAE_SWEEP_20260115,231,4948,57600,285.0,3609
TXSD_DELTAE_SWEEP_20260115,241,4944,56000,276.9,3609
TXSD_DELTAE_SWEEP_20260115,251,4944,57600,284.8,3609
