prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 19 2026 13:32:04
TXSD_DELTAE_SWEEP_20260115,11,4944,56000,276.9,4206
TXSD_DELTAE_SWEEP_20260115,21,4912,147700,725.5,4207
TXSD_DELTAE_SWEEP_20260115,31,4860,56000,272.2,4207
TXSD_DELTAE_SWEEP_20260115,41,4948,57600,285.0,4207
TXSD_DELTAE_SWEEP_20260115,51,4944,56300,278.3,4207
TXSD_DELTAE_SWEEP_20260115,61,4948,57500,284.5,4207
TXSD_DELTAE_SWEEP_20260115,71,4944,56700,280.3,4207
TXSD_DELTAE_SWEEP_20260115,81,4944,56900,281.3,4207
TXSD_DELTAE_SWEEP_20260115,91,4944,56700,280.3,4207
TXSD_DELTAE_SWEEP_20260115,101,4944,57000,281.8,4207
TXSD_DELTAE_SWEEP_20260115,111,4944,56600,279.8,4207
TXSD_DELTAE_SWEEP_20260115,121,4840,96600,467.5,4208
TXSD_DELTAE_SWEEP_20260115,131,4828,161100,777.8,4208
TXSD_DELTAE_SWEEP_20260115,141,4944,56000,276.9,4208
TXSD_DELTAE_SWEEP_20260115,151,4948,57500,284.5,4208
TXSD_DELTAE_SWEEP_20260115,161,4944,56000,276.9,4208
TXSD_DELTAE_SWEEP_20260115,171,4948,57600,285.0,4208
TXSD_DELTAE_SWEEP_20260115,181,4944,56000,276.9,4208
TXSD_DELTAE_SWEEP_20260115,191,4944,57600,284.8,4208
TXSD_DELTAE_SWEEP_20260115,201,4944,56000,276.9,4208
TXSD_DELTAE_SWEEP_20260115,211,4948,57600,285.0,4208
TXSD_DELTAE_SWEEP_20260115,221,4852,70000,339.6,4209
TXSD_DELTAE_SWEEP_20260115,231,4800,118500,568.8,4209
TXSD_DELTAE_SWEEP_20260115,241,4944,56500,279.3,4209
TXSD_DELTAE_SWEEP_20260115,251,4944,57000,281.8,4209
TXSD_DELTAE_SWEEP_20260115,261,4944,56700,280.3,4209
TXSD_DELTAE_SWEEP_20260115,271,4948,57000,282.0,4209
TXSD_DELTAE_SWEEP_20260115,281,4944,56700,280.3,4209
TXSD_DELTAE_SWEEP_20260115,291,4944,56000,276.9,4209
TXSD_DELTAE_SWEEP_20260115,301,4944,57600,284.8,4209
TXSD_DELTAE_SWEEP_20260115,311,4944,56000,276.9,4209
TXSD_DELTAE_SWEEP_20260115,321,4932,153100,755.1,4210
TXSD_DELTAE_SWEEP_20260115,331,4828,57700,278.6,4210
TXSD_DELTAE_SWEEP_20260115,341,4944,57700,285.3,4210
TXSD_DELTAE_SWEEP_20260115,351,4944,56000,276.9,4210
TXSD_DELTAE_SWEEP_20260115,361,4948,57700,285.5,4210
TXSD_DELTAE_SWEEP_20260115,371,4944,56000,276.9,4210
TXSD_DELTAE_SWEEP_20260115,381,4948,57600,285.0,4210
TXSD_DELTAE_SWEEP_20260115,391,4944,56100,277.4,4210
TXSD_DELTAE_SWEEP_20260115,401,4948,57600,285.0,4210
TXSD_DELTAE_SWEEP_20260115,411,4944,56300,278.3,4210
TXSD_DELTAE_SWEEP_20260115,421,4876,122500,597.3,4211
TXSD_DELTAE_SWEEP_20260115,431,4888,172000,840.7,4211
TXSD_DELTAE_SWEEP_20260115,441,4944,56900,281.3,4211
TXSD_DELTAE_SWEEP_20260115,451,4944,56700,280.3,4211
TXSD_DELTAE_SWEEP_20260115,461,4944,56100,277.4,4211
TXSD_DELTAE_SWEEP_20260115,471,4948,57600,285.0,4211
TXSD_DELTAE_SWEEP_20260115,481,4944,56000,276.9,4211
TXSD_DELTAE_SWEEP_20260115,491,4948,57600,285.0,4211
TXSD_DELTAE_SWEEP_20260115,501,4948,56000,277.1,4211
TXSD_DELTAE_SWEEP_20260115,511,4948,57600,285.0,4211
TXSD_DELTAE_SWEEP_20260115,521,4832,76800,371.1,4212
TXSD_DELTAE_SWEEP_20260115,531,4804,136700,656.7,4212
TXSD_DELTAE_SWEEP_20260115,541,4944,56000,276.9,4212
TXSD_DELTAE_SWEEP_20260115,551,4944,57500,284.3,4212
TXSD_DELTAE_SWEEP_20260115,561,4944,56000,276.9,4212
TXSD_DELTAE_SWEEP_20260115,571,4948,57600,285.0,4212
TXSD_DELTAE_SWEEP_20260115,581,4944,56100,277.4,4212
TXSD_DELTAE_SWEEP_20260115,591,4948,57000,282.0,4212
TXSD_DELTAE_SWEEP_20260115,601,4944,56600,279.8,4212
TXSD_DELTAE_SWEEP_20260115,611,4944,56900,281.3,4212
TXSD_DELTAE_SWEEP_20260115,621,4944,132900,657.1,4213
TXSD_DELTAE_SWEEP_20260115,631,4816,86600,417.1,4213
TXSD_DELTAE_SWEEP_20260115,641,4944,57600,284.8,4213
TXSD_DELTAE_SWEEP_20260115,651,4944,56000,276.9,4213
TXSD_DELTAE_SWEEP_20260115,661,4948,57600,285.0,4213
TXSD_DELTAE_SWEEP_20260115,671,4944,56000,276.9,4213
TXSD_DELTAE_SWEEP_20260115,681,4948,57600,285.0,4213
TXSD_DELTAE_SWEEP_20260115,691,4944,56000,276.9,4213
TXSD_DELTAE_SWEEP_20260115,701,4948,57500,284.5,4213
