prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 19 2026 13:32:04
TXSD_DELTAE_SWEEP_20260115,12,4944,56000,276.9,4806
TXSD_DELTAE_SWEEP_20260115,21,4848,101700,493.0,4807
TXSD_DELTAE_SWEEP_20260115,31,4920,161100,792.6,4807
TXSD_DELTAE_SWEEP_20260115,41,4948,57600,285.0,4807
TXSD_DELTAE_SWEEP_20260115,51,4944,56000,276.9,4807
TXSD_DELTAE_SWEEP_20260115,61,4948,57600,285.0,4807
TXSD_DELTAE_SWEEP_20260115,71,4944,56100,277.4,4807
TXSD_DELTAE_SWEEP_20260115,81,4948,57600,285.0,4807
TXSD_DELTAE_SWEEP_20260115,91,4944,56000,276.9,4807
TXSD_DELTAE_SWEEP_20260115,101,4948,57600,285.0,4807
TXSD_DELTAE_SWEEP_20260115,111,4944,56100,277.4,4807
TXSD_DELTAE_SWEEP_20260115,121,4852,72700,352.7,4808
TXSD_DELTAE_SWEEP_20260115,131,4796,120700,578.9,4808
TXSD_DELTAE_SWEEP_20260115,141,4948,57000,282.0,4808
TXSD_DELTAE_SWEEP_20260115,151,4944,56700,280.3,4808
TXSD_DELTAE_SWEEP_20260115,161,4948,57000,282.0,4808
TXSD_DELTAE_SWEEP_20260115,171,4944,57200,282.8,4808
TXSD_DELTAE_SWEEP_20260115,181,4944,56100,277.4,4808
TXSD_DELTAE_SWEEP_20260115,191,4944,57600,284.8,4808
TXSD_DELTAE_SWEEP_20260115,201,4944,56000,276.9,4808
TXSD_DELTAE_SWEEP_20260115,211,4944,57600,284.8,4808
TXSD_DELTAE_SWEEP_20260115,221,4912,150800,740.7,4809
TXSD_DELTAE_SWEEP_20260115,231,4832,60000,289.9,4809
TXSD_DELTAE_SWEEP_20260115,241,4944,56000,276.9,4809
TXSD_DELTAE_SWEEP_20260115,251,4948,57600,285.0,4809
TXSD_DELTAE_SWEEP_20260115,261,4944,56000,276.9,4809
TXSD_DELTAE_SWEEP_20260115,271,4948,57600,285.0,4809
TXSD_DELTAE_SWEEP_20260115,281,4944,56100,277.4,4809
TXSD_DELTAE_SWEEP_20260115,291,4948,56900,281.5,4809
TXSD_DELTAE_SWEEP_20260115,301,4944,56600,279.8,4809
TXSD_DELTAE_SWEEP_20260115,311,4944,57000,281.8,4809
TXSD_DELTAE_SWEEP_20260115,321,4876,121800,593.9,4810
TXSD_DELTAE_SWEEP_20260115,331,4888,56900,278.1,4810
TXSD_DELTAE_SWEEP_20260115,341,4944,57100,282.3,4810
TXSD_DELTAE_SWEEP_20260115,351,4944,56000,276.9,4810
TXSD_DELTAE_SWEEP_20260115,361,4948,57600,285.0,4810
TXSD_DELTAE_SWEEP_20260115,371,4944,56000,276.9,4810
TXSD_DELTAE_SWEEP_20260115,381,4948,57600,285.0,4810
TXSD_DELTAE_SWEEP_20260115,391,4944,56000,276.9,4810
TXSD_DELTAE_SWEEP_20260115,401,4944,57600,284.8,4810
TXSD_DELTAE_SWEEP_20260115,411,4944,56000,276.9,4810
TXSD_DELTAE_SWEEP_20260115,421,4832,79200,382.7,4811
TXSD_DELTAE_SWEEP_20260115,431,4800,136300,654.2,4811
TXSD_DELTAE_SWEEP_20260115,441,4948,57600,285.0,4811
TXSD_DELTAE_SWEEP_20260115,451,4944,56100,277.4,4811
TXSD_DELTAE_SWEEP_20260115,461,4944,56900,281.3,4811
TXSD_DELTAE_SWEEP_20260115,471,4944,56600,279.8,4811
TXSD_DELTAE_SWEEP_20260115,481,4944,57000,281.8,4811
TXSD_DELTAE_SWEEP_20260115,491,4944,56700,280.3,4811
TXSD_DELTAE_SWEEP_20260115,501,4944,56900,281.3,4811
TXSD_DELTAE_SWEEP_20260115,511,4944,57100,282.3,4811
TXSD_DELTAE_SWEEP_20260115,521,4884,63200,308.7,4812
TXSD_DELTAE_SWEEP_20260115,531,4816,89800,432.5,4812
TXSD_DELTAE_SWEEP_20260115,541,4944,56100,277.4,4812
TXSD_DELTAE_SWEEP_20260115,551,4948,57700,285.5,4812
TXSD_DELTAE_SWEEP_20260115,561,4944,56000,276.9,4812
TXSD_DELTAE_SWEEP_20260115,571,4948,57600,285.0,4812
TXSD_DELTAE_SWEEP_20260115,581,4944,56100,277.4,4812
TXSD_DELTAE_SWEEP_20260115,591,4948,57600,285.0,4812
TXSD_DELTAE_SWEEP_20260115,601,4944,56000,276.9,4812
TXSD_DELTAE_SWEEP_20260115,611,4948,57700,285.5,4812
TXSD_DELTAE_SWEEP_20260115,621,4908,145400,713.6,4813
TXSD_DELTAE_SWEEP_20260115,631,4864,56900,276.8,4813
TXSD_DELTAE_SWEEP_20260115,641,4944,56700,280.3,4813
TXSD_DELTAE_SWEEP_20260115,651,4944,57000,281.8,4813
TXSD_DELTAE_SWEEP_20260115,661,4944,56700,280.3,4813
TXSD_DELTAE_SWEEP_20260115,671,4948,57000,282.0,4813
TXSD_DELTAE_SWEEP_20260115,681,4948,57100,282.5,4813
TXSD_DELTAE_SWEEP_20260115,691,4944,56000,276.9,4813
TXSD_DELTAE_SWEEP_20260115,701,4944,57700,285.3,4813
TXSD_DELTAE_SWEEP_20260115,711,4944,56000,276.9,4813
TXSD_DELTAE_SWEEP_20260115,721,4840,95600,462.7,4814
TXSD_DELTAE_SWEEP_20260115,731,4928,159300,785.0,4814
