prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 19 2026 13:32:04
TXSD_DELTAE_SWEEP_20260115,11,4944,56800,280.8,5406
TXSD_DELTAE_SWEEP_20260115,20,4948,79400,392.9,5407
TXSD_DELTAE_SWEEP_20260115,30,4948,56800,281.0,5407
TXSD_DELTAE_SWEEP_20260115,40,4944,57000,281.8,5407
TXSD_DELTAE_SWEEP_20260115,50,4944,56700,280.3,5407
TXSD_DELTAE_SWEEP_20260115,60,4944,57000,281.8,5407
TXSD_DELTAE_SWEEP_20260115,70,4948,57700,285.5,5407
TXSD_DELTAE_SWEEP_20260115,80,4944,56000,276.9,5407
TXSD_DELTAE_SWEEP_20260115,90,4948,57700,285.5,5407
TXSD_DELTAE_SWEEP_20260115,100,4944,56000,276.9,5407
TXSD_DELTAE_SWEEP_20260115,110,4948,57600,285.0,5407
TXSD_DELTAE_SWEEP_20260115,120,4872,65000,316.7,5408
TXSD_DELTAE_SWEEP_20260115,130,4948,57600,285.0,5408
TXSD_DELTAE_SWEEP_20260115,140,4944,56000,276.9,5408
TXSD_DELTAE_SWEEP_20260115,150,4948,57700,285.5,5408
TXSD_DELTAE_SWEEP_20260115,160,4944,56100,277.4,5408
TXSD_DELTAE_SWEEP_20260115,170,4948,57600,285.0,5408
TXSD_DELTAE_SWEEP_20260115,180,4944,56800,280.8,5408
TXSD_DELTAE_SWEEP_20260115,190,4944,56900,281.3,5408
TXSD_DELTAE_SWEEP_20260115,200,4944,56800,280.8,5408
TXSD_DELTAE_SWEEP_20260115,210,4948,57000,282.0,5408
TXSD_DELTAE_SWEEP_20260115,220,4924,56800,279.7,5409
TXSD_DELTAE_SWEEP_20260115,230,4860,57100,277.5,5409
TXSD_DELTAE_SWEEP_20260115,240,4948,57700,285.5,5409
TXSD_DELTAE_SWEEP_20260115,250,4944,56100,277.4,5409
TXSD_DELTAE_SWEEP_20260115,260,4948,57700,285.5,5409
TXSD_DELTAE_SWEEP_20260115,270,4944,56200,277.9,5409
TXSD_DELTAE_SWEEP_20260115,280,4944,57700,285.3,5409
TXSD_DELTAE_SWEEP_20260115,290,4944,56000,276.9,5409
TXSD_DELTAE_SWEEP_20260115,300,4944,57600,284.8,5409
TXSD_DELTAE_SWEEP_20260115,310,4944,56100,277.4,5409
TXSD_DELTAE_SWEEP_20260115,320,4940,100800,498.0,5410
TXSD_DELTAE_SWEEP_20260115,330,4920,56100,276.0,5410
TXSD_DELTAE_SWEEP_20260115,340,4948,57700,285.5,5410
TXSD_DELTAE_SWEEP_20260115,350,4944,56800,280.8,5410
