prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 19 2026 13:32:04
TXSD_DELTAE_SWEEP_20260115,10,4944,56900,281.3,7081
TXSD_DELTAE_SWEEP_20260115,20,4944,57300,283.3,7081
TXSD_DELTAE_SWEEP_20260115,30,4944,56500,279.3,7081
TXSD_DELTAE_SWEEP_20260115,40,4944,57600,284.8,7081
TXSD_DELTAE_SWEEP_20260115,50,4944,56000,276.9,7081
TXSD_DELTAE_SWEEP_20260115,60,4948,57500,284.5,7081
TXSD_DELTAE_SWEEP_20260115,70,4944,55900,276.4,7081
TXSD_DELTAE_SWEEP_20260115,80,4948,57500,284.5,7081
TXSD_DELTAE_SWEEP_20260115,90,4944,55900,276.4,7081
TXSD_DELTAE_SWEEP_20260115,100,4948,57500,284.5,7081
TXSD_DELTAE_SWEEP_20260115,110,4944,56000,276.9,7081
TXSD_DELTAE_SWEEP_20260115,120,4948,57500,284.5,7081
TXSD_DELTAE_SWEEP_20260115,130,4944,55900,276.4,7081
TXSD_DELTAE_SWEEP_20260115,140,4948,57600,285.0,7081
TXSD_DELTAE_SWEEP_20260115,150,4944,56600,279.8,7081
TXSD_DELTAE_SWEEP_20260115,160,4948,56900,281.5,7081
TXSD_DELTAE_SWEEP_20260115,170,4948,56600,280.1,7081
TXSD_DELTAE_SWEEP_20260115,180,4944,56900,281.3,7081
TXSD_DELTAE_SWEEP_20260115,190,4948,57700,285.5,7081
TXSD_DELTAE_SWEEP_20260115,200,4948,56000,277.1,7081
TXSD_DELTAE_SWEEP_20260115,210,4948,57500,284.5,7081
TXSD_DELTAE_SWEEP_20260115,220,4944,56000,276.9,7081
TXSD_DELTAE_SWEEP_20260115,230,4948,57500,284.5,7081
TXSD_DELTAE_SWEEP_20260115,240,4944,56000,276.9,7081
TXSD_DELTAE_SWEEP_20260115,250,4948,57600,285.0,7081
TXSD_DELTAE_SWEEP_20260115,260,4944,55900,276.4,7081
TXSD_DELTAE_SWEEP_20260115,270,4944,57600,284.8,7081
TXSD_DELTAE_SWEEP_20260115,280,4944,56000,276.9,7081
TXSD_DELTAE_SWEEP_20260115,290,4948,57600,285.0,7081
TXSD_DELTAE_SWEEP_20260115,300,4944,56000,276.9,7081
TXSD_DELTAE_SWEEP_20260115,310,4868,116000,564.7,7082
TXSD_DELTAE_SWEEP_20260115,320,4808,104900,504.4,7082
TXSD_DELTAE_SWEEP_20260115,330,4944,56900,281.3,7082
TXSD_DELTAE_SWEEP_20260115,340,4948,56600,280.1,7082
TXSD_DELTAE_SWEEP_20260115,350,4948,56900,281.5,7082
TXSD_DELTAE_SWEEP_20260115,360,4944,57600,284.8,7082
TXSD_DELTAE_SWEEP_20260115,370,4944,56000,276.9,7082
TXSD_DELTAE_SWEEP_20260115,380,4948,57500,284.5,7082
TXSD_DELTAE_SWEEP_20260115,390,4944,56000,276.9,7082
TXSD_DELTAE_SWEEP_20260115,400,4948,57500,284.5,7082
TXSD_DELTAE_SWEEP_20260115,410,4944,55900,276.4,7082
TXSD_DELTAE_SWEEP_20260115,420,4948,57600,285.0,7082
TXSD_DELTAE_SWEEP_20260115,430,4944,56000,276.9,7082
TXSD_DELTAE_SWEEP_20260115,440,4948,57500,284.5,7082
TXSD_DELTAE_SWEEP_20260115,450,4944,56000,276.9,7082
TXSD_DELTAE_SWEEP_20260115,460,4948,57500,284.5,7082
TXSD_DELTAE_SWEEP_20260115,470,4944,56100,277.4,7082
TXSD_DELTAE_SWEEP_20260115,480,4948,57500,284.5,7082
TXSD_DELTAE_SWEEP_20260115,490,4948,56600,280.1,7082
TXSD_DELTAE_SWEEP_20260115,500,4944,56900,281.3,7082
TXSD_DELTAE_SWEEP_20260115,510,4948,56600,280.1,7082
TXSD_DELTAE_SWEEP_20260115,520,4944,56900,281.3,7082
TXSD_DELTAE_SWEEP_20260115,530,4948,57500,284.5,7082
TXSD_DELTAE_SWEEP_20260115,540,4944,56000,276.9,7082
TXSD_DELTAE_SWEEP_20260115,550,4948,57600,285.0,7082
TXSD_DELTAE_SWEEP_20260115,560,4944,55900,276.4,7082
TXSD_DELTAE_SWEEP_20260115,570,4948,57600,285.0,7082
TXSD_DELTAE_SWEEP_20260115,580,4944,55900,276.4,7082
TXSD_DELTAE_SWEEP_20260115,590,4948,57500,284.5,7082
TXSD_DELTAE_SWEEP_20260115,600,4944,56000,276.9,7082
TXSD_DELTAE_SWEEP_20260115,610,4948,57500,284.5,7082
TXSD_DELTAE_SWEEP_20260115,620,4944,55900,276.4,7082
TXSD_DELTAE_SWEEP_20260115,630,4948,57500,284.5,7082
TXSD_DELTAE_SWEEP_20260115,640,4944,56600,279.8,7082
TXSD_DELTAE_SWEEP_20260115,650,4948,57100,282.5,7082
TXSD_DELTAE_SWEEP_20260115,660,4944,56600,279.8,7082
TXSD_DELTAE_SWEEP_20260115,670,4948,57000,282.0,7082
TXSD_DELTAE_SWEEP_20260115,680,4948,56600,280.1,7082
TXSD_DELTAE_SWEEP_20260115,690,4944,56900,281.3,7082
TXSD_DELTAE_SWEEP_20260115,700,4948,57700,285.5,7082
TXSD_DELTAE_SWEEP_20260115,710,4944,55900,276.4,7082
TXSD_DELTAE_SWEEP_20260115,720,4944,57600,284.8,7082
TXSD_DELTAE_SWEEP_20260115,730,4944,55900,276.4,7082
TXSD_DELTAE_SWEEP_20260115,740,4948,57500,284.5,7082
TXSD_DELTAE_SWEEP_20260115,752,4944,55900,276.4,7082
TXSD_DELTAE_SWEEP_20260115,760,4948,57600,285.0,7082
TXSD_DELTAE_SWEEP_20260115,770,4944,56000,276.9,7082
TXSD_DELTAE_SWEEP_20260115,780,4948,57600,285.0,7082
TXSD_DELTAE_SWEEP_20260115,790,4944,56000,276.9,7082
TXSD_DELTAE_SWEEP_20260115,800,4944,57600,284.8,7082
TXSD_DELTAE_SWEEP_20260115,810,4876,121800,593.9,7083
TXSD_DELTAE_SWEEP_20260115,820,4888,174700,853.9,7083
TXSD_DELTAE_SWEEP_20260115,830,4944,56600,279.8,7083
TXSD_DELTAE_SWEEP_20260115,840,4948,56900,281.5,7083
TXSD_DELTAE_SWEEP_20260115,850,4944,56900,281.3,7083
TXSD_DELTAE_SWEEP_20260115,860,4944,56900,281.3,7083
TXSD_DELTAE_SWEEP_20260115,870,4948,57600,285.0,7083
TXSD_DELTAE_SWEEP_20260115,880,4944,56000,276.9,7083
TXSD_DELTAE_SWEEP_20260115,890,4944,57500,284.3,7083
TXSD_DELTAE_SWEEP_20260115,900,4944,56000,276.9,7083
TXSD_DELTAE_SWEEP_20260115,910,4948,57600,285.0,7083
TXSD_DELTAE_SWEEP_20260115,920,4944,55900,276.4,7083
TXSD_DELTAE_SWEEP_20260115,930,4948,57500,284.5,7083
TXSD_DELTAE_SWEEP_20260115,940,4948,55900,276.6,7083
TXSD_DELTAE_SWEEP_20260115,950,4948,57600,285.0,7083
TXSD_DELTAE_SWEEP_20260115,960,4944,55900,276.4,7083
TXSD_DELTAE_SWEEP_20260115,970,4944,57600,284.8,7083
TXSD_DELTAE_SWEEP_20260115,980,4944,56500,279.3,7083
TXSD_DELTAE_SWEEP_20260115,990,4948,57000,282.0,7083
TXSD_DELTAE_SWEEP_20260115,1000,4944,56600,279.8,7083
TXSD_DELTAE_SWEEP_20260115,1010,4944,56900,281.3,7083
TXSD_DELTAE_SWEEP_20260115,1020,4944,57400,283.8,7083
TXSD_DELTAE_SWEEP_20260115,1030,4944,56400,278.8,7083
TXSD_DELTAE_SWEEP_20260115,1040,4948,57500,284.5,7083
TXSD_DELTAE_SWEEP_20260115,1050,4944,55900,276.4,7083
TXSD_DELTAE_SWEEP_20260115,1060,4948,57500,284.5,7083
TXSD_DELTAE_SWEEP_20260115,1070,4944,56000,276.9,7083
TXSD_DELTAE_SWEEP_20260115,1080,4948,57500,284.5,7083
TXSD_DELTAE_SWEEP_20260115,1090,4944,55900,276.4,7083
TXSD_DELTAE_SWEEP_20260115,1100,4948,57500,284.5,7083
TXSD_DELTAE_SWEEP_20260115,1110,4944,55900,276.4,7083
TXSD_DELTAE_SWEEP_20260115,1120,4948,57500,284.5,7083
TXSD_DELTAE_SWEEP_20260115,1130,4944,55900,276.4,7083
TXSD_DELTAE_SWEEP_20260115,1140,4944,57500,284.3,7083
TXSD_DELTAE_SWEEP_20260115,1150,4944,56600,279.8,7083
TXSD_DELTAE_SWEEP_20260115,1160,4948,56900,281.5,7083
TXSD_DELTAE_SWEEP_20260115,1170,4944,56600,279.8,7083
