prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 19 2026 13:32:04
TXSD_DELTAE_SWEEP_20260115,11,4948,57500,284.5,7620
TXSD_DELTAE_SWEEP_20260115,21,4944,56600,279.8,7620
TXSD_DELTAE_SWEEP_20260115,31,4948,56800,281.0,7620
TXSD_DELTAE_SWEEP_20260115,41,4944,56600,279.8,7620
TXSD_DELTAE_SWEEP_20260115,51,4948,56900,281.5,7620
TXSD_DELTAE_SWEEP_20260115,61,4944,56600,279.8,7620
TXSD_DELTAE_SWEEP_20260115,71,4944,56800,280.8,7620
TXSD_DELTAE_SWEEP_20260115,81,4948,57200,283.0,7620
TXSD_DELTAE_SWEEP_20260115,91,4944,56000,276.9,7620
TXSD_DELTAE_SWEEP_20260115,101,4948,57500,284.5,7620
TXSD_DELTAE_SWEEP_20260115,111,4944,55900,276.4,7620
TXSD_DELTAE_SWEEP_20260115,121,4948,57500,284.5,7620
TXSD_DELTAE_SWEEP_20260115,131,4944,55900,276.4,7620
TXSD_DELTAE_SWEEP_20260115,141,4948,57500,284.5,7620
TXSD_DELTAE_SWEEP_20260115,151,4944,56000,276.9,7620
TXSD_DELTAE_SWEEP_20260115,161,4948,57600,285.0,7620
TXSD_DELTAE_SWEEP_20260115,171,4944,56000,276.9,7620
TXSD_DELTAE_SWEEP_20260115,181,4948,57500,284.5,7620
TXSD_DELTAE_SWEEP_20260115,191,4944,56500,279.3,7620
TXSD_DELTAE_SWEEP_20260115,201,4948,56900,281.5,7620
TXSD_DELTAE_SWEEP_20260115,211,4944,56500,279.3,7620
TXSD_DELTAE_SWEEP_20260115,221,4948,56800,281.0,7620
TXSD_DELTAE_SWEEP_20260115,231,4944,56600,279.8,7620
TXSD_DELTAE_SWEEP_20260115,241,4944,56200,277.9,7620
TXSD_DELTAE_SWEEP_20260115,251,4856,57600,279.7,7621
TXSD_DELTAE_SWEEP_20260115,261,4944,55900,276.4,7621
TXSD_DELTAE_SWEEP_20260115,271,4948,57500,284.5,7621
TXSD_DELTAE_SWEEP_20260115,281,4948,55900,276.6,7621
TXSD_DELTAE_SWEEP_20260115,291,4948,57500,284.5,7621
TXSD_DELTAE_SWEEP_20260115,301,4944,56000,276.9,7621
TXSD_DELTAE_SWEEP_20260115,311,4948,57500,284.5,7621
TXSD_DELTAE_SWEEP_20260115,321,4944,56000,276.9,7621
TXSD_DELTAE_SWEEP_20260115,331,4948,57500,284.5,7621
TXSD_DELTAE_SWEEP_20260115,341,4944,55900,276.4,7621
TXSD_DELTAE_SWEEP_20260115,351,4948,57500,284.5,7621
TXSD_DELTAE_SWEEP_20260115,361,4948,56600,280.1,7621
TXSD_DELTAE_SWEEP_20260115,371,4944,56800,280.8,7621
TXSD_DELTAE_SWEEP_20260115,381,4944,56500,279.3,7621
TXSD_DELTAE_SWEEP_20260115,391,4944,56800,280.8,7621
TXSD_DELTAE_SWEEP_20260115,401,4948,56600,280.1,7621
TXSD_DELTAE_SWEEP_20260115,411,4944,55900,276.4,7621
TXSD_DELTAE_SWEEP_20260115,421,4948,57500,284.5,7621
TXSD_DELTAE_SWEEP_20260115,431,4944,56000,276.9,7621
TXSD_DELTAE_SWEEP_20260115,441,4948,57500,284.5,7621
TXSD_DELTAE_SWEEP_20260115,451,4944,55900,276.4,7621
TXSD_DELTAE_SWEEP_20260115,461,4948,57600,285.0,7621
TXSD_DELTAE_SWEEP_20260115,471,4944,56000,276.9,7621
TXSD_DELTAE_SWEEP_20260115,481,4948,57500,284.5,7621
TXSD_DELTAE_SWEEP_20260115,491,4944,55900,276.4,7621
TXSD_DELTAE_SWEEP_20260115,501,4948,57500,284.5,7621
TXSD_DELTAE_SWEEP_20260115,511,4944,56100,277.4,7621
TXSD_DELTAE_SWEEP_20260115,521,4948,57500,284.5,7621
TXSD_DELTAE_SWEEP_20260115,531,4948,56600,280.1,7621
TXSD_DELTAE_SWEEP_20260115,541,4948,56900,281.5,7621
TXSD_DELTAE_SWEEP_20260115,551,4944,56500,279.3,7621
TXSD_DELTAE_SWEEP_20260115,561,4948,56900,281.5,7621
TXSD_DELTAE_SWEEP_20260115,571,4948,56600,280.1,7621
TXSD_DELTAE_SWEEP_20260115,581,4944,55900,276.4,7621
TXSD_DELTAE_SWEEP_20260115,591,4948,57500,284.5,7621
TXSD_DELTAE_SWEEP_20260115,601,4944,55900,276.4,7621
TXSD_DELTAE_SWEEP_20260115,611,4948,57600,285.0,7621
TXSD_DELTAE_SWEEP_20260115,621,4944,55900,276.4,7621
TXSD_DELTAE_SWEEP_20260115,631,4948,57500,284.5,7621
TXSD_DELTAE_SWEEP_20260115,641,4944,55900,276.4,7621
TXSD_DELTAE_SWEEP_20260115,651,4948,57500,284.5,7621
TXSD_DELTAE_SWEEP_20260115,661,4944,56000,276.9,7621
TXSD_DELTAE_SWEEP_20260115,671,4948,57500,284.5,7621
TXSD_DELTAE_SWEEP_20260115,681,4944,56600,279.8,7621
TXSD_DELTAE_SWEEP_20260115,691,4944,56900,281.3,7621
TXSD_DELTAE_SWEEP_20260115,701,4948,56500,279.6,7621
TXSD_DELTAE_SWEEP_20260115,711,4948,56900,281.5,7621
TXSD_DELTAE_SWEEP_20260115,721,4948,56600,280.1,7621
TXSD_DELTAE_SWEEP_20260115,731,4944,56900,281.3,7621
TXSD_DELTAE_SWEEP_20260115,741,4948,56900,281.5,7621
TXSD_DELTAE_SWEEP_20260115,753,4944,55900,276.4,7621
TXSD_DELTAE_SWEEP_20260115,761,4948,57500,284.5,7621
TXSD_DELTAE_SWEEP_20260115,771,4944,55900,276.4,7621
TXSD_DELTAE_SWEEP_20260115,781,4948,57500,284.5,7621
TXSD_DELTAE_SWEEP_20260115,791,4944,55900,276.4,7621
TXSD_DELTAE_SWEEP_20260115,801,4948,57500,284.5,7621
TXSD_DELTAE_SWEEP_20260115,811,4944,56000,276.9,7621
TXSD_DELTAE_SWEEP_20260115,821,4948,57500,284.5,7621
