prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_DeltaE_Sweep, program_id=TXSD_DELTAE_SWEEP_20260115, build=Jan 19 2026 13:32:04
TXSD_DELTAE_SWEEP_20260115,11,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,21,4948,57700,285.5,7800
TXSD_DELTAE_SWEEP_20260115,31,4944,56600,279.8,7800
TXSD_DELTAE_SWEEP_20260115,41,4944,57000,281.8,7800
TXSD_DELTAE_SWEEP_20260115,51,4948,56600,280.1,7800
TXSD_DELTAE_SWEEP_20260115,61,4948,56900,281.5,7800
TXSD_DELTAE_SWEEP_20260115,71,4944,57400,283.8,7800
TXSD_DELTAE_SWEEP_20260115,81,4944,56400,278.8,7800
TXSD_DELTAE_SWEEP_20260115,91,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,101,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,111,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,121,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,131,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,141,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,151,4944,57600,284.8,7800
TXSD_DELTAE_SWEEP_20260115,161,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,171,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,181,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,191,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,201,4944,56700,280.3,7800
TXSD_DELTAE_SWEEP_20260115,211,4944,56900,281.3,7800
TXSD_DELTAE_SWEEP_20260115,221,4944,56800,280.8,7800
TXSD_DELTAE_SWEEP_20260115,231,4948,56900,281.5,7800
TXSD_DELTAE_SWEEP_20260115,241,4944,57500,284.3,7800
TXSD_DELTAE_SWEEP_20260115,251,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,261,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,271,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,281,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,291,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,301,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,311,4944,55900,276.4,7800
TXSD_DELTAE_SWEEP_20260115,321,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,331,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,341,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,351,4944,56800,280.8,7800
TXSD_DELTAE_SWEEP_20260115,361,4944,57000,281.8,7800
TXSD_DELTAE_SWEEP_20260115,371,4944,56700,280.3,7800
TXSD_DELTAE_SWEEP_20260115,381,4944,56900,281.3,7800
TXSD_DELTAE_SWEEP_20260115,391,4944,56700,280.3,7800
TXSD_DELTAE_SWEEP_20260115,401,4948,56900,281.5,7800
TXSD_DELTAE_SWEEP_20260115,411,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,421,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,431,4944,57500,284.3,7800
TXSD_DELTAE_SWEEP_20260115,441,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,451,4944,57600,284.8,7800
TXSD_DELTAE_SWEEP_20260115,461,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,471,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,481,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,491,4944,57600,284.8,7800
TXSD_DELTAE_SWEEP_20260115,501,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,511,4944,57600,284.8,7800
TXSD_DELTAE_SWEEP_20260115,521,4944,56700,280.3,7800
TXSD_DELTAE_SWEEP_20260115,531,4944,56900,281.3,7800
TXSD_DELTAE_SWEEP_20260115,541,4944,56700,280.3,7800
TXSD_DELTAE_SWEEP_20260115,551,4944,57000,281.8,7800
TXSD_DELTAE_SWEEP_20260115,561,4944,57600,284.8,7800
TXSD_DELTAE_SWEEP_20260115,571,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,581,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,591,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,601,4948,57500,284.5,7800
TXSD_DELTAE_SWEEP_20260115,611,4944,56100,277.4,7800
TXSD_DELTAE_SWEEP_20260115,621,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,631,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,641,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,651,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,661,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,671,4944,56100,277.4,7800
TXSD_DELTAE_SWEEP_20260115,681,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,691,4944,56700,280.3,7800
TXSD_DELTAE_SWEEP_20260115,701,4944,57000,281.8,7800
TXSD_DELTAE_SWEEP_20260115,711,4944,56600,279.8,7800
TXSD_DELTAE_SWEEP_20260115,721,4944,57000,281.8,7800
TXSD_DELTAE_SWEEP_20260115,731,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,741,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,753,4948,57700,285.5,7800
TXSD_DELTAE_SWEEP_20260115,761,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,771,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,781,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,791,4948,57600,285.0,7800
TXSD_DELTAE_SWEEP_20260115,801,4944,56000,276.9,7800
TXSD_DELTAE_SWEEP_20260115,811,4948,57600,285.0,7800
