prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=2, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 22 2026 00:57:13
RX_CCS_E2_20260121,12,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,105,ADV,-37,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,192,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,297,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,406,ADV,-36,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,506,ADV,-89,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,615,ADV,-42,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,721,ADV,-37,e0:5a:1b:15:b2:ee,MF0002
RX_CCS_E2_20260121,821,ADV,-34,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,922,ADV,-42,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,1149,ADV,-34,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,1240,ADV,-42,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,1344,ADV,-37,e0:5a:1b:15:b2:ee,MF0008
RX_CCS_E2_20260121,1552,ADV,-44,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,1874,ADV,-37,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,2077,ADV,-42,e0:5a:1b:15:b2:ee,MF0010
RX_CCS_E2_20260121,2181,ADV,-37,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,2286,ADV,-34,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,2397,ADV,-42,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,2511,ADV,-37,e0:5a:1b:15:b2:ee,MF0014
RX_CCS_E2_20260121,2599,ADV,-34,e0:5a:1b:15:b2:ee,MF0015
RX_CCS_E2_20260121,2705,ADV,-42,e0:5a:1b:15:b2:ee,MF0016
RX_CCS_E2_20260121,2806,ADV,-37,e0:5a:1b:15:b2:ee,MF0017
RX_CCS_E2_20260121,2915,ADV,-33,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,3019,ADV,-42,e0:5a:1b:15:b2:ee,MF0019
RX_CCS_E2_20260121,3121,ADV,-37,e0:5a:1b:15:b2:ee,MF001A
RX_CCS_E2_20260121,3434,ADV,-37,e0:5a:1b:15:b2:ee,MF001D
RX_CCS_E2_20260121,3532,ADV,-34,e0:5a:1b:15:b2:ee,MF001E
RX_CCS_E2_20260121,3642,ADV,-42,e0:5a:1b:15:b2:ee,MF001F
RX_CCS_E2_20260121,3740,ADV,-36,e0:5a:1b:15:b2:ee,MF0020
RX_CCS_E2_20260121,3837,ADV,-34,e0:5a:1b:15:b2:ee,MF0021
RX_CCS_E2_20260121,3942,ADV,-42,e0:5a:1b:15:b2:ee,MF0022
RX_CCS_E2_20260121,4055,ADV,-36,e0:5a:1b:15:b2:ee,MF0023
RX_CCS_E2_20260121,4154,ADV,-34,e0:5a:1b:15:b2:ee,MF0024
RX_CCS_E2_20260121,4262,ADV,-42,e0:5a:1b:15:b2:ee,MF0025
RX_CCS_E2_20260121,4787,ADV,-42,e0:5a:1b:15:b2:ee,MF002B
RX_CCS_E2_20260121,4884,ADV,-36,e0:5a:1b:15:b2:ee,MF002C
