prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=3, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 22 2026 00:57:13
RX_CCS_E2_20260121,100,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,209,ADV,-36,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,316,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,417,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,834,ADV,-33,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,939,ADV,-42,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,1053,ADV,-36,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,1150,ADV,-34,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,1255,ADV,-42,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,1363,ADV,-36,e0:5a:1b:15:b2:ee,MF0008
RX_CCS_E2_20260121,1461,ADV,-33,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,1565,ADV,-42,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,1678,ADV,-36,e0:5a:1b:15:b2:ee,MF000C
RX_CCS_E2_20260121,1769,ADV,-34,e0:5a:1b:15:b2:ee,MF000D
RX_CCS_E2_20260121,1871,ADV,-42,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,1975,ADV,-36,e0:5a:1b:15:b2:ee,MF000F
RX_CCS_E2_20260121,2076,ADV,-34,e0:5a:1b:15:b2:ee,MF0010
RX_CCS_E2_20260121,2189,ADV,-42,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,2397,ADV,-34,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,2495,ADV,-42,e0:5a:1b:15:b2:ee,MF0014
RX_CCS_E2_20260121,2606,ADV,-37,e0:5a:1b:15:b2:ee,MF0015
RX_CCS_E2_20260121,2704,ADV,-34,e0:5a:1b:15:b2:ee,MF0016
RX_CCS_E2_20260121,2814,ADV,-42,e0:5a:1b:15:b2:ee,MF0017
RX_CCS_E2_20260121,3142,ADV,-37,e0:5a:1b:15:b2:ee,MF001A
RX_CCS_E2_20260121,3236,ADV,-33,e0:5a:1b:15:b2:ee,MF001B
RX_CCS_E2_20260121,3343,ADV,-42,e0:5a:1b:15:b2:ee,MF001C
RX_CCS_E2_20260121,3453,ADV,-36,e0:5a:1b:15:b2:ee,MF001D
RX_CCS_E2_20260121,3560,ADV,-33,e0:5a:1b:15:b2:ee,MF001E
RX_CCS_E2_20260121,3669,ADV,-42,e0:5a:1b:15:b2:ee,MF0020
RX_CCS_E2_20260121,3782,ADV,-36,e0:5a:1b:15:b2:ee,MF0021
RX_CCS_E2_20260121,3879,ADV,-34,e0:5a:1b:15:b2:ee,MF0022
RX_CCS_E2_20260121,3988,ADV,-42,e0:5a:1b:15:b2:ee,MF0023
RX_CCS_E2_20260121,4099,ADV,-36,e0:5a:1b:15:b2:ee,MF0024
RX_CCS_E2_20260121,4206,ADV,-33,e0:5a:1b:15:b2:ee,MF0025
RX_CCS_E2_20260121,4317,ADV,-42,e0:5a:1b:15:b2:ee,MF0026
RX_CCS_E2_20260121,4531,ADV,-42,e0:5a:1b:15:b2:ee,MF0028
RX_CCS_E2_20260121,4640,ADV,-37,e0:5a:1b:15:b2:ee,MF0029
RX_CCS_E2_20260121,4752,ADV,-34,e0:5a:1b:15:b2:ee,MF002A
RX_CCS_E2_20260121,4848,ADV,-42,e0:5a:1b:15:b2:ee,MF002B
RX_CCS_E2_20260121,4954,ADV,-37,e0:5a:1b:15:b2:ee,MF002C
RX_CCS_E2_20260121,5054,ADV,-34,e0:5a:1b:15:b2:ee,MF002D
RX_CCS_E2_20260121,5162,ADV,-42,e0:5a:1b:15:b2:ee,MF002E
RX_CCS_E2_20260121,5270,ADV,-36,e0:5a:1b:15:b2:ee,MF0030
RX_CCS_E2_20260121,5365,ADV,-34,e0:5a:1b:15:b2:ee,MF0031
RX_CCS_E2_20260121,5471,ADV,-42,e0:5a:1b:15:b2:ee,MF0032
RX_CCS_E2_20260121,5581,ADV,-37,e0:5a:1b:15:b2:ee,MF0033
RX_CCS_E2_20260121,5686,ADV,-33,e0:5a:1b:15:b2:ee,MF0034
RX_CCS_E2_20260121,5794,ADV,-42,e0:5a:1b:15:b2:ee,MF0035
RX_CCS_E2_20260121,5901,ADV,-36,e0:5a:1b:15:b2:ee,MF0036
RX_CCS_E2_20260121,5998,ADV,-34,e0:5a:1b:15:b2:ee,MF0037
RX_CCS_E2_20260121,6107,ADV,-43,e0:5a:1b:15:b2:ee,MF0038
RX_CCS_E2_20260121,6214,ADV,-37,e0:5a:1b:15:b2:ee,MF0039
RX_CCS_E2_20260121,6317,ADV,-33,e0:5a:1b:15:b2:ee,MF003A
RX_CCS_E2_20260121,6639,ADV,-42,e0:5a:1b:15:b2:ee,MF003D
RX_CCS_E2_20260121,6748,ADV,-37,e0:5a:1b:15:b2:ee,MF003E
RX_CCS_E2_20260121,6953,ADV,-43,e0:5a:1b:15:b2:ee,MF0040
RX_CCS_E2_20260121,7065,ADV,-36,e0:5a:1b:15:b2:ee,MF0041
RX_CCS_E2_20260121,7174,ADV,-34,e0:5a:1b:15:b2:ee,MF0043
RX_CCS_E2_20260121,7269,ADV,-43,e0:5a:1b:15:b2:ee,MF0044
RX_CCS_E2_20260121,7377,ADV,-36,e0:5a:1b:15:b2:ee,MF0045
RX_CCS_E2_20260121,7470,ADV,-34,e0:5a:1b:15:b2:ee,MF0046
RX_CCS_E2_20260121,7580,ADV,-43,e0:5a:1b:15:b2:ee,MF0047
RX_CCS_E2_20260121,7686,ADV,-36,e0:5a:1b:15:b2:ee,MF0048
RX_CCS_E2_20260121,7784,ADV,-34,e0:5a:1b:15:b2:ee,MF0049
RX_CCS_E2_20260121,7899,ADV,-42,e0:5a:1b:15:b2:ee,MF004A
RX_CCS_E2_20260121,7997,ADV,-36,e0:5a:1b:15:b2:ee,MF004B
RX_CCS_E2_20260121,8101,ADV,-34,e0:5a:1b:15:b2:ee,MF004C
RX_CCS_E2_20260121,8207,ADV,-44,e0:5a:1b:15:b2:ee,MF004D
RX_CCS_E2_20260121,8317,ADV,-36,e0:5a:1b:15:b2:ee,MF004E
RX_CCS_E2_20260121,8414,ADV,-34,e0:5a:1b:15:b2:ee,MF004F
RX_CCS_E2_20260121,8731,ADV,-43,e0:5a:1b:15:b2:ee,MF0052
RX_CCS_E2_20260121,8849,ADV,-36,e0:5a:1b:15:b2:ee,MF0053
RX_CCS_E2_20260121,8941,ADV,-34,e0:5a:1b:15:b2:ee,MF0054
RX_CCS_E2_20260121,9049,ADV,-44,e0:5a:1b:15:b2:ee,MF0055
RX_CCS_E2_20260121,9159,ADV,-36,e0:5a:1b:15:b2:ee,MF0056
RX_CCS_E2_20260121,9280,ADV,-33,e0:5a:1b:15:b2:ee,MF0057
RX_CCS_E2_20260121,9360,ADV,-43,e0:5a:1b:15:b2:ee,MF0058
RX_CCS_E2_20260121,9466,ADV,-37,e0:5a:1b:15:b2:ee,MF005A
RX_CCS_E2_20260121,9569,ADV,-33,e0:5a:1b:15:b2:ee,MF005B
RX_CCS_E2_20260121,9685,ADV,-44,e0:5a:1b:15:b2:ee,MF005C
RX_CCS_E2_20260121,9786,ADV,-36,e0:5a:1b:15:b2:ee,MF005D
RX_CCS_E2_20260121,9891,ADV,-34,e0:5a:1b:15:b2:ee,MF005E
RX_CCS_E2_20260121,9998,ADV,-43,e0:5a:1b:15:b2:ee,MF005F
RX_CCS_E2_20260121,10109,ADV,-36,e0:5a:1b:15:b2:ee,MF0060
RX_CCS_E2_20260121,10207,ADV,-33,e0:5a:1b:15:b2:ee,MF0061
RX_CCS_E2_20260121,10314,ADV,-44,e0:5a:1b:15:b2:ee,MF0062
RX_CCS_E2_20260121,10632,ADV,-36,e0:5a:1b:15:b2:ee,MF0065
RX_CCS_E2_20260121,10843,ADV,-42,e0:5a:1b:15:b2:ee,MF0067
RX_CCS_E2_20260121,10943,ADV,-37,e0:5a:1b:15:b2:ee,MF0068
RX_CCS_E2_20260121,11052,ADV,-34,e0:5a:1b:15:b2:ee,MF0069
RX_CCS_E2_20260121,11159,ADV,-42,e0:5a:1b:15:b2:ee,MF006A
RX_CCS_E2_20260121,11271,ADV,-37,e0:5a:1b:15:b2:ee,MF006C
RX_CCS_E2_20260121,11384,ADV,-34,e0:5a:1b:15:b2:ee,MF006D
RX_CCS_E2_20260121,11491,ADV,-43,e0:5a:1b:15:b2:ee,MF006E
RX_CCS_E2_20260121,11606,ADV,-36,e0:5a:1b:15:b2:ee,MF006F
RX_CCS_E2_20260121,11693,ADV,-33,e0:5a:1b:15:b2:ee,MF0070
RX_CCS_E2_20260121,11817,ADV,-43,e0:5a:1b:15:b2:ee,MF0071
RX_CCS_E2_20260121,11902,ADV,-37,e0:5a:1b:15:b2:ee,MF0072
RX_CCS_E2_20260121,12002,ADV,-33,e0:5a:1b:15:b2:ee,MF0073
RX_CCS_E2_20260121,12107,ADV,-42,e0:5a:1b:15:b2:ee,MF0074
RX_CCS_E2_20260121,12217,ADV,-36,e0:5a:1b:15:b2:ee,MF0075
RX_CCS_E2_20260121,12430,ADV,-36,e0:5a:1b:15:b2:ee,MF0077
RX_CCS_E2_20260121,12535,ADV,-34,e0:5a:1b:15:b2:ee,MF0078
RX_CCS_E2_20260121,12639,ADV,-44,e0:5a:1b:15:b2:ee,MF0079
RX_CCS_E2_20260121,12742,ADV,-37,e0:5a:1b:15:b2:ee,MF007A
RX_CCS_E2_20260121,12845,ADV,-33,e0:5a:1b:15:b2:ee,MF007B
RX_CCS_E2_20260121,12949,ADV,-83,e0:5a:1b:15:b2:ee,MF007C
RX_CCS_E2_20260121,13064,ADV,-37,e0:5a:1b:15:b2:ee,MF007D
RX_CCS_E2_20260121,13159,ADV,-33,e0:5a:1b:15:b2:ee,MF007E
RX_CCS_E2_20260121,13278,ADV,-43,e0:5a:1b:15:b2:ee,MF0080
RX_CCS_E2_20260121,13382,ADV,-37,e0:5a:1b:15:b2:ee,MF0081
RX_CCS_E2_20260121,13484,ADV,-34,e0:5a:1b:15:b2:ee,MF0082
RX_CCS_E2_20260121,13598,ADV,-43,e0:5a:1b:15:b2:ee,MF0083
RX_CCS_E2_20260121,13688,ADV,-36,e0:5a:1b:15:b2:ee,MF0084
RX_CCS_E2_20260121,13800,ADV,-33,e0:5a:1b:15:b2:ee,MF0085
RX_CCS_E2_20260121,13901,ADV,-44,e0:5a:1b:15:b2:ee,MF0086
RX_CCS_E2_20260121,14003,ADV,-36,e0:5a:1b:15:b2:ee,MF0087
RX_CCS_E2_20260121,14114,ADV,-34,e0:5a:1b:15:b2:ee,MF0088
RX_CCS_E2_20260121,14214,ADV,-43,e0:5a:1b:15:b2:ee,MF0089
RX_CCS_E2_20260121,14536,ADV,-37,e0:5a:1b:15:b2:ee,MF008C
RX_CCS_E2_20260121,14646,ADV,-33,e0:5a:1b:15:b2:ee,MF008D
RX_CCS_E2_20260121,14748,ADV,-43,e0:5a:1b:15:b2:ee,MF008E
RX_CCS_E2_20260121,14857,ADV,-36,e0:5a:1b:15:b2:ee,MF008F
RX_CCS_E2_20260121,14970,ADV,-34,e0:5a:1b:15:b2:ee,MF0091
RX_CCS_E2_20260121,15075,ADV,-43,e0:5a:1b:15:b2:ee,MF0092
RX_CCS_E2_20260121,15200,ADV,-36,e0:5a:1b:15:b2:ee,MF0093
RX_CCS_E2_20260121,15278,ADV,-34,e0:5a:1b:15:b2:ee,MF0094
RX_CCS_E2_20260121,15393,ADV,-43,e0:5a:1b:15:b2:ee,MF0095
