prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=4, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 22 2026 00:57:13
RX_CCS_E2_20260121,1572,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,5596,ADV,-36,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,7594,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,9607,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,11608,ADV,-36,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,13619,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,15605,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,17622,ADV,-37,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,19616,ADV,-44,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,21628,ADV,-34,e0:5a:1b:15:b2:ee,MF0002
RX_CCS_E2_20260121,23632,ADV,-37,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,25631,ADV,-43,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,27639,ADV,-33,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,29649,ADV,-37,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,31656,ADV,-42,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,33668,ADV,-33,e0:5a:1b:15:b2:ee,MF0008
RX_CCS_E2_20260121,35664,ADV,-37,e0:5a:1b:15:b2:ee,MF0009
RX_CCS_E2_20260121,37666,ADV,-43,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,39673,ADV,-34,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,43689,ADV,-36,e0:5a:1b:15:b2:ee,MF000D
RX_CCS_E2_20260121,45698,ADV,-44,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,47693,ADV,-34,e0:5a:1b:15:b2:ee,MF000F
RX_CCS_E2_20260121,51706,ADV,-43,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,53715,ADV,-34,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,55724,ADV,-37,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,57726,ADV,-42,e0:5a:1b:15:b2:ee,MF0014
RX_CCS_E2_20260121,59729,ADV,-33,e0:5a:1b:15:b2:ee,MF0015
RX_CCS_E2_20260121,61732,ADV,-37,e0:5a:1b:15:b2:ee,MF0016
RX_CCS_E2_20260121,63743,ADV,-42,e0:5a:1b:15:b2:ee,MF0017
RX_CCS_E2_20260121,65739,ADV,-34,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,67742,ADV,-37,e0:5a:1b:15:b2:ee,MF0019
RX_CCS_E2_20260121,69767,ADV,-43,e0:5a:1b:15:b2:ee,MF001A
