prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=5, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 22 2026 00:57:13
RX_CCS_E2_20260121,1568,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,3586,ADV,-37,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,5585,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,7595,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,9595,ADV,-36,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,11603,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,13597,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,15605,ADV,-36,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,19612,ADV,-34,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,21618,ADV,-36,e0:5a:1b:15:b2:ee,MF0002
RX_CCS_E2_20260121,23622,ADV,-42,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,29654,ADV,-37,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,31640,ADV,-42,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,33650,ADV,-34,e0:5a:1b:15:b2:ee,MF0008
RX_CCS_E2_20260121,35653,ADV,-36,e0:5a:1b:15:b2:ee,MF0009
RX_CCS_E2_20260121,37654,ADV,-42,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,39681,ADV,-34,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,43665,ADV,-42,e0:5a:1b:15:b2:ee,MF000D
RX_CCS_E2_20260121,45686,ADV,-33,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,47679,ADV,-36,e0:5a:1b:15:b2:ee,MF000F
RX_CCS_E2_20260121,51691,ADV,-33,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,53702,ADV,-36,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,55709,ADV,-42,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,57707,ADV,-33,e0:5a:1b:15:b2:ee,MF0014
RX_CCS_E2_20260121,59707,ADV,-36,e0:5a:1b:15:b2:ee,MF0015
RX_CCS_E2_20260121,61706,ADV,-43,e0:5a:1b:15:b2:ee,MF0016
RX_CCS_E2_20260121,63709,ADV,-33,e0:5a:1b:15:b2:ee,MF0017
RX_CCS_E2_20260121,65720,ADV,-36,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,69734,ADV,-42,e0:5a:1b:15:b2:ee,MF001A
RX_CCS_E2_20260121,71740,ADV,-33,e0:5a:1b:15:b2:ee,MF001B
RX_CCS_E2_20260121,73759,ADV,-37,e0:5a:1b:15:b2:ee,MF001C
RX_CCS_E2_20260121,75757,ADV,-42,e0:5a:1b:15:b2:ee,MF001D
RX_CCS_E2_20260121,77757,ADV,-34,e0:5a:1b:15:b2:ee,MF001E
RX_CCS_E2_20260121,79763,ADV,-36,e0:5a:1b:15:b2:ee,MF001F
RX_CCS_E2_20260121,81766,ADV,-42,e0:5a:1b:15:b2:ee,MF0020
RX_CCS_E2_20260121,83784,ADV,-34,e0:5a:1b:15:b2:ee,MF0021
RX_CCS_E2_20260121,85786,ADV,-37,e0:5a:1b:15:b2:ee,MF0022
RX_CCS_E2_20260121,87792,ADV,-43,e0:5a:1b:15:b2:ee,MF0023
RX_CCS_E2_20260121,89803,ADV,-33,e0:5a:1b:15:b2:ee,MF0024
RX_CCS_E2_20260121,91799,ADV,-36,e0:5a:1b:15:b2:ee,MF0025
RX_CCS_E2_20260121,93799,ADV,-42,e0:5a:1b:15:b2:ee,MF0026
RX_CCS_E2_20260121,95799,ADV,-34,e0:5a:1b:15:b2:ee,MF0027
RX_CCS_E2_20260121,97821,ADV,-36,e0:5a:1b:15:b2:ee,MF0028
RX_CCS_E2_20260121,99816,ADV,-42,e0:5a:1b:15:b2:ee,MF0029
RX_CCS_E2_20260121,101822,ADV,-33,e0:5a:1b:15:b2:ee,MF002A
RX_CCS_E2_20260121,105855,ADV,-36,e0:5a:1b:15:b2:ee,MF002C
RX_CCS_E2_20260121,107841,ADV,-42,e0:5a:1b:15:b2:ee,MF002D
