prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 22 2026 00:56:40
TXSD_CCS_E2_20260121,11,4824,212100,1023.2,5
TXSD_CCS_E2_20260121,21,4940,56000,276.6,5
TXSD_CCS_E2_20260121,31,4944,57700,285.3,5
TXSD_CCS_E2_20260121,41,4940,56000,276.6,5
TXSD_CCS_E2_20260121,51,4944,57000,281.8,5
TXSD_CCS_E2_20260121,61,4940,56600,279.6,5
TXSD_CCS_E2_20260121,71,4940,57000,281.6,6
TXSD_CCS_E2_20260121,81,4940,56700,280.1,6
TXSD_CCS_E2_20260121,91,4940,57000,281.6,6
TXSD_CCS_E2_20260121,101,4944,57400,283.8,6
TXSD_CCS_E2_20260121,111,4940,56400,278.6,6
TXSD_CCS_E2_20260121,121,4688,136000,637.6,6
TXSD_CCS_E2_20260121,131,4940,56000,276.6,6
TXSD_CCS_E2_20260121,141,4944,57600,284.8,6
TXSD_CCS_E2_20260121,151,4940,56000,276.6,6
TXSD_CCS_E2_20260121,161,4944,57600,284.8,6
TXSD_CCS_E2_20260121,171,4940,56000,276.6,7
TXSD_CCS_E2_20260121,181,4944,57700,285.3,7
TXSD_CCS_E2_20260121,191,4940,56000,276.6,7
TXSD_CCS_E2_20260121,201,4944,57600,284.8,7
TXSD_CCS_E2_20260121,211,4940,56000,276.6,7
TXSD_CCS_E2_20260121,221,4940,58700,290.0,7
TXSD_CCS_E2_20260121,231,4940,56700,280.1,7
TXSD_CCS_E2_20260121,241,4944,57000,281.8,7
TXSD_CCS_E2_20260121,251,4940,56600,279.6,7
TXSD_CCS_E2_20260121,261,4944,57000,281.8,7
TXSD_CCS_E2_20260121,271,4940,57600,284.5,8
TXSD_CCS_E2_20260121,281,4940,56000,276.6,8
TXSD_CCS_E2_20260121,291,4940,57600,284.5,8
TXSD_CCS_E2_20260121,301,4940,56000,276.6,8
TXSD_CCS_E2_20260121,311,4944,57600,284.8,8
TXSD_CCS_E2_20260121,321,4940,56000,276.6,8
TXSD_CCS_E2_20260121,331,4680,113900,533.1,8
TXSD_CCS_E2_20260121,341,4940,56000,276.6,8
TXSD_CCS_E2_20260121,351,4944,57600,284.8,8
TXSD_CCS_E2_20260121,361,4940,56000,276.6,8
TXSD_CCS_E2_20260121,371,4944,57600,284.8,9
TXSD_CCS_E2_20260121,381,4940,56000,276.6,9
TXSD_CCS_E2_20260121,391,4940,57600,284.5,9
TXSD_CCS_E2_20260121,401,4940,56600,279.6,9
TXSD_CCS_E2_20260121,411,4944,57000,281.8,9
TXSD_CCS_E2_20260121,421,4940,56700,280.1,9
TXSD_CCS_E2_20260121,431,4704,131600,619.0,9
TXSD_CCS_E2_20260121,441,4940,57600,284.5,9
TXSD_CCS_E2_20260121,451,4940,56000,276.6,9
TXSD_CCS_E2_20260121,461,4940,57600,284.5,9
TXSD_CCS_E2_20260121,471,4940,56000,276.6,10
TXSD_CCS_E2_20260121,481,4944,57600,284.8,10
TXSD_CCS_E2_20260121,491,4940,56000,276.6,10
TXSD_CCS_E2_20260121,501,4940,57600,284.5,10
TXSD_CCS_E2_20260121,511,4940,56000,276.6,10
