prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=1, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 21 2026 06:00:00
RX_CCS_E2_20260121,68,ADV,-32,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,176,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,283,ADV,-36,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,396,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,496,ADV,-34,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,812,ADV,-35,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,911,ADV,-33,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,1017,ADV,-33,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,1128,ADV,-35,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,1238,ADV,-32,e0:5a:1b:15:b2:ee,MF0009
RX_CCS_E2_20260121,1336,ADV,-35,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,1444,ADV,-36,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,1589,ADV,-33,e0:5a:1b:15:b2:ee,MF000C
RX_CCS_E2_20260121,1657,ADV,-38,e0:5a:1b:15:b2:ee,MF000D
RX_CCS_E2_20260121,1759,ADV,-36,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,1863,ADV,-32,e0:5a:1b:15:b2:ee,MF000F
RX_CCS_E2_20260121,1970,ADV,-35,e0:5a:1b:15:b2:ee,MF0010
RX_CCS_E2_20260121,2079,ADV,-36,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,2185,ADV,-32,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,2294,ADV,-38,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,2394,ADV,-36,e0:5a:1b:15:b2:ee,MF0014
RX_CCS_E2_20260121,2732,ADV,-32,e0:5a:1b:15:b2:ee,MF0017
RX_CCS_E2_20260121,2819,ADV,-39,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,2918,ADV,-36,e0:5a:1b:15:b2:ee,MF0019
RX_CCS_E2_20260121,3038,ADV,-32,e0:5a:1b:15:b2:ee,MF001A
RX_CCS_E2_20260121,3129,ADV,-34,e0:5a:1b:15:b2:ee,MF001C
RX_CCS_E2_20260121,3238,ADV,-35,e0:5a:1b:15:b2:ee,MF001D
