prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=4, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 21 2026 06:00:00
RX_CCS_E2_20260121,69,ADV,-32,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,182,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,282,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,380,ADV,-32,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,485,ADV,-38,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,593,ADV,-35,e0:5a:1b:15:b2:ee,MF0002
RX_CCS_E2_20260121,700,ADV,-32,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,802,ADV,-35,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,1226,ADV,-32,e0:5a:1b:15:b2:ee,MF0008
RX_CCS_E2_20260121,1347,ADV,-35,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,1448,ADV,-35,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,1539,ADV,-32,e0:5a:1b:15:b2:ee,MF000C
RX_CCS_E2_20260121,1747,ADV,-36,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,1854,ADV,-32,e0:5a:1b:15:b2:ee,MF000F
RX_CCS_E2_20260121,1969,ADV,-38,e0:5a:1b:15:b2:ee,MF0010
RX_CCS_E2_20260121,2073,ADV,-35,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,2168,ADV,-32,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,2281,ADV,-34,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,2388,ADV,-35,e0:5a:1b:15:b2:ee,MF0014
RX_CCS_E2_20260121,2507,ADV,-32,e0:5a:1b:15:b2:ee,MF0015
RX_CCS_E2_20260121,2595,ADV,-35,e0:5a:1b:15:b2:ee,MF0016
RX_CCS_E2_20260121,2693,ADV,-35,e0:5a:1b:15:b2:ee,MF0017
RX_CCS_E2_20260121,2791,ADV,-32,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,2907,ADV,-35,e0:5a:1b:15:b2:ee,MF0019
RX_CCS_E2_20260121,3006,ADV,-35,e0:5a:1b:15:b2:ee,MF001A
RX_CCS_E2_20260121,3260,ADV,-36,e0:5a:1b:15:b2:ee,MF001C
RX_CCS_E2_20260121,3338,ADV,-33,e0:5a:1b:15:b2:ee,MF001D
RX_CCS_E2_20260121,3439,ADV,-35,e0:5a:1b:15:b2:ee,MF001F
RX_CCS_E2_20260121,3539,ADV,-35,e0:5a:1b:15:b2:ee,MF0020
RX_CCS_E2_20260121,3637,ADV,-32,e0:5a:1b:15:b2:ee,MF0021
RX_CCS_E2_20260121,3744,ADV,-35,e0:5a:1b:15:b2:ee,MF0022
RX_CCS_E2_20260121,3866,ADV,-35,e0:5a:1b:15:b2:ee,MF0023
RX_CCS_E2_20260121,4049,ADV,-35,e0:5a:1b:15:b2:ee,MF0025
RX_CCS_E2_20260121,4165,ADV,-35,e0:5a:1b:15:b2:ee,MF0026
RX_CCS_E2_20260121,4256,ADV,-32,e0:5a:1b:15:b2:ee,MF0027
RX_CCS_E2_20260121,4368,ADV,-35,e0:5a:1b:15:b2:ee,MF0028
RX_CCS_E2_20260121,4469,ADV,-36,e0:5a:1b:15:b2:ee,MF0029
RX_CCS_E2_20260121,4570,ADV,-32,e0:5a:1b:15:b2:ee,MF002A
RX_CCS_E2_20260121,4781,ADV,-35,e0:5a:1b:15:b2:ee,MF002C
RX_CCS_E2_20260121,4907,ADV,-32,e0:5a:1b:15:b2:ee,MF002D
RX_CCS_E2_20260121,5000,ADV,-38,e0:5a:1b:15:b2:ee,MF002E
RX_CCS_E2_20260121,5102,ADV,-36,e0:5a:1b:15:b2:ee,MF002F
RX_CCS_E2_20260121,5190,ADV,-33,e0:5a:1b:15:b2:ee,MF0030
RX_CCS_E2_20260121,5298,ADV,-38,e0:5a:1b:15:b2:ee,MF0031
RX_CCS_E2_20260121,5403,ADV,-35,e0:5a:1b:15:b2:ee,MF0032
RX_CCS_E2_20260121,5636,ADV,-35,e0:5a:1b:15:b2:ee,MF0034
RX_CCS_E2_20260121,5722,ADV,-32,e0:5a:1b:15:b2:ee,MF0036
RX_CCS_E2_20260121,5835,ADV,-35,e0:5a:1b:15:b2:ee,MF0037
RX_CCS_E2_20260121,5935,ADV,-35,e0:5a:1b:15:b2:ee,MF0038
RX_CCS_E2_20260121,6042,ADV,-32,e0:5a:1b:15:b2:ee,MF0039
RX_CCS_E2_20260121,6252,ADV,-35,e0:5a:1b:15:b2:ee,MF003B
RX_CCS_E2_20260121,6357,ADV,-32,e0:5a:1b:15:b2:ee,MF003C
RX_CCS_E2_20260121,6456,ADV,-35,e0:5a:1b:15:b2:ee,MF003D
RX_CCS_E2_20260121,6573,ADV,-35,e0:5a:1b:15:b2:ee,MF003E
RX_CCS_E2_20260121,6687,ADV,-32,e0:5a:1b:15:b2:ee,MF003F
RX_CCS_E2_20260121,6777,ADV,-35,e0:5a:1b:15:b2:ee,MF0040
RX_CCS_E2_20260121,6880,ADV,-35,e0:5a:1b:15:b2:ee,MF0041
RX_CCS_E2_20260121,7006,ADV,-32,e0:5a:1b:15:b2:ee,MF0042
RX_CCS_E2_20260121,7107,ADV,-35,e0:5a:1b:15:b2:ee,MF0043
RX_CCS_E2_20260121,7623,ADV,-36,e0:5a:1b:15:b2:ee,MF0048
RX_CCS_E2_20260121,7736,ADV,-35,e0:5a:1b:15:b2:ee,MF004A
RX_CCS_E2_20260121,7834,ADV,-32,e0:5a:1b:15:b2:ee,MF004B
RX_CCS_E2_20260121,7964,ADV,-38,e0:5a:1b:15:b2:ee,MF004C
RX_CCS_E2_20260121,8035,ADV,-35,e0:5a:1b:15:b2:ee,MF004D
RX_CCS_E2_20260121,8161,ADV,-32,e0:5a:1b:15:b2:ee,MF004E
RX_CCS_E2_20260121,8241,ADV,-38,e0:5a:1b:15:b2:ee,MF004F
RX_CCS_E2_20260121,8346,ADV,-35,e0:5a:1b:15:b2:ee,MF0050
RX_CCS_E2_20260121,8460,ADV,-32,e0:5a:1b:15:b2:ee,MF0051
RX_CCS_E2_20260121,8559,ADV,-81,e0:5a:1b:15:b2:ee,MF0052
RX_CCS_E2_20260121,8665,ADV,-35,e0:5a:1b:15:b2:ee,MF0053
