prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=6, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 21 2026 06:00:00
RX_CCS_E2_20260121,65,ADV,-32,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,177,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,282,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,388,ADV,-32,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,499,ADV,-35,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,609,ADV,-35,e0:5a:1b:15:b2:ee,MF0002
RX_CCS_E2_20260121,710,ADV,-32,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,818,ADV,-38,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,923,ADV,-36,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,1031,ADV,-32,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,1131,ADV,-35,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,1444,ADV,-36,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,1545,ADV,-32,e0:5a:1b:15:b2:ee,MF000C
RX_CCS_E2_20260121,1652,ADV,-35,e0:5a:1b:15:b2:ee,MF000D
RX_CCS_E2_20260121,1759,ADV,-35,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,1856,ADV,-32,e0:5a:1b:15:b2:ee,MF000F
RX_CCS_E2_20260121,2071,ADV,-35,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,2173,ADV,-33,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,2279,ADV,-35,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,2391,ADV,-35,e0:5a:1b:15:b2:ee,MF0014
RX_CCS_E2_20260121,2499,ADV,-32,e0:5a:1b:15:b2:ee,MF0015
RX_CCS_E2_20260121,2609,ADV,-35,e0:5a:1b:15:b2:ee,MF0016
RX_CCS_E2_20260121,2713,ADV,-35,e0:5a:1b:15:b2:ee,MF0017
RX_CCS_E2_20260121,2814,ADV,-32,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,2923,ADV,-38,e0:5a:1b:15:b2:ee,MF0019
RX_CCS_E2_20260121,3030,ADV,-35,e0:5a:1b:15:b2:ee,MF001A
RX_CCS_E2_20260121,3350,ADV,-32,e0:5a:1b:15:b2:ee,MF001E
