prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=7, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 21 2026 06:00:00
RX_CCS_E2_20260121,75,ADV,-32,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,184,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,290,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,394,ADV,-32,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,501,ADV,-35,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,613,ADV,-35,e0:5a:1b:15:b2:ee,MF0002
RX_CCS_E2_20260121,829,ADV,-35,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,924,ADV,-35,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,1028,ADV,-32,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,1129,ADV,-35,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,1230,ADV,-35,e0:5a:1b:15:b2:ee,MF0008
RX_CCS_E2_20260121,1331,ADV,-32,e0:5a:1b:15:b2:ee,MF0009
RX_CCS_E2_20260121,1434,ADV,-35,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,1759,ADV,-35,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,1853,ADV,-32,e0:5a:1b:15:b2:ee,MF000F
RX_CCS_E2_20260121,1969,ADV,-38,e0:5a:1b:15:b2:ee,MF0010
RX_CCS_E2_20260121,2074,ADV,-35,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,2175,ADV,-32,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,2286,ADV,-35,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,2490,ADV,-32,e0:5a:1b:15:b2:ee,MF0015
RX_CCS_E2_20260121,2622,ADV,-38,e0:5a:1b:15:b2:ee,MF0016
RX_CCS_E2_20260121,2707,ADV,-35,e0:5a:1b:15:b2:ee,MF0017
RX_CCS_E2_20260121,2805,ADV,-32,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,2908,ADV,-35,e0:5a:1b:15:b2:ee,MF0019
RX_CCS_E2_20260121,3030,ADV,-35,e0:5a:1b:15:b2:ee,MF001A
RX_CCS_E2_20260121,3134,ADV,-32,e0:5a:1b:15:b2:ee,MF001B
RX_CCS_E2_20260121,3231,ADV,-38,e0:5a:1b:15:b2:ee,MF001C
RX_CCS_E2_20260121,3553,ADV,-35,e0:5a:1b:15:b2:ee,MF0020
RX_CCS_E2_20260121,3759,ADV,-35,e0:5a:1b:15:b2:ee,MF0022
RX_CCS_E2_20260121,3875,ADV,-35,e0:5a:1b:15:b2:ee,MF0023
RX_CCS_E2_20260121,3973,ADV,-32,e0:5a:1b:15:b2:ee,MF0024
RX_CCS_E2_20260121,4073,ADV,-35,e0:5a:1b:15:b2:ee,MF0025
RX_CCS_E2_20260121,4184,ADV,-35,e0:5a:1b:15:b2:ee,MF0026
RX_CCS_E2_20260121,4282,ADV,-32,e0:5a:1b:15:b2:ee,MF0027
RX_CCS_E2_20260121,4401,ADV,-35,e0:5a:1b:15:b2:ee,MF0028
RX_CCS_E2_20260121,4497,ADV,-35,e0:5a:1b:15:b2:ee,MF0029
RX_CCS_E2_20260121,4606,ADV,-32,e0:5a:1b:15:b2:ee,MF002A
RX_CCS_E2_20260121,4703,ADV,-35,e0:5a:1b:15:b2:ee,MF002B
RX_CCS_E2_20260121,4804,ADV,-35,e0:5a:1b:15:b2:ee,MF002C
RX_CCS_E2_20260121,4915,ADV,-32,e0:5a:1b:15:b2:ee,MF002D
RX_CCS_E2_20260121,5014,ADV,-35,e0:5a:1b:15:b2:ee,MF002E
RX_CCS_E2_20260121,5122,ADV,-35,e0:5a:1b:15:b2:ee,MF002F
RX_CCS_E2_20260121,5216,ADV,-32,e0:5a:1b:15:b2:ee,MF0030
RX_CCS_E2_20260121,5327,ADV,-35,e0:5a:1b:15:b2:ee,MF0031
RX_CCS_E2_20260121,5434,ADV,-35,e0:5a:1b:15:b2:ee,MF0032
RX_CCS_E2_20260121,5860,ADV,-35,e0:5a:1b:15:b2:ee,MF0037
RX_CCS_E2_20260121,5964,ADV,-35,e0:5a:1b:15:b2:ee,MF0038
RX_CCS_E2_20260121,6071,ADV,-32,e0:5a:1b:15:b2:ee,MF0039
RX_CCS_E2_20260121,6179,ADV,-35,e0:5a:1b:15:b2:ee,MF003A
RX_CCS_E2_20260121,6295,ADV,-36,e0:5a:1b:15:b2:ee,MF003B
RX_CCS_E2_20260121,6397,ADV,-32,e0:5a:1b:15:b2:ee,MF003C
RX_CCS_E2_20260121,6506,ADV,-35,e0:5a:1b:15:b2:ee,MF003D
RX_CCS_E2_20260121,6627,ADV,-35,e0:5a:1b:15:b2:ee,MF003E
RX_CCS_E2_20260121,6708,ADV,-32,e0:5a:1b:15:b2:ee,MF003F
RX_CCS_E2_20260121,6814,ADV,-38,e0:5a:1b:15:b2:ee,MF0040
RX_CCS_E2_20260121,6937,ADV,-35,e0:5a:1b:15:b2:ee,MF0041
RX_CCS_E2_20260121,7020,ADV,-32,e0:5a:1b:15:b2:ee,MF0042
RX_CCS_E2_20260121,7129,ADV,-38,e0:5a:1b:15:b2:ee,MF0043
RX_CCS_E2_20260121,7237,ADV,-35,e0:5a:1b:15:b2:ee,MF0044
RX_CCS_E2_20260121,7753,ADV,-35,e0:5a:1b:15:b2:ee,MF004A
RX_CCS_E2_20260121,7860,ADV,-32,e0:5a:1b:15:b2:ee,MF004B
RX_CCS_E2_20260121,7973,ADV,-35,e0:5a:1b:15:b2:ee,MF004C
RX_CCS_E2_20260121,8079,ADV,-35,e0:5a:1b:15:b2:ee,MF004D
RX_CCS_E2_20260121,8184,ADV,-32,e0:5a:1b:15:b2:ee,MF004E
RX_CCS_E2_20260121,8288,ADV,-35,e0:5a:1b:15:b2:ee,MF004F
RX_CCS_E2_20260121,8397,ADV,-35,e0:5a:1b:15:b2:ee,MF0050
RX_CCS_E2_20260121,8497,ADV,-32,e0:5a:1b:15:b2:ee,MF0051
RX_CCS_E2_20260121,8603,ADV,-35,e0:5a:1b:15:b2:ee,MF0052
RX_CCS_E2_20260121,8709,ADV,-35,e0:5a:1b:15:b2:ee,MF0053
RX_CCS_E2_20260121,8808,ADV,-32,e0:5a:1b:15:b2:ee,MF0054
RX_CCS_E2_20260121,8912,ADV,-35,e0:5a:1b:15:b2:ee,MF0055
RX_CCS_E2_20260121,9013,ADV,-35,e0:5a:1b:15:b2:ee,MF0056
RX_CCS_E2_20260121,9118,ADV,-32,e0:5a:1b:15:b2:ee,MF0057
RX_CCS_E2_20260121,9227,ADV,-35,e0:5a:1b:15:b2:ee,MF0058
RX_CCS_E2_20260121,9337,ADV,-35,e0:5a:1b:15:b2:ee,MF0059
RX_CCS_E2_20260121,9656,ADV,-32,e0:5a:1b:15:b2:ee,MF005D
RX_CCS_E2_20260121,9762,ADV,-35,e0:5a:1b:15:b2:ee,MF005E
RX_CCS_E2_20260121,9969,ADV,-32,e0:5a:1b:15:b2:ee,MF0060
RX_CCS_E2_20260121,10074,ADV,-35,e0:5a:1b:15:b2:ee,MF0061
RX_CCS_E2_20260121,10182,ADV,-36,e0:5a:1b:15:b2:ee,MF0062
RX_CCS_E2_20260121,10281,ADV,-32,e0:5a:1b:15:b2:ee,MF0063
RX_CCS_E2_20260121,10386,ADV,-35,e0:5a:1b:15:b2:ee,MF0064
RX_CCS_E2_20260121,10511,ADV,-35,e0:5a:1b:15:b2:ee,MF0065
RX_CCS_E2_20260121,10598,ADV,-32,e0:5a:1b:15:b2:ee,MF0066
RX_CCS_E2_20260121,10710,ADV,-35,e0:5a:1b:15:b2:ee,MF0067
