prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=9, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 21 2026 06:00:00
RX_CCS_E2_20260121,92,ADV,-32,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,215,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,297,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,388,ADV,-32,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,498,ADV,-35,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,643,ADV,-35,e0:5a:1b:15:b2:ee,MF0002
RX_CCS_E2_20260121,697,ADV,-32,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,803,ADV,-38,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,918,ADV,-35,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,1016,ADV,-32,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,1129,ADV,-35,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,1222,ADV,-35,e0:5a:1b:15:b2:ee,MF0008
RX_CCS_E2_20260121,1322,ADV,-32,e0:5a:1b:15:b2:ee,MF0009
RX_CCS_E2_20260121,1434,ADV,-35,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,1543,ADV,-35,e0:5a:1b:15:b2:ee,MF000C
RX_CCS_E2_20260121,1648,ADV,-32,e0:5a:1b:15:b2:ee,MF000D
RX_CCS_E2_20260121,1960,ADV,-38,e0:5a:1b:15:b2:ee,MF0010
RX_CCS_E2_20260121,2092,ADV,-35,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,2176,ADV,-32,e0:5a:1b:15:b2:ee,MF0012
