prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 21 2026 05:58:13
TXSD_CCS_E2_20260121,12,4928,56000,276.0,7
TXSD_CCS_E2_20260121,21,4928,57700,284.3,7
TXSD_CCS_E2_20260121,31,4928,56000,276.0,8
TXSD_CCS_E2_20260121,41,4928,57700,284.3,8
TXSD_CCS_E2_20260121,51,4928,56000,276.0,8
TXSD_CCS_E2_20260121,61,4928,57600,283.9,8
TXSD_CCS_E2_20260121,71,4928,56100,276.5,8
TXSD_CCS_E2_20260121,81,4928,57700,284.3,8
TXSD_CCS_E2_20260121,91,4924,56000,275.7,8
TXSD_CCS_E2_20260121,101,4928,57700,284.3,8
TXSD_CCS_E2_20260121,111,4928,56700,279.4,8
TXSD_CCS_E2_20260121,121,4928,56900,280.4,8
TXSD_CCS_E2_20260121,131,4928,56600,278.9,9
TXSD_CCS_E2_20260121,141,4928,57000,280.9,9
TXSD_CCS_E2_20260121,151,4928,56600,278.9,9
TXSD_CCS_E2_20260121,161,4928,56900,280.4,9
TXSD_CCS_E2_20260121,171,4928,56800,279.9,9
TXSD_CCS_E2_20260121,181,4828,148900,718.9,9
TXSD_CCS_E2_20260121,191,4928,57600,283.9,9
TXSD_CCS_E2_20260121,201,4928,56000,276.0,9
TXSD_CCS_E2_20260121,211,4928,57600,283.9,9
TXSD_CCS_E2_20260121,221,4928,56100,276.5,9
TXSD_CCS_E2_20260121,231,4928,57600,283.9,10
TXSD_CCS_E2_20260121,241,4924,56000,275.7,10
TXSD_CCS_E2_20260121,251,4928,57600,283.9,10
TXSD_CCS_E2_20260121,261,4928,56000,276.0,10
TXSD_CCS_E2_20260121,271,4928,57600,283.9,10
TXSD_CCS_E2_20260121,281,4916,153900,756.6,10
TXSD_CCS_E2_20260121,291,4928,57000,280.9,10
TXSD_CCS_E2_20260121,301,4928,56600,278.9,10
TXSD_CCS_E2_20260121,311,4928,57000,280.9,10
TXSD_CCS_E2_20260121,321,4928,56600,278.9,10
TXSD_CCS_E2_20260121,331,4928,57000,280.9,11
TXSD_CCS_E2_20260121,341,4928,56700,279.4,11
TXSD_CCS_E2_20260121,351,4928,56000,276.0,11
TXSD_CCS_E2_20260121,361,4928,57700,284.3,11
TXSD_CCS_E2_20260121,371,4928,56000,276.0,11
TXSD_CCS_E2_20260121,381,4928,57600,283.9,11
TXSD_CCS_E2_20260121,391,4816,142000,683.9,11
TXSD_CCS_E2_20260121,401,4928,57600,283.9,11
TXSD_CCS_E2_20260121,411,4924,56100,276.2,11
TXSD_CCS_E2_20260121,421,4928,57600,283.9,11
TXSD_CCS_E2_20260121,431,4928,56100,276.5,12
TXSD_CCS_E2_20260121,441,4928,57600,283.9,12
TXSD_CCS_E2_20260121,451,4924,56800,279.7,12
TXSD_CCS_E2_20260121,461,4928,57000,280.9,12
TXSD_CCS_E2_20260121,471,4928,56700,279.4,12
TXSD_CCS_E2_20260121,481,4928,57000,280.9,12
TXSD_CCS_E2_20260121,491,4820,153400,739.4,12
TXSD_CCS_E2_20260121,501,4928,57000,280.9,12
TXSD_CCS_E2_20260121,511,4928,56700,279.4,12
TXSD_CCS_E2_20260121,521,4924,56000,275.7,12
TXSD_CCS_E2_20260121,531,4928,57700,284.3,13
TXSD_CCS_E2_20260121,541,4924,56000,275.7,13
TXSD_CCS_E2_20260121,551,4928,57600,283.9,13
TXSD_CCS_E2_20260121,561,4924,56000,275.7,13
TXSD_CCS_E2_20260121,571,4928,57600,283.9,13
TXSD_CCS_E2_20260121,581,4928,56000,276.0,13
TXSD_CCS_E2_20260121,591,4928,57600,283.9,13
TXSD_CCS_E2_20260121,601,4816,199700,961.8,13
TXSD_CCS_E2_20260121,611,4928,57700,284.3,13
TXSD_CCS_E2_20260121,621,4924,56700,279.2,13
TXSD_CCS_E2_20260121,631,4928,57100,281.4,14
TXSD_CCS_E2_20260121,641,4928,56600,278.9,14
TXSD_CCS_E2_20260121,651,4928,57000,280.9,14
TXSD_CCS_E2_20260121,661,4928,56700,279.4,14
TXSD_CCS_E2_20260121,671,4928,57000,280.9,14
TXSD_CCS_E2_20260121,681,4928,56800,279.9,14
TXSD_CCS_E2_20260121,691,4928,56000,276.0,14
TXSD_CCS_E2_20260121,701,4820,147300,710.0,14
TXSD_CCS_E2_20260121,711,4928,56000,276.0,14
TXSD_CCS_E2_20260121,721,4928,57600,283.9,14
TXSD_CCS_E2_20260121,731,4928,56000,276.0,15
TXSD_CCS_E2_20260121,741,4928,57600,283.9,15
TXSD_CCS_E2_20260121,751,4924,56000,275.7,15
TXSD_CCS_E2_20260121,761,4928,57600,283.9,15
TXSD_CCS_E2_20260121,771,4928,56000,276.0,15
TXSD_CCS_E2_20260121,781,4928,57600,283.9,15
TXSD_CCS_E2_20260121,791,4924,56700,279.2,15
TXSD_CCS_E2_20260121,801,4928,57200,281.9,15
TXSD_CCS_E2_20260121,811,4816,141800,682.9,15
TXSD_CCS_E2_20260121,821,4928,57000,280.9,15
TXSD_CCS_E2_20260121,831,4928,56700,279.4,16
TXSD_CCS_E2_20260121,841,4928,57000,280.9,16
TXSD_CCS_E2_20260121,851,4928,56700,279.4,16
TXSD_CCS_E2_20260121,861,4924,56100,276.2,16
TXSD_CCS_E2_20260121,871,4928,57600,283.9,16
TXSD_CCS_E2_20260121,883,4924,56000,275.7,16
TXSD_CCS_E2_20260121,891,4928,57600,283.9,16
TXSD_CCS_E2_20260121,901,4928,56000,276.0,16
TXSD_CCS_E2_20260121,911,4928,57600,283.9,16
TXSD_CCS_E2_20260121,921,4824,212500,1025.1,16
TXSD_CCS_E2_20260121,931,4928,57700,284.3,17
TXSD_CCS_E2_20260121,941,4928,56100,276.5,17
TXSD_CCS_E2_20260121,951,4928,57600,283.9,17
TXSD_CCS_E2_20260121,961,4924,56700,279.2,17
TXSD_CCS_E2_20260121,971,4928,57300,282.4,17
TXSD_CCS_E2_20260121,981,4928,56700,279.4,17
TXSD_CCS_E2_20260121,991,4928,57000,280.9,17
TXSD_CCS_E2_20260121,1001,4924,56700,279.2,17
TXSD_CCS_E2_20260121,1011,4928,57000,280.9,17
TXSD_CCS_E2_20260121,1021,4928,56700,279.4,17
TXSD_CCS_E2_20260121,1031,4828,141700,684.1,18
TXSD_CCS_E2_20260121,1041,4928,57700,284.3,18
TXSD_CCS_E2_20260121,1051,4924,56100,276.2,18
TXSD_CCS_E2_20260121,1061,4928,57700,284.3,18
TXSD_CCS_E2_20260121,1071,4924,56100,276.2,18
TXSD_CCS_E2_20260121,1081,4928,57700,284.3,18
TXSD_CCS_E2_20260121,1091,4924,56000,275.7,18
TXSD_CCS_E2_20260121,1101,4928,57600,283.9,18
TXSD_CCS_E2_20260121,1111,4928,56000,276.0,18
TXSD_CCS_E2_20260121,1121,4928,57600,283.9,18
TXSD_CCS_E2_20260121,1131,4804,186200,894.5,19
TXSD_CCS_E2_20260121,1141,4928,57500,283.4,19
TXSD_CCS_E2_20260121,1151,4928,56700,279.4,19
TXSD_CCS_E2_20260121,1161,4928,57100,281.4,19
TXSD_CCS_E2_20260121,1171,4928,56700,279.4,19
TXSD_CCS_E2_20260121,1181,4928,57000,280.9,19
TXSD_CCS_E2_20260121,1191,4928,56600,278.9,19
TXSD_CCS_E2_20260121,1201,4928,56100,276.5,19
TXSD_CCS_E2_20260121,1211,4928,57600,283.9,19
TXSD_CCS_E2_20260121,1221,4928,56000,276.0,19
TXSD_CCS_E2_20260121,1231,4928,57600,283.9,20
TXSD_CCS_E2_20260121,1241,4756,87200,414.7,20
TXSD_CCS_E2_20260121,1251,4928,57700,284.3,20
TXSD_CCS_E2_20260121,1261,4928,56000,276.0,20
TXSD_CCS_E2_20260121,1271,4928,57600,283.9,20
TXSD_CCS_E2_20260121,1281,4924,56000,275.7,20
TXSD_CCS_E2_20260121,1291,4928,57600,283.9,20
TXSD_CCS_E2_20260121,1301,4928,56400,277.9,20
TXSD_CCS_E2_20260121,1311,4928,57500,283.4,20
TXSD_CCS_E2_20260121,1321,4928,56600,278.9,20
TXSD_CCS_E2_20260121,1331,4924,57100,281.2,21
TXSD_CCS_E2_20260121,1341,4764,138600,660.3,21
TXSD_CCS_E2_20260121,1351,4928,57000,280.9,21
TXSD_CCS_E2_20260121,1361,4924,56700,279.2,21
TXSD_CCS_E2_20260121,1371,4924,56000,275.7,21
TXSD_CCS_E2_20260121,1381,4928,57700,284.3,21
TXSD_CCS_E2_20260121,1391,4928,56000,276.0,21
TXSD_CCS_E2_20260121,1401,4928,57600,283.9,21
TXSD_CCS_E2_20260121,1411,4928,56000,276.0,21
TXSD_CCS_E2_20260121,1421,4928,57600,283.9,21
TXSD_CCS_E2_20260121,1431,4928,56100,276.5,22
TXSD_CCS_E2_20260121,1441,4928,57600,283.9,22
