prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 21 2026 05:58:13
TXSD_CCS_E2_20260121,10,4928,57900,285.3,6006
TXSD_CCS_E2_20260121,20,4924,56400,277.7,6006
TXSD_CCS_E2_20260121,30,4928,57900,285.3,6007
TXSD_CCS_E2_20260121,40,4928,56400,277.9,6007
TXSD_CCS_E2_20260121,50,4928,57900,285.3,6007
TXSD_CCS_E2_20260121,60,4928,56300,277.4,6007
TXSD_CCS_E2_20260121,70,4928,57900,285.3,6007
TXSD_CCS_E2_20260121,80,4748,142900,678.5,6007
TXSD_CCS_E2_20260121,90,4928,57900,285.3,6007
TXSD_CCS_E2_20260121,100,4924,56300,277.2,6007
TXSD_CCS_E2_20260121,110,4928,57900,285.3,6007
TXSD_CCS_E2_20260121,120,4924,56900,280.2,6007
TXSD_CCS_E2_20260121,130,4928,57700,284.3,6008
TXSD_CCS_E2_20260121,140,4928,56900,280.4,6008
TXSD_CCS_E2_20260121,150,4928,57300,282.4,6008
TXSD_CCS_E2_20260121,160,4928,56900,280.4,6008
TXSD_CCS_E2_20260121,170,4928,57300,282.4,6008
TXSD_CCS_E2_20260121,180,4928,57900,285.3,6008
TXSD_CCS_E2_20260121,190,4828,200900,969.9,6008
TXSD_CCS_E2_20260121,200,4928,57900,285.3,6008
TXSD_CCS_E2_20260121,210,4928,56300,277.4,6008
TXSD_CCS_E2_20260121,220,4928,57900,285.3,6008
TXSD_CCS_E2_20260121,230,4928,56300,277.4,6009
TXSD_CCS_E2_20260121,240,4928,57900,285.3,6009
TXSD_CCS_E2_20260121,250,4928,56300,277.4,6009
TXSD_CCS_E2_20260121,260,4928,57900,285.3,6009
TXSD_CCS_E2_20260121,270,4928,56400,277.9,6009
TXSD_CCS_E2_20260121,280,4928,57900,285.3,6009
TXSD_CCS_E2_20260121,290,4924,56300,277.2,6009
TXSD_CCS_E2_20260121,300,4928,104600,515.5,6009
TXSD_CCS_E2_20260121,310,4924,56900,280.2,6009
TXSD_CCS_E2_20260121,320,4928,57300,282.4,6009
TXSD_CCS_E2_20260121,330,4928,56900,280.4,6010
TXSD_CCS_E2_20260121,340,4928,57300,282.4,6010
TXSD_CCS_E2_20260121,350,4928,57000,280.9,6010
TXSD_CCS_E2_20260121,360,4928,57200,281.9,6010
TXSD_CCS_E2_20260121,370,4928,57900,285.3,6010
TXSD_CCS_E2_20260121,380,4928,56300,277.4,6010
TXSD_CCS_E2_20260121,390,4928,58000,285.8,6010
TXSD_CCS_E2_20260121,400,4828,167900,810.6,6010
TXSD_CCS_E2_20260121,410,4928,57900,285.3,6010
TXSD_CCS_E2_20260121,420,4924,56300,277.2,6010
TXSD_CCS_E2_20260121,430,4928,57900,285.3,6011
TXSD_CCS_E2_20260121,440,4928,56300,277.4,6011
TXSD_CCS_E2_20260121,450,4928,57900,285.3,6011
TXSD_CCS_E2_20260121,460,4928,56300,277.4,6011
TXSD_CCS_E2_20260121,470,4928,57900,285.3,6011
TXSD_CCS_E2_20260121,480,4928,56300,277.4,6011
TXSD_CCS_E2_20260121,490,4924,58000,285.6,6011
TXSD_CCS_E2_20260121,500,4860,155000,753.3,6011
TXSD_CCS_E2_20260121,510,4928,57300,282.4,6011
TXSD_CCS_E2_20260121,520,4928,57000,280.9,6011
TXSD_CCS_E2_20260121,530,4928,57300,282.4,6012
TXSD_CCS_E2_20260121,540,4928,57900,285.3,6012
TXSD_CCS_E2_20260121,550,4928,56400,277.9,6012
TXSD_CCS_E2_20260121,560,4928,57900,285.3,6012
TXSD_CCS_E2_20260121,570,4924,56300,277.2,6012
TXSD_CCS_E2_20260121,580,4928,58000,285.8,6012
TXSD_CCS_E2_20260121,590,4928,56300,277.4,6012
TXSD_CCS_E2_20260121,600,4928,57900,285.3,6012
TXSD_CCS_E2_20260121,610,4832,56300,272.0,6012
TXSD_CCS_E2_20260121,620,4928,57900,285.3,6012
TXSD_CCS_E2_20260121,630,4928,56300,277.4,6013
TXSD_CCS_E2_20260121,640,4928,57900,285.3,6013
TXSD_CCS_E2_20260121,650,4928,56300,277.4,6013
TXSD_CCS_E2_20260121,660,4928,57900,285.3,6013
TXSD_CCS_E2_20260121,670,4924,57000,280.7,6013
TXSD_CCS_E2_20260121,680,4928,57100,281.4,6013
TXSD_CCS_E2_20260121,690,4928,56900,280.4,6013
TXSD_CCS_E2_20260121,700,4928,57200,281.9,6013
TXSD_CCS_E2_20260121,710,4928,56900,280.4,6013
TXSD_CCS_E2_20260121,720,4784,72100,344.9,6013
TXSD_CCS_E2_20260121,730,4928,57900,285.3,6014
TXSD_CCS_E2_20260121,740,4924,56400,277.7,6014
TXSD_CCS_E2_20260121,750,4928,57900,285.3,6014
TXSD_CCS_E2_20260121,760,4924,56300,277.2,6014
TXSD_CCS_E2_20260121,770,4928,57900,285.3,6014
TXSD_CCS_E2_20260121,780,4928,56300,277.4,6014
TXSD_CCS_E2_20260121,790,4928,57900,285.3,6014
TXSD_CCS_E2_20260121,800,4928,56300,277.4,6014
TXSD_CCS_E2_20260121,810,4928,57900,285.3,6014
TXSD_CCS_E2_20260121,820,4892,161600,790.5,6014
TXSD_CCS_E2_20260121,830,4928,58000,285.8,6015
TXSD_CCS_E2_20260121,842,4928,56900,280.4,6015
TXSD_CCS_E2_20260121,850,4928,57900,285.3,6015
TXSD_CCS_E2_20260121,860,4928,57000,280.9,6015
TXSD_CCS_E2_20260121,870,4928,57300,282.4,6015
TXSD_CCS_E2_20260121,880,4928,56900,280.4,6015
TXSD_CCS_E2_20260121,890,4928,57200,281.9,6015
TXSD_CCS_E2_20260121,900,4928,57600,283.9,6015
TXSD_CCS_E2_20260121,910,4928,56900,280.4,6015
TXSD_CCS_E2_20260121,920,4928,57900,285.3,6015
TXSD_CCS_E2_20260121,930,4816,195200,940.1,6016
TXSD_CCS_E2_20260121,940,4928,57900,285.3,6016
TXSD_CCS_E2_20260121,950,4928,56400,277.9,6016
TXSD_CCS_E2_20260121,960,4928,57900,285.3,6016
TXSD_CCS_E2_20260121,970,4928,56300,277.4,6016
TXSD_CCS_E2_20260121,980,4928,57900,285.3,6016
TXSD_CCS_E2_20260121,990,4928,56300,277.4,6016
TXSD_CCS_E2_20260121,1000,4928,57900,285.3,6016
TXSD_CCS_E2_20260121,1010,4924,56300,277.2,6016
TXSD_CCS_E2_20260121,1020,4928,57900,285.3,6016
TXSD_CCS_E2_20260121,1030,4928,56900,280.4,6017
TXSD_CCS_E2_20260121,1040,4720,137200,647.6,6017
TXSD_CCS_E2_20260121,1050,4928,56900,280.4,6017
TXSD_CCS_E2_20260121,1060,4928,57300,282.4,6017
TXSD_CCS_E2_20260121,1070,4928,57000,280.9,6017
TXSD_CCS_E2_20260121,1080,4928,57200,281.9,6017
TXSD_CCS_E2_20260121,1090,4928,57900,285.3,6017
TXSD_CCS_E2_20260121,1100,4928,56300,277.4,6017
TXSD_CCS_E2_20260121,1110,4928,57900,285.3,6017
TXSD_CCS_E2_20260121,1120,4928,56300,277.4,6017
TXSD_CCS_E2_20260121,1130,4928,57900,285.3,6018
TXSD_CCS_E2_20260121,1140,4924,56300,277.2,6018
TXSD_CCS_E2_20260121,1150,4928,57900,285.3,6018
