prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 21 2026 05:58:13
TXSD_CCS_E2_20260121,11,4928,57900,285.3,18005
TXSD_CCS_E2_20260121,20,4928,56300,277.4,18005
TXSD_CCS_E2_20260121,30,4928,57900,285.3,18005
TXSD_CCS_E2_20260121,40,4824,203700,982.6,18005
TXSD_CCS_E2_20260121,50,4928,57900,285.3,18005
TXSD_CCS_E2_20260121,60,4924,56400,277.7,18005
TXSD_CCS_E2_20260121,70,4928,58000,285.8,18005
TXSD_CCS_E2_20260121,80,4924,56400,277.7,18005
TXSD_CCS_E2_20260121,90,4924,57900,285.1,18006
TXSD_CCS_E2_20260121,100,4928,56400,277.9,18006
TXSD_CCS_E2_20260121,110,4928,58000,285.8,18006
TXSD_CCS_E2_20260121,120,4928,56500,278.4,18006
TXSD_CCS_E2_20260121,130,4928,57300,282.4,18006
TXSD_CCS_E2_20260121,140,4928,57000,280.9,18006
TXSD_CCS_E2_20260121,150,4824,135900,655.6,18006
TXSD_CCS_E2_20260121,160,4928,57000,280.9,18006
TXSD_CCS_E2_20260121,170,4928,56400,277.9,18006
TXSD_CCS_E2_20260121,180,4928,58000,285.8,18006
TXSD_CCS_E2_20260121,190,4928,56400,277.9,18007
TXSD_CCS_E2_20260121,200,4928,57900,285.3,18007
TXSD_CCS_E2_20260121,210,4928,56300,277.4,18007
TXSD_CCS_E2_20260121,220,4928,57900,285.3,18007
TXSD_CCS_E2_20260121,230,4928,56400,277.9,18007
TXSD_CCS_E2_20260121,240,4928,57900,285.3,18007
TXSD_CCS_E2_20260121,250,4820,139600,672.9,18007
TXSD_CCS_E2_20260121,260,4928,58000,285.8,18007
TXSD_CCS_E2_20260121,270,4928,56400,277.9,18007
TXSD_CCS_E2_20260121,280,4928,58000,285.8,18007
TXSD_CCS_E2_20260121,290,4928,58400,287.8,18008
TXSD_CCS_E2_20260121,300,4928,57200,281.9,18008
TXSD_CCS_E2_20260121,310,4928,57000,280.9,18008
TXSD_CCS_E2_20260121,320,4928,57300,282.4,18008
TXSD_CCS_E2_20260121,330,4928,57000,280.9,18008
TXSD_CCS_E2_20260121,340,4928,57300,282.4,18008
TXSD_CCS_E2_20260121,350,4928,57000,280.9,18008
TXSD_CCS_E2_20260121,360,4828,136700,660.0,18008
TXSD_CCS_E2_20260121,370,4928,58100,286.3,18008
TXSD_CCS_E2_20260121,380,4928,56300,277.4,18008
TXSD_CCS_E2_20260121,390,4912,58100,285.4,18009
TXSD_CCS_E2_20260121,400,4928,56300,277.4,18009
TXSD_CCS_E2_20260121,410,4928,58000,285.8,18009
TXSD_CCS_E2_20260121,420,4928,56300,277.4,18009
TXSD_CCS_E2_20260121,430,4928,58000,285.8,18009
TXSD_CCS_E2_20260121,440,4928,56300,277.4,18009
TXSD_CCS_E2_20260121,450,4928,58000,285.8,18009
TXSD_CCS_E2_20260121,460,4820,155800,751.0,18009
TXSD_CCS_E2_20260121,470,4928,58000,285.8,18009
TXSD_CCS_E2_20260121,480,4928,56500,278.4,18009
TXSD_CCS_E2_20260121,490,4928,57300,282.4,18010
TXSD_CCS_E2_20260121,500,4928,57000,280.9,18010
TXSD_CCS_E2_20260121,510,4928,57300,282.4,18010
TXSD_CCS_E2_20260121,520,4928,57000,280.9,18010
TXSD_CCS_E2_20260121,530,4928,56500,278.4,18010
TXSD_CCS_E2_20260121,540,4928,58000,285.8,18010
TXSD_CCS_E2_20260121,550,4928,56400,277.9,18010
TXSD_CCS_E2_20260121,560,4932,58000,286.1,18010
TXSD_CCS_E2_20260121,570,4772,74800,356.9,18010
TXSD_CCS_E2_20260121,580,4928,58000,285.8,18010
TXSD_CCS_E2_20260121,590,4928,56400,277.9,18011
TXSD_CCS_E2_20260121,600,4928,57900,285.3,18011
TXSD_CCS_E2_20260121,610,4928,56400,277.9,18011
TXSD_CCS_E2_20260121,620,4928,58000,285.8,18011
TXSD_CCS_E2_20260121,630,4928,56400,277.9,18011
TXSD_CCS_E2_20260121,640,4928,58000,285.8,18011
TXSD_CCS_E2_20260121,650,4928,56400,277.9,18011
TXSD_CCS_E2_20260121,660,4928,57200,281.9,18011
TXSD_CCS_E2_20260121,670,4928,57000,280.9,18011
TXSD_CCS_E2_20260121,680,4928,57300,282.4,18011
TXSD_CCS_E2_20260121,690,4884,57100,278.9,18012
TXSD_CCS_E2_20260121,700,4928,57300,282.4,18012
TXSD_CCS_E2_20260121,710,4928,57100,281.4,18012
TXSD_CCS_E2_20260121,720,4928,56300,277.4,18012
TXSD_CCS_E2_20260121,730,4928,58000,285.8,18012
TXSD_CCS_E2_20260121,740,4924,56400,277.7,18012
TXSD_CCS_E2_20260121,750,4928,58000,285.8,18012
TXSD_CCS_E2_20260121,760,4928,56400,277.9,18012
TXSD_CCS_E2_20260121,770,4928,57900,285.3,18012
TXSD_CCS_E2_20260121,780,4928,56400,277.9,18012
TXSD_CCS_E2_20260121,790,4920,58000,285.4,18013
TXSD_CCS_E2_20260121,800,4928,56300,277.4,18013
TXSD_CCS_E2_20260121,810,4928,58000,285.8,18013
TXSD_CCS_E2_20260121,820,4928,56400,277.9,18013
TXSD_CCS_E2_20260121,832,4928,57300,282.4,18013
TXSD_CCS_E2_20260121,840,4928,56400,277.9,18013
TXSD_CCS_E2_20260121,850,4928,57300,282.4,18013
TXSD_CCS_E2_20260121,860,4928,57000,280.9,18013
TXSD_CCS_E2_20260121,870,4928,57300,282.4,18013
TXSD_CCS_E2_20260121,880,4820,141100,680.1,18013
TXSD_CCS_E2_20260121,890,4928,56600,278.9,18014
TXSD_CCS_E2_20260121,900,4928,58100,286.3,18014
TXSD_CCS_E2_20260121,910,4928,56400,277.9,18014
TXSD_CCS_E2_20260121,920,4928,58000,285.8,18014
TXSD_CCS_E2_20260121,930,4928,56300,277.4,18014
TXSD_CCS_E2_20260121,940,4928,58000,285.8,18014
TXSD_CCS_E2_20260121,950,4928,56400,277.9,18014
TXSD_CCS_E2_20260121,960,4928,58000,285.8,18014
TXSD_CCS_E2_20260121,970,4928,56300,277.4,18014
TXSD_CCS_E2_20260121,980,4928,58000,285.8,18014
TXSD_CCS_E2_20260121,990,4820,56400,271.8,18015
TXSD_CCS_E2_20260121,1000,4928,58000,285.8,18015
TXSD_CCS_E2_20260121,1010,4928,56400,277.9,18015
TXSD_CCS_E2_20260121,1020,4928,57200,281.9,18015
TXSD_CCS_E2_20260121,1030,4928,57000,280.9,18015
TXSD_CCS_E2_20260121,1040,4928,57300,282.4,18015
TXSD_CCS_E2_20260121,1050,4928,57000,280.9,18015
TXSD_CCS_E2_20260121,1060,4928,57400,282.9,18015
TXSD_CCS_E2_20260121,1070,4928,57000,280.9,18015
TXSD_CCS_E2_20260121,1080,4928,56400,277.9,18015
TXSD_CCS_E2_20260121,1090,4804,142500,684.6,18016
TXSD_CCS_E2_20260121,1100,4760,88800,422.7,18016
TXSD_CCS_E2_20260121,1110,4928,58000,285.8,18016
TXSD_CCS_E2_20260121,1120,4928,56300,277.4,18016
TXSD_CCS_E2_20260121,1130,4928,58000,285.8,18016
TXSD_CCS_E2_20260121,1140,4928,56400,277.9,18016
TXSD_CCS_E2_20260121,1150,4928,58000,285.8,18016
TXSD_CCS_E2_20260121,1160,4928,56400,277.9,18016
TXSD_CCS_E2_20260121,1170,4928,57900,285.3,18016
TXSD_CCS_E2_20260121,1180,4928,56300,277.4,18016
TXSD_CCS_E2_20260121,1190,4924,58000,285.6,18017
TXSD_CCS_E2_20260121,1200,4908,58800,288.6,18017
TXSD_CCS_E2_20260121,1210,4928,57300,282.4,18017
TXSD_CCS_E2_20260121,1220,4928,57000,280.9,18017
TXSD_CCS_E2_20260121,1230,4928,57300,282.4,18017
TXSD_CCS_E2_20260121,1240,4928,57000,280.9,18017
TXSD_CCS_E2_20260121,1250,4928,56700,279.4,18017
TXSD_CCS_E2_20260121,1260,4928,58000,285.8,18017
TXSD_CCS_E2_20260121,1270,4928,56400,277.9,18017
TXSD_CCS_E2_20260121,1280,4928,57900,285.3,18017
TXSD_CCS_E2_20260121,1290,4928,56400,277.9,18018
TXSD_CCS_E2_20260121,1300,4928,58000,285.8,18018
TXSD_CCS_E2_20260121,1310,4928,56400,277.9,18018
TXSD_CCS_E2_20260121,1320,4928,58000,285.8,18018
TXSD_CCS_E2_20260121,1330,4928,56300,277.4,18018
TXSD_CCS_E2_20260121,1340,4928,58000,285.8,18018
TXSD_CCS_E2_20260121,1350,4928,56300,277.4,18018
TXSD_CCS_E2_20260121,1360,4928,57900,285.3,18018
TXSD_CCS_E2_20260121,1370,4928,56400,277.9,18018
TXSD_CCS_E2_20260121,1380,4928,57300,282.4,18018
TXSD_CCS_E2_20260121,1390,4928,58000,285.8,18019
TXSD_CCS_E2_20260121,1400,4928,57300,282.4,18019
TXSD_CCS_E2_20260121,1410,4736,135900,643.6,18019
TXSD_CCS_E2_20260121,1420,4928,57300,282.4,18019
TXSD_CCS_E2_20260121,1430,4928,57000,280.9,18019
TXSD_CCS_E2_20260121,1440,4928,56400,277.9,18019
TXSD_CCS_E2_20260121,1450,4928,58000,285.8,18019
TXSD_CCS_E2_20260121,1460,4928,56400,277.9,18019
TXSD_CCS_E2_20260121,1470,4928,58000,285.8,18019
TXSD_CCS_E2_20260121,1480,4928,56400,277.9,18019
TXSD_CCS_E2_20260121,1490,4916,58000,285.1,18020
TXSD_CCS_E2_20260121,1500,4928,56300,277.4,18020
TXSD_CCS_E2_20260121,1510,4824,144000,694.7,18020
TXSD_CCS_E2_20260121,1520,4928,56300,277.4,18020
TXSD_CCS_E2_20260121,1530,4928,58000,285.8,18020
TXSD_CCS_E2_20260121,1540,4928,56400,277.9,18020
TXSD_CCS_E2_20260121,1550,4928,57900,285.3,18020
TXSD_CCS_E2_20260121,1560,4928,56300,277.4,18020
TXSD_CCS_E2_20260121,1570,4928,57300,282.4,18020
TXSD_CCS_E2_20260121,1580,4928,57000,280.9,18020
TXSD_CCS_E2_20260121,1590,4928,57300,282.4,18021
TXSD_CCS_E2_20260121,1600,4928,57000,280.9,18021
TXSD_CCS_E2_20260121,1610,4928,56700,279.4,18021
