prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 21 2026 05:58:13
TXSD_CCS_E2_20260121,11,4924,56400,277.7,30002
TXSD_CCS_E2_20260121,20,4932,58000,286.1,30002
TXSD_CCS_E2_20260121,30,4924,56300,277.2,30002
TXSD_CCS_E2_20260121,40,4928,58000,285.8,30002
TXSD_CCS_E2_20260121,50,4924,103400,509.1,30002
TXSD_CCS_E2_20260121,60,4932,58000,286.1,30002
TXSD_CCS_E2_20260121,70,4928,56400,277.9,30002
TXSD_CCS_E2_20260121,80,4932,58000,286.1,30002
TXSD_CCS_E2_20260121,90,4928,56300,277.4,30002
TXSD_CCS_E2_20260121,100,4932,58000,286.1,30002
TXSD_CCS_E2_20260121,110,4928,56600,278.9,30003
TXSD_CCS_E2_20260121,120,4928,58000,285.8,30003
TXSD_CCS_E2_20260121,130,4928,57100,281.4,30003
TXSD_CCS_E2_20260121,140,4928,57400,282.9,30003
TXSD_CCS_E2_20260121,150,4928,57100,281.4,30003
TXSD_CCS_E2_20260121,160,4764,139100,662.7,30003
TXSD_CCS_E2_20260121,170,4928,58100,286.3,30003
TXSD_CCS_E2_20260121,180,4928,56400,277.9,30003
TXSD_CCS_E2_20260121,190,4928,58000,285.8,30003
TXSD_CCS_E2_20260121,200,4928,56400,277.9,30003
TXSD_CCS_E2_20260121,210,4928,64000,315.4,30004
TXSD_CCS_E2_20260121,220,4928,56300,277.4,30004
TXSD_CCS_E2_20260121,230,4932,58000,286.1,30004
TXSD_CCS_E2_20260121,240,4928,56400,277.9,30004
TXSD_CCS_E2_20260121,250,4928,58000,285.8,30004
TXSD_CCS_E2_20260121,260,4928,56300,277.4,30004
TXSD_CCS_E2_20260121,270,4908,58000,284.7,30004
TXSD_CCS_E2_20260121,280,4928,56500,278.4,30004
TXSD_CCS_E2_20260121,290,4928,58000,285.8,30004
TXSD_CCS_E2_20260121,300,4928,57000,280.9,30004
TXSD_CCS_E2_20260121,310,4928,57400,282.9,30005
TXSD_CCS_E2_20260121,320,4928,57000,280.9,30005
TXSD_CCS_E2_20260121,330,4928,57400,282.9,30005
TXSD_CCS_E2_20260121,340,4928,57100,281.4,30005
TXSD_CCS_E2_20260121,350,4928,57300,282.4,30005
TXSD_CCS_E2_20260121,360,4928,58000,285.8,30005
TXSD_CCS_E2_20260121,370,4928,56400,277.9,30005
TXSD_CCS_E2_20260121,380,4852,58000,281.4,30005
TXSD_CCS_E2_20260121,390,4928,56300,277.4,30005
TXSD_CCS_E2_20260121,400,4932,58000,286.1,30005
TXSD_CCS_E2_20260121,410,4928,56300,277.4,30006
TXSD_CCS_E2_20260121,420,4932,58000,286.1,30006
TXSD_CCS_E2_20260121,430,4928,56400,277.9,30006
TXSD_CCS_E2_20260121,440,4928,58000,285.8,30006
TXSD_CCS_E2_20260121,450,4928,56400,277.9,30006
