prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 21 2026 05:58:13
TXSD_CCS_E2_20260121,11,4928,57400,282.9,36001
TXSD_CCS_E2_20260121,21,4928,58000,285.8,36001
TXSD_CCS_E2_20260121,31,4716,134100,632.4,36001
TXSD_CCS_E2_20260121,41,4932,58100,286.5,36001
TXSD_CCS_E2_20260121,51,4928,56400,277.9,36001
TXSD_CCS_E2_20260121,61,4932,58000,286.1,36001
TXSD_CCS_E2_20260121,71,4928,56400,277.9,36001
TXSD_CCS_E2_20260121,81,4912,58000,284.9,36002
TXSD_CCS_E2_20260121,91,4928,56400,277.9,36002
TXSD_CCS_E2_20260121,101,4928,58000,285.8,36002
TXSD_CCS_E2_20260121,111,4928,56400,277.9,36002
TXSD_CCS_E2_20260121,121,4932,58100,286.5,36002
TXSD_CCS_E2_20260121,131,4824,141200,681.1,36002
TXSD_CCS_E2_20260121,141,4932,57400,283.1,36002
TXSD_CCS_E2_20260121,151,4928,57100,281.4,36002
TXSD_CCS_E2_20260121,161,4928,57400,282.9,36002
TXSD_CCS_E2_20260121,171,4928,57100,281.4,36002
TXSD_CCS_E2_20260121,181,4928,57400,282.9,36003
TXSD_CCS_E2_20260121,191,4932,57400,283.1,36003
TXSD_CCS_E2_20260121,201,4928,57400,282.9,36003
TXSD_CCS_E2_20260121,211,4932,58000,286.1,36003
TXSD_CCS_E2_20260121,221,4928,56400,277.9,36003
TXSD_CCS_E2_20260121,231,4932,58100,286.5,36003
TXSD_CCS_E2_20260121,241,4836,211900,1024.7,36003
TXSD_CCS_E2_20260121,251,4932,58100,286.5,36003
TXSD_CCS_E2_20260121,261,4928,56400,277.9,36003
TXSD_CCS_E2_20260121,271,4932,58000,286.1,36003
TXSD_CCS_E2_20260121,281,4812,69600,334.9,36004
TXSD_CCS_E2_20260121,291,4932,58100,286.5,36004
TXSD_CCS_E2_20260121,301,4928,56400,277.9,36004
TXSD_CCS_E2_20260121,311,4932,58000,286.1,36004
TXSD_CCS_E2_20260121,321,4928,56900,280.4,36004
TXSD_CCS_E2_20260121,331,4928,57400,282.9,36004
TXSD_CCS_E2_20260121,341,4932,59600,293.9,36004
TXSD_CCS_E2_20260121,351,4928,57400,282.9,36004
TXSD_CCS_E2_20260121,361,4928,57100,281.4,36004
TXSD_CCS_E2_20260121,371,4928,56400,277.9,36004
TXSD_CCS_E2_20260121,381,4872,58000,282.6,36005
TXSD_CCS_E2_20260121,391,4928,56400,277.9,36005
TXSD_CCS_E2_20260121,401,4928,58000,285.8,36005
TXSD_CCS_E2_20260121,411,4928,56400,277.9,36005
TXSD_CCS_E2_20260121,421,4928,58000,285.8,36005
TXSD_CCS_E2_20260121,431,4928,56500,278.4,36005
TXSD_CCS_E2_20260121,441,4928,58000,285.8,36005
TXSD_CCS_E2_20260121,451,4928,56400,277.9,36005
TXSD_CCS_E2_20260121,461,4932,58100,286.5,36005
TXSD_CCS_E2_20260121,471,4928,56400,277.9,36005
TXSD_CCS_E2_20260121,481,4920,58100,285.9,36006
TXSD_CCS_E2_20260121,491,4928,56400,277.9,36006
TXSD_CCS_E2_20260121,501,4928,57400,282.9,36006
TXSD_CCS_E2_20260121,511,4928,57100,281.4,36006
TXSD_CCS_E2_20260121,521,4928,57400,282.9,36006
TXSD_CCS_E2_20260121,531,4928,57100,281.4,36006
TXSD_CCS_E2_20260121,541,4928,57300,282.4,36006
TXSD_CCS_E2_20260121,551,4928,60000,295.7,36006
TXSD_CCS_E2_20260121,561,4928,57300,282.4,36006
TXSD_CCS_E2_20260121,571,4932,58000,286.1,36006
TXSD_CCS_E2_20260121,581,4928,90700,447.0,36007
TXSD_CCS_E2_20260121,591,4932,58100,286.5,36007
TXSD_CCS_E2_20260121,601,4928,56400,277.9,36007
TXSD_CCS_E2_20260121,611,4932,58000,286.1,36007
TXSD_CCS_E2_20260121,621,4928,56500,278.4,36007
TXSD_CCS_E2_20260121,631,4928,58100,286.3,36007
TXSD_CCS_E2_20260121,641,4928,56400,277.9,36007
TXSD_CCS_E2_20260121,651,4928,58000,285.8,36007
TXSD_CCS_E2_20260121,661,4820,141900,684.0,36007
TXSD_CCS_E2_20260121,671,4932,57800,285.1,36007
TXSD_CCS_E2_20260121,681,4832,65400,316.0,36008
TXSD_CCS_E2_20260121,691,4928,57400,282.9,36008
TXSD_CCS_E2_20260121,701,4928,57100,281.4,36008
TXSD_CCS_E2_20260121,711,4928,57400,282.9,36008
TXSD_CCS_E2_20260121,721,4928,57100,281.4,36008
TXSD_CCS_E2_20260121,731,4928,56500,278.4,36008
TXSD_CCS_E2_20260121,741,4928,58000,285.8,36008
TXSD_CCS_E2_20260121,751,4928,56400,277.9,36008
TXSD_CCS_E2_20260121,761,4928,58100,286.3,36008
TXSD_CCS_E2_20260121,771,4928,68500,337.6,36008
TXSD_CCS_E2_20260121,781,4904,58100,284.9,36009
TXSD_CCS_E2_20260121,791,4928,56400,277.9,36009
TXSD_CCS_E2_20260121,801,4928,58000,285.8,36009
TXSD_CCS_E2_20260121,811,4928,56400,277.9,36009
TXSD_CCS_E2_20260121,821,4932,58000,286.1,36009
TXSD_CCS_E2_20260121,833,4928,57100,281.4,36009
TXSD_CCS_E2_20260121,841,4928,58000,285.8,36009
TXSD_CCS_E2_20260121,851,4928,56500,278.4,36009
TXSD_CCS_E2_20260121,861,4928,57400,282.9,36009
