prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 21 2026 05:58:13
TXSD_CCS_E2_20260121,11,4932,56400,278.2,42000
TXSD_CCS_E2_20260121,21,4928,58100,286.3,42000
TXSD_CCS_E2_20260121,31,4928,56500,278.4,42000
TXSD_CCS_E2_20260121,41,4932,58000,286.1,42000
TXSD_CCS_E2_20260121,51,4928,56500,278.4,42000
TXSD_CCS_E2_20260121,61,4776,138100,659.6,42000
TXSD_CCS_E2_20260121,71,4928,56500,278.4,42000
TXSD_CCS_E2_20260121,81,4932,58100,286.5,42000
TXSD_CCS_E2_20260121,91,4928,56500,278.4,42000
TXSD_CCS_E2_20260121,101,4932,58100,286.5,42000
TXSD_CCS_E2_20260121,111,4928,56500,278.4,42001
TXSD_CCS_E2_20260121,121,4928,58100,286.3,42001
TXSD_CCS_E2_20260121,131,4928,56500,278.4,42001
TXSD_CCS_E2_20260121,141,4928,57400,282.9,42001
TXSD_CCS_E2_20260121,151,4928,57100,281.4,42001
TXSD_CCS_E2_20260121,161,4828,191800,926.0,42001
TXSD_CCS_E2_20260121,171,4932,57100,281.6,42001
TXSD_CCS_E2_20260121,181,4928,57300,282.4,42001
TXSD_CCS_E2_20260121,191,4928,57800,284.8,42001
TXSD_CCS_E2_20260121,201,4928,56500,278.4,42001
TXSD_CCS_E2_20260121,211,4928,58100,286.3,42002
TXSD_CCS_E2_20260121,221,4928,56400,277.9,42002
TXSD_CCS_E2_20260121,231,4928,58100,286.3,42002
TXSD_CCS_E2_20260121,241,4928,56400,277.9,42002
TXSD_CCS_E2_20260121,251,4928,58000,285.8,42002
TXSD_CCS_E2_20260121,261,4820,139600,672.9,42002
TXSD_CCS_E2_20260121,271,4932,58100,286.5,42002
TXSD_CCS_E2_20260121,281,4928,56500,278.4,42002
TXSD_CCS_E2_20260121,291,4932,58100,286.5,42002
TXSD_CCS_E2_20260121,301,4928,56500,278.4,42002
TXSD_CCS_E2_20260121,311,4928,57500,283.4,42003
TXSD_CCS_E2_20260121,321,4928,57200,281.9,42003
TXSD_CCS_E2_20260121,331,4932,57400,283.1,42003
TXSD_CCS_E2_20260121,341,4928,57100,281.4,42003
TXSD_CCS_E2_20260121,351,4928,57400,282.9,42003
TXSD_CCS_E2_20260121,361,4928,57200,281.9,42003
TXSD_CCS_E2_20260121,371,4824,148300,715.4,42003
TXSD_CCS_E2_20260121,381,4932,58100,286.5,42003
TXSD_CCS_E2_20260121,391,4928,56500,278.4,42003
TXSD_CCS_E2_20260121,401,4928,58100,286.3,42003
TXSD_CCS_E2_20260121,411,4928,56500,278.4,42004
TXSD_CCS_E2_20260121,421,4928,58100,286.3,42004
TXSD_CCS_E2_20260121,431,4928,56500,278.4,42004
TXSD_CCS_E2_20260121,441,4932,58100,286.5,42004
TXSD_CCS_E2_20260121,451,4928,56500,278.4,42004
TXSD_CCS_E2_20260121,461,4928,58100,286.3,42004
TXSD_CCS_E2_20260121,471,4812,133800,643.8,42004
TXSD_CCS_E2_20260121,481,4932,58100,286.5,42004
TXSD_CCS_E2_20260121,491,4932,56500,278.7,42004
TXSD_CCS_E2_20260121,501,4928,57500,283.4,42004
TXSD_CCS_E2_20260121,511,4928,57100,281.4,42005
TXSD_CCS_E2_20260121,521,4928,57500,283.4,42005
TXSD_CCS_E2_20260121,531,4928,57100,281.4,42005
TXSD_CCS_E2_20260121,541,4928,56600,278.9,42005
TXSD_CCS_E2_20260121,551,4928,58100,286.3,42005
TXSD_CCS_E2_20260121,561,4932,56500,278.7,42005
TXSD_CCS_E2_20260121,571,4804,143400,688.9,42005
TXSD_CCS_E2_20260121,581,4928,56500,278.4,42005
TXSD_CCS_E2_20260121,591,4932,58100,286.5,42005
TXSD_CCS_E2_20260121,601,4928,56500,278.4,42005
