prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 21 2026 05:58:13
TXSD_CCS_E2_20260121,11,4928,58000,285.8,47999
TXSD_CCS_E2_20260121,20,4832,208500,1007.5,47999
TXSD_CCS_E2_20260121,30,4932,58100,286.5,47999
TXSD_CCS_E2_20260121,40,4928,56400,277.9,47999
TXSD_CCS_E2_20260121,50,4928,58000,285.8,47999
TXSD_CCS_E2_20260121,60,4928,57000,280.9,47999
TXSD_CCS_E2_20260121,70,4928,57300,282.4,47999
TXSD_CCS_E2_20260121,80,4928,57000,280.9,48000
TXSD_CCS_E2_20260121,90,4932,57400,283.1,48000
TXSD_CCS_E2_20260121,100,4928,57100,281.4,48000
TXSD_CCS_E2_20260121,110,4928,57300,282.4,48000
TXSD_CCS_E2_20260121,120,4888,59600,291.3,48000
TXSD_CCS_E2_20260121,130,4928,56400,277.9,48000
TXSD_CCS_E2_20260121,140,4932,58000,286.1,48000
TXSD_CCS_E2_20260121,150,4928,56400,277.9,48000
TXSD_CCS_E2_20260121,160,4932,58000,286.1,48000
TXSD_CCS_E2_20260121,170,4928,56400,277.9,48000
TXSD_CCS_E2_20260121,180,4928,58000,285.8,48001
TXSD_CCS_E2_20260121,190,4928,56400,277.9,48001
TXSD_CCS_E2_20260121,200,4932,58000,286.1,48001
TXSD_CCS_E2_20260121,210,4928,56400,277.9,48001
TXSD_CCS_E2_20260121,220,4932,58000,286.1,48001
TXSD_CCS_E2_20260121,230,4928,56400,277.9,48001
TXSD_CCS_E2_20260121,240,4932,58000,286.1,48001
TXSD_CCS_E2_20260121,250,4928,57100,281.4,48001
TXSD_CCS_E2_20260121,260,4928,57300,282.4,48001
TXSD_CCS_E2_20260121,270,4928,57000,280.9,48001
TXSD_CCS_E2_20260121,280,4928,57300,282.4,48002
TXSD_CCS_E2_20260121,290,4928,58000,285.8,48002
TXSD_CCS_E2_20260121,300,4932,56600,279.2,48002
TXSD_CCS_E2_20260121,310,4932,58000,286.1,48002
TXSD_CCS_E2_20260121,320,4928,56300,277.4,48002
TXSD_CCS_E2_20260121,330,4832,133900,647.0,48002
TXSD_CCS_E2_20260121,340,4928,56400,277.9,48002
TXSD_CCS_E2_20260121,350,4932,58000,286.1,48002
TXSD_CCS_E2_20260121,360,4928,56400,277.9,48002
TXSD_CCS_E2_20260121,370,4932,58000,286.1,48002
TXSD_CCS_E2_20260121,380,4928,56400,277.9,48003
TXSD_CCS_E2_20260121,390,4928,58000,285.8,48003
TXSD_CCS_E2_20260121,400,4928,56400,277.9,48003
TXSD_CCS_E2_20260121,410,4932,58100,286.5,48003
TXSD_CCS_E2_20260121,420,4928,57100,281.4,48003
TXSD_CCS_E2_20260121,430,4824,146000,704.3,48003
TXSD_CCS_E2_20260121,440,4932,57000,281.1,48003
TXSD_CCS_E2_20260121,450,4928,57400,282.9,48003
TXSD_CCS_E2_20260121,460,4928,57100,281.4,48003
TXSD_CCS_E2_20260121,470,4928,57400,282.9,48003
TXSD_CCS_E2_20260121,480,4932,58000,286.1,48004
TXSD_CCS_E2_20260121,490,4928,56400,277.9,48004
TXSD_CCS_E2_20260121,500,4932,58000,286.1,48004
TXSD_CCS_E2_20260121,510,4928,56400,277.9,48004
TXSD_CCS_E2_20260121,520,4932,58000,286.1,48004
TXSD_CCS_E2_20260121,530,4928,56400,277.9,48004
TXSD_CCS_E2_20260121,540,4788,190300,911.2,48004
TXSD_CCS_E2_20260121,550,4928,56400,277.9,48004
TXSD_CCS_E2_20260121,560,4932,58000,286.1,48004
TXSD_CCS_E2_20260121,570,4928,56400,277.9,48004
TXSD_CCS_E2_20260121,580,4932,58000,286.1,48005
TXSD_CCS_E2_20260121,590,4928,56400,277.9,48005
TXSD_CCS_E2_20260121,600,4932,58000,286.1,48005
TXSD_CCS_E2_20260121,610,4928,57000,280.9,48005
TXSD_CCS_E2_20260121,620,4928,57400,282.9,48005
TXSD_CCS_E2_20260121,630,4928,57100,281.4,48005
TXSD_CCS_E2_20260121,640,4824,183900,887.1,48005
TXSD_CCS_E2_20260121,650,4932,57300,282.6,48005
TXSD_CCS_E2_20260121,660,4932,57400,283.1,48005
TXSD_CCS_E2_20260121,670,4932,57500,283.6,48005
TXSD_CCS_E2_20260121,680,4928,56400,277.9,48006
TXSD_CCS_E2_20260121,690,4932,58000,286.1,48006
TXSD_CCS_E2_20260121,700,4928,56400,277.9,48006
TXSD_CCS_E2_20260121,710,4932,58000,286.1,48006
TXSD_CCS_E2_20260121,720,4928,56400,277.9,48006
TXSD_CCS_E2_20260121,730,4932,58100,286.5,48006
TXSD_CCS_E2_20260121,740,4820,144800,697.9,48006
TXSD_CCS_E2_20260121,750,4932,58000,286.1,48006
TXSD_CCS_E2_20260121,760,4928,56400,277.9,48006
TXSD_CCS_E2_20260121,770,4932,58000,286.1,48006
TXSD_CCS_E2_20260121,780,4928,56600,278.9,48007
TXSD_CCS_E2_20260121,790,4928,58000,285.8,48007
TXSD_CCS_E2_20260121,800,4928,57000,280.9,48007
TXSD_CCS_E2_20260121,810,4932,57400,283.1,48007
TXSD_CCS_E2_20260121,820,4928,57000,280.9,48007
TXSD_CCS_E2_20260121,832,4928,56500,278.4,48007
TXSD_CCS_E2_20260121,840,4932,58100,286.5,48007
TXSD_CCS_E2_20260121,850,4832,130400,630.1,48007
TXSD_CCS_E2_20260121,860,4932,58100,286.5,48007
TXSD_CCS_E2_20260121,870,4928,56400,277.9,48007
TXSD_CCS_E2_20260121,880,4928,58000,285.8,48008
TXSD_CCS_E2_20260121,890,4928,56400,277.9,48008
TXSD_CCS_E2_20260121,900,4932,58000,286.1,48008
TXSD_CCS_E2_20260121,910,4928,56400,277.9,48008
TXSD_CCS_E2_20260121,920,4928,58000,285.8,48008
TXSD_CCS_E2_20260121,930,4928,56400,277.9,48008
TXSD_CCS_E2_20260121,940,4928,58000,285.8,48008
TXSD_CCS_E2_20260121,950,4820,142500,686.9,48008
TXSD_CCS_E2_20260121,960,4928,58000,285.8,48008
TXSD_CCS_E2_20260121,970,4928,57100,281.4,48008
TXSD_CCS_E2_20260121,980,4928,57300,282.4,48009
TXSD_CCS_E2_20260121,990,4932,57100,281.6,48009
TXSD_CCS_E2_20260121,1000,4928,57300,282.4,48009
TXSD_CCS_E2_20260121,1010,4928,57000,280.9,48009
TXSD_CCS_E2_20260121,1020,4928,57400,282.9,48009
TXSD_CCS_E2_20260121,1030,4928,57100,281.4,48009
TXSD_CCS_E2_20260121,1040,4928,56400,277.9,48009
TXSD_CCS_E2_20260121,1050,4928,58000,285.8,48009
TXSD_CCS_E2_20260121,1060,4836,134000,648.0,48009
TXSD_CCS_E2_20260121,1070,4928,58000,285.8,48009
TXSD_CCS_E2_20260121,1080,4928,56400,277.9,48010
TXSD_CCS_E2_20260121,1090,4932,58000,286.1,48010
TXSD_CCS_E2_20260121,1100,4928,56400,277.9,48010
TXSD_CCS_E2_20260121,1110,4932,58000,286.1,48010
TXSD_CCS_E2_20260121,1120,4928,56400,277.9,48010
TXSD_CCS_E2_20260121,1130,4932,58000,286.1,48010
TXSD_CCS_E2_20260121,1140,4928,56400,277.9,48010
TXSD_CCS_E2_20260121,1150,4932,58000,286.1,48010
TXSD_CCS_E2_20260121,1160,4832,214100,1034.5,48010
TXSD_CCS_E2_20260121,1170,4932,57400,283.1,48010
TXSD_CCS_E2_20260121,1180,4928,57000,280.9,48011
TXSD_CCS_E2_20260121,1190,4932,57300,282.6,48011
TXSD_CCS_E2_20260121,1200,4928,57600,283.9,48011
TXSD_CCS_E2_20260121,1210,4932,57200,282.1,48011
TXSD_CCS_E2_20260121,1220,4932,57700,284.6,48011
TXSD_CCS_E2_20260121,1230,4928,56500,278.4,48011
TXSD_CCS_E2_20260121,1240,4932,58000,286.1,48011
TXSD_CCS_E2_20260121,1250,4928,56400,277.9,48011
TXSD_CCS_E2_20260121,1260,4928,58000,285.8,48011
TXSD_CCS_E2_20260121,1270,4828,177600,857.5,48011
TXSD_CCS_E2_20260121,1280,4932,58100,286.5,48012
TXSD_CCS_E2_20260121,1290,4928,56400,277.9,48012
TXSD_CCS_E2_20260121,1300,4932,58000,286.1,48012
TXSD_CCS_E2_20260121,1310,4928,56400,277.9,48012
TXSD_CCS_E2_20260121,1320,4932,58000,286.1,48012
TXSD_CCS_E2_20260121,1330,4928,56800,279.9,48012
TXSD_CCS_E2_20260121,1340,4932,57900,285.6,48012
TXSD_CCS_E2_20260121,1350,4928,57000,280.9,48012
TXSD_CCS_E2_20260121,1360,4932,57400,283.1,48012
TXSD_CCS_E2_20260121,1370,4928,57000,280.9,48012
TXSD_CCS_E2_20260121,1380,4832,131600,635.9,48013
TXSD_CCS_E2_20260121,1390,4928,58000,285.8,48013
TXSD_CCS_E2_20260121,1400,4928,56400,277.9,48013
TXSD_CCS_E2_20260121,1410,4928,58000,285.8,48013
TXSD_CCS_E2_20260121,1420,4928,56400,277.9,48013
TXSD_CCS_E2_20260121,1430,4928,58000,285.8,48013
TXSD_CCS_E2_20260121,1440,4928,56400,277.9,48013
TXSD_CCS_E2_20260121,1450,4932,58000,286.1,48013
TXSD_CCS_E2_20260121,1460,4928,56400,277.9,48013
TXSD_CCS_E2_20260121,1470,4932,58000,286.1,48013
TXSD_CCS_E2_20260121,1480,4832,211100,1020.0,48014
TXSD_CCS_E2_20260121,1490,4932,58000,286.1,48014
TXSD_CCS_E2_20260121,1500,4928,56400,277.9,48014
TXSD_CCS_E2_20260121,1510,4932,58100,286.5,48014
TXSD_CCS_E2_20260121,1520,4928,57000,280.9,48014
TXSD_CCS_E2_20260121,1530,4928,57300,282.4,48014
TXSD_CCS_E2_20260121,1540,4932,57000,281.1,48014
TXSD_CCS_E2_20260121,1550,4928,57400,282.9,48014
TXSD_CCS_E2_20260121,1560,4928,57000,280.9,48014
TXSD_CCS_E2_20260121,1570,4928,57400,282.9,48014
TXSD_CCS_E2_20260121,1580,4932,57000,281.1,48015
TXSD_CCS_E2_20260121,1590,4816,137100,660.3,48015
TXSD_CCS_E2_20260121,1600,4932,58000,286.1,48015
TXSD_CCS_E2_20260121,1610,4928,56400,277.9,48015
TXSD_CCS_E2_20260121,1620,4932,58000,286.1,48015
TXSD_CCS_E2_20260121,1630,4928,56400,277.9,48015
TXSD_CCS_E2_20260121,1640,4928,58000,285.8,48015
TXSD_CCS_E2_20260121,1651,4928,56500,278.4,48015
TXSD_CCS_E2_20260121,1660,4932,58000,286.1,48015
TXSD_CCS_E2_20260121,1670,4928,56400,277.9,48015
TXSD_CCS_E2_20260121,1680,4928,58000,285.8,48016
