prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 21 2026 05:58:13
TXSD_CCS_E2_20260121,11,4932,58100,286.5,53998
TXSD_CCS_E2_20260121,21,4928,56500,278.4,53998
TXSD_CCS_E2_20260121,31,4932,58100,286.5,53998
TXSD_CCS_E2_20260121,41,4928,56400,277.9,53998
TXSD_CCS_E2_20260121,51,4800,197700,949.0,53998
TXSD_CCS_E2_20260121,61,4928,56500,278.4,53998
TXSD_CCS_E2_20260121,71,4928,58100,286.3,53998
TXSD_CCS_E2_20260121,81,4928,56400,277.9,53998
TXSD_CCS_E2_20260121,91,4928,58100,286.3,53998
TXSD_CCS_E2_20260121,101,4928,57100,281.4,53998
TXSD_CCS_E2_20260121,111,4928,57500,283.4,53999
TXSD_CCS_E2_20260121,121,4932,57200,282.1,53999
TXSD_CCS_E2_20260121,131,4928,57500,283.4,53999
TXSD_CCS_E2_20260121,141,4928,57900,285.3,53999
TXSD_CCS_E2_20260121,151,4820,141000,679.6,53999
TXSD_CCS_E2_20260121,161,4932,58100,286.5,53999
TXSD_CCS_E2_20260121,171,4928,56500,278.4,53999
TXSD_CCS_E2_20260121,181,4932,58100,286.5,53999
TXSD_CCS_E2_20260121,191,4928,56500,278.4,53999
TXSD_CCS_E2_20260121,201,4932,58100,286.5,53999
TXSD_CCS_E2_20260121,211,4928,56500,278.4,54000
TXSD_CCS_E2_20260121,221,4932,58100,286.5,54000
TXSD_CCS_E2_20260121,231,4928,56400,277.9,54000
TXSD_CCS_E2_20260121,241,4928,58100,286.3,54000
TXSD_CCS_E2_20260121,251,4928,57500,283.4,54000
TXSD_CCS_E2_20260121,261,4932,58100,286.5,54000
TXSD_CCS_E2_20260121,271,4928,57200,281.9,54000
TXSD_CCS_E2_20260121,281,4932,57300,282.6,54000
TXSD_CCS_E2_20260121,291,4928,57200,281.9,54000
TXSD_CCS_E2_20260121,301,4932,57400,283.1,54000
TXSD_CCS_E2_20260121,311,4928,57100,281.4,54001
TXSD_CCS_E2_20260121,321,4932,57400,283.1,54001
TXSD_CCS_E2_20260121,331,4928,58100,286.3,54001
TXSD_CCS_E2_20260121,341,4928,56500,278.4,54001
TXSD_CCS_E2_20260121,351,4932,58100,286.5,54001
TXSD_CCS_E2_20260121,361,4832,190500,920.5,54001
TXSD_CCS_E2_20260121,371,4932,58100,286.5,54001
TXSD_CCS_E2_20260121,381,4928,56500,278.4,54001
TXSD_CCS_E2_20260121,391,4928,58100,286.3,54001
TXSD_CCS_E2_20260121,401,4928,56500,278.4,54001
TXSD_CCS_E2_20260121,411,4932,58100,286.5,54002
TXSD_CCS_E2_20260121,421,4928,56500,278.4,54002
TXSD_CCS_E2_20260121,431,4928,58100,286.3,54002
TXSD_CCS_E2_20260121,441,4928,56700,279.4,54002
TXSD_CCS_E2_20260121,451,4928,58000,285.8,54002
TXSD_CCS_E2_20260121,461,4928,57200,281.9,54002
TXSD_CCS_E2_20260121,471,4832,130900,632.5,54002
TXSD_CCS_E2_20260121,481,4928,57200,281.9,54002
TXSD_CCS_E2_20260121,491,4932,57500,283.6,54002
TXSD_CCS_E2_20260121,501,4932,58100,286.5,54002
TXSD_CCS_E2_20260121,511,4928,56500,278.4,54003
TXSD_CCS_E2_20260121,521,4928,58100,286.3,54003
TXSD_CCS_E2_20260121,531,4928,56500,278.4,54003
TXSD_CCS_E2_20260121,541,4932,58100,286.5,54003
TXSD_CCS_E2_20260121,551,4928,56500,278.4,54003
TXSD_CCS_E2_20260121,561,4932,58100,286.5,54003
TXSD_CCS_E2_20260121,571,4820,141500,682.0,54003
TXSD_CCS_E2_20260121,581,4932,58100,286.5,54003
TXSD_CCS_E2_20260121,591,4928,56500,278.4,54003
TXSD_CCS_E2_20260121,601,4932,58100,286.5,54003
TXSD_CCS_E2_20260121,611,4928,56600,278.9,54004
TXSD_CCS_E2_20260121,621,4928,58100,286.3,54004
TXSD_CCS_E2_20260121,631,4932,57100,281.6,54004
TXSD_CCS_E2_20260121,641,4932,57500,283.6,54004
TXSD_CCS_E2_20260121,651,4928,57100,281.4,54004
TXSD_CCS_E2_20260121,661,4932,57400,283.1,54004
TXSD_CCS_E2_20260121,671,4876,157800,769.4,54004
TXSD_CCS_E2_20260121,681,4928,57000,280.9,54004
TXSD_CCS_E2_20260121,691,4932,58100,286.5,54004
TXSD_CCS_E2_20260121,701,4928,56500,278.4,54004
TXSD_CCS_E2_20260121,711,4932,58100,286.5,54005
TXSD_CCS_E2_20260121,721,4928,56600,278.9,54005
TXSD_CCS_E2_20260121,731,4932,58200,287.0,54005
TXSD_CCS_E2_20260121,741,4928,56600,278.9,54005
TXSD_CCS_E2_20260121,751,4928,58100,286.3,54005
TXSD_CCS_E2_20260121,761,4928,56500,278.4,54005
TXSD_CCS_E2_20260121,771,4932,58100,286.5,54005
TXSD_CCS_E2_20260121,781,4828,56500,272.8,54005
TXSD_CCS_E2_20260121,791,4932,58100,286.5,54005
TXSD_CCS_E2_20260121,801,4928,57100,281.4,54005
TXSD_CCS_E2_20260121,811,4932,57400,283.1,54006
TXSD_CCS_E2_20260121,821,4932,57200,282.1,54006
TXSD_CCS_E2_20260121,833,4928,56500,278.4,54006
TXSD_CCS_E2_20260121,841,4928,57200,281.9,54006
TXSD_CCS_E2_20260121,851,4928,57500,283.4,54006
TXSD_CCS_E2_20260121,861,4932,58200,287.0,54006
TXSD_CCS_E2_20260121,871,4928,56500,278.4,54006
TXSD_CCS_E2_20260121,881,4932,60100,296.4,54006
TXSD_CCS_E2_20260121,891,4928,56500,278.4,54006
TXSD_CCS_E2_20260121,901,4932,58200,287.0,54006
TXSD_CCS_E2_20260121,911,4928,56500,278.4,54007
TXSD_CCS_E2_20260121,921,4932,58100,286.5,54007
TXSD_CCS_E2_20260121,931,4928,56500,278.4,54007
TXSD_CCS_E2_20260121,941,4932,58100,286.5,54007
TXSD_CCS_E2_20260121,951,4928,56500,278.4,54007
TXSD_CCS_E2_20260121,961,4928,58100,286.3,54007
TXSD_CCS_E2_20260121,971,4928,56900,280.4,54007
TXSD_CCS_E2_20260121,981,4928,58000,285.8,54007
TXSD_CCS_E2_20260121,991,4832,219000,1058.2,54007
TXSD_CCS_E2_20260121,1001,4932,57400,283.1,54007
TXSD_CCS_E2_20260121,1011,4928,57200,281.9,54008
TXSD_CCS_E2_20260121,1021,4932,57500,283.6,54008
TXSD_CCS_E2_20260121,1031,4928,58100,286.3,54008
TXSD_CCS_E2_20260121,1041,4928,56500,278.4,54008
TXSD_CCS_E2_20260121,1051,4932,58100,286.5,54008
TXSD_CCS_E2_20260121,1061,4928,56500,278.4,54008
TXSD_CCS_E2_20260121,1071,4932,58100,286.5,54008
TXSD_CCS_E2_20260121,1081,4928,56500,278.4,54008
TXSD_CCS_E2_20260121,1091,4932,58100,286.5,54008
TXSD_CCS_E2_20260121,1101,4832,144100,696.3,54008
TXSD_CCS_E2_20260121,1111,4932,58100,286.5,54009
TXSD_CCS_E2_20260121,1121,4928,56600,278.9,54009
TXSD_CCS_E2_20260121,1131,4932,58100,286.5,54009
TXSD_CCS_E2_20260121,1141,4928,56500,278.4,54009
TXSD_CCS_E2_20260121,1151,4932,58100,286.5,54009
TXSD_CCS_E2_20260121,1161,4928,57100,281.4,54009
TXSD_CCS_E2_20260121,1171,4932,57500,283.6,54009
TXSD_CCS_E2_20260121,1181,4928,57200,281.9,54009
