kind,src_path,dst_path,sha256,rows,bytes
RX,D:\logs\rx_00082398_dd2fc65d.csv,RX/rx_00082398_dd2fc65d.csv,8b17b39a626620efcd293abc386b3cbb388bd055a9a59866a990c0ddff0c79fc,4879,292059
RX,D:\logs\rx_00687498_5c6324b1.csv,RX/rx_00687498_5c6324b1.csv,0bec22815b54ccc9002483a7ca0d1138ce2c411df85d84f26a424e355d110660,4873,291709
RX,D:\logs\rx_01292598_96935039.csv,RX/rx_01292598_96935039.csv,ef8419616a0af2b9b0a2c0415e13181eadbf85309bcacefe43c8cd061b981c4f,4873,291690
RX,D:\logs\rx_01897699_7429280a.csv,RX/rx_01897699_7429280a.csv,64a9416be8efac246f35ce22f6a340fcc7c9411d7f2997704b2df06df2f49d62,4886,292485
RX,D:\logs\rx_02502799_5d882eeb.csv,RX/rx_02502799_5d882eeb.csv,65a279b69bc838108c1817dd256ab658eb87446906d79193ca1a656c2abc59b9,4874,291764
RX,D:\logs\rx_03107900_16f7b9ae.csv,RX/rx_03107900_16f7b9ae.csv,149d8ae240f1b889df7862bda88c25880b8c9c302fbc8c2335252de61af42f48,4893,292915
RX,D:\logs\rx_03713000_11754088.csv,RX/rx_03713000_11754088.csv,e55a033061877a4cacc28878b4c4d490867d336c7d62c122a909285d8d66365e,4840,289722
RX,D:\logs\rx_04318100_0a66792c.csv,RX/rx_04318100_0a66792c.csv,d754c9bed37867ad058b7a791e7eb0096cd97bc5772c312b472bccefd5071bc4,4874,291763
RX,D:\logs\rx_04923201_b98e8dd3.csv,RX/rx_04923201_b98e8dd3.csv,bcd720a3a9695212e3876e377023c1c3022a0fe39d6700e37b77553590ca71a3,4846,290069
RX,D:\logs\rx_05528301_5578e474.csv,RX/rx_05528301_5578e474.csv,70c3511a26a813a41d248e2b50c97bd3fe06282c44c8cf4451ad530ddb95e415,4879,292065
TXSD,D:\logs\pwr_00087056_620a9b2b_sweep.csv,TXSD/pwr_00087056_620a9b2b_sweep.csv,62b133877468e7a1ec078ee0e27fb474a3942cf5ec40d5fec224da9d4714cb92,59932,3039678
TXSD,D:\logs\pwr_00692159_8ea8e94c_sweep.csv,TXSD/pwr_00692159_8ea8e94c_sweep.csv,4e501307c38de568f07f396a13cd0ea143d4a590f45c9a71541fed9338a5695d,59932,3070571
TXSD,D:\logs\pwr_01297262_0d91351a_sweep.csv,TXSD/pwr_01297262_0d91351a_sweep.csv,01de1ecdd7dfbfc7b586d6d68197433b3d2dc061e5dbbc534622ef685ae16f53,59929,3110497
TXSD,D:\logs\pwr_01902364_dec9cdb7_sweep.csv,TXSD/pwr_01902364_dec9cdb7_sweep.csv,cd83a2e76cddb1203e31aece686b59e464a9e8dfad126ad8dcf0606c8fe21d28,59928,3111933
TXSD,D:\logs\pwr_02507467_8d3dcb79_sweep.csv,TXSD/pwr_02507467_8d3dcb79_sweep.csv,b4838a4a1e6ec61db01ed0675bb5a5b6723777e40d7e297e5e0c5fead11956cd,59932,3111793
TXSD,D:\logs\pwr_03112570_451140b8_sweep.csv,TXSD/pwr_03112570_451140b8_sweep.csv,0944ff3e6bb62fcb98dc734448105e02676c615d14bd3fe872612777848422bc,59941,3110912
TXSD,D:\logs\pwr_03717673_78022ec7_sweep.csv,TXSD/pwr_03717673_78022ec7_sweep.csv,029a5c728770ff8a5dfc7e0529ac77821ceaab7edf1327be9bb69146d3900b78,59937,3112377
TXSD,D:\logs\pwr_04322775_a477db92_sweep.csv,TXSD/pwr_04322775_a477db92_sweep.csv,3bda868a35d21dc8fb587c960e28a2079123aade401d99ea53be66ab5dc75d8c,59940,3110888
TXSD,D:\logs\pwr_04927878_fc400872_sweep.csv,TXSD/pwr_04927878_fc400872_sweep.csv,402f07522a10feb1621c8870a05b6c4348a993e95882423514af0d87dc6f3c8f,59937,3110695
TXSD,D:\logs\pwr_05532981_cfb779ab_sweep.csv,TXSD/pwr_05532981_cfb779ab_sweep.csv,2c90d3ed8f8113a1eef0181a1f2df2076625170a205e5cc9cb4b698fef91fa3e,59940,3112061
