prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=1, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 22 2026 00:57:13
RX_CCS_E2_20260121,10,ADV,-39,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,84,ADV,-40,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,188,ADV,-40,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,308,ADV,-39,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,399,ADV,-40,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,505,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,842,ADV,-48,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,937,ADV,-43,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,1054,ADV,-44,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,1257,ADV,-41,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,1361,ADV,-46,e0:5a:1b:15:b2:ee,MF0008
RX_CCS_E2_20260121,1482,ADV,-43,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,1563,ADV,-39,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,1673,ADV,-43,e0:5a:1b:15:b2:ee,MF000C
RX_CCS_E2_20260121,1782,ADV,-42,e0:5a:1b:15:b2:ee,MF000D
RX_CCS_E2_20260121,1886,ADV,-41,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,1988,ADV,-42,e0:5a:1b:15:b2:ee,MF000F
RX_CCS_E2_20260121,2097,ADV,-43,e0:5a:1b:15:b2:ee,MF0010
RX_CCS_E2_20260121,2209,ADV,-40,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,2307,ADV,-41,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,2658,ADV,-46,e0:5a:1b:15:b2:ee,MF0015
RX_CCS_E2_20260121,2741,ADV,-39,e0:5a:1b:15:b2:ee,MF0016
RX_CCS_E2_20260121,2852,ADV,-41,e0:5a:1b:15:b2:ee,MF0017
RX_CCS_E2_20260121,2945,ADV,-45,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,3051,ADV,-40,e0:5a:1b:15:b2:ee,MF0019
RX_CCS_E2_20260121,3159,ADV,-41,e0:5a:1b:15:b2:ee,MF001A
RX_CCS_E2_20260121,3266,ADV,-45,e0:5a:1b:15:b2:ee,MF001C
RX_CCS_E2_20260121,3369,ADV,-39,e0:5a:1b:15:b2:ee,MF001D
RX_CCS_E2_20260121,3477,ADV,-41,e0:5a:1b:15:b2:ee,MF001E
RX_CCS_E2_20260121,3587,ADV,-46,e0:5a:1b:15:b2:ee,MF001F
RX_CCS_E2_20260121,3707,ADV,-42,e0:5a:1b:15:b2:ee,MF0020
RX_CCS_E2_20260121,3790,ADV,-42,e0:5a:1b:15:b2:ee,MF0021
RX_CCS_E2_20260121,3898,ADV,-49,e0:5a:1b:15:b2:ee,MF0022
RX_CCS_E2_20260121,4009,ADV,-46,e0:5a:1b:15:b2:ee,MF0023
RX_CCS_E2_20260121,4107,ADV,-48,e0:5a:1b:15:b2:ee,MF0024
RX_CCS_E2_20260121,4429,ADV,-54,e0:5a:1b:15:b2:ee,MF0027
RX_CCS_E2_20260121,6235,ADV,-44,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,6329,ADV,-40,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,6432,ADV,-41,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,6535,ADV,-45,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,6744,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,6948,ADV,-41,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,7061,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,7161,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,7264,ADV,-37,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,7378,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,7480,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,7591,ADV,-37,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,7698,ADV,-41,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,7806,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,7908,ADV,-38,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,8263,ADV,-41,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,8330,ADV,-43,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,8435,ADV,-40,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,8540,ADV,-41,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,8649,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,8747,ADV,-40,e0:5a:1b:15:b2:ee,MF0000
