prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=3, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 22 2026 00:57:13
RX_CCS_E2_20260121,101,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,202,ADV,-41,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,318,ADV,-40,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,421,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,529,ADV,-41,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,625,ADV,-40,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,735,ADV,-43,e0:5a:1b:15:b2:ee,MF0002
RX_CCS_E2_20260121,843,ADV,-42,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,941,ADV,-40,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,1054,ADV,-42,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,1152,ADV,-41,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,1255,ADV,-37,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,1364,ADV,-42,e0:5a:1b:15:b2:ee,MF0009
RX_CCS_E2_20260121,1469,ADV,-41,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,1593,ADV,-43,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,1682,ADV,-41,e0:5a:1b:15:b2:ee,MF000C
RX_CCS_E2_20260121,1790,ADV,-40,e0:5a:1b:15:b2:ee,MF000D
RX_CCS_E2_20260121,1892,ADV,-43,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,2004,ADV,-40,e0:5a:1b:15:b2:ee,MF000F
RX_CCS_E2_20260121,2110,ADV,-39,e0:5a:1b:15:b2:ee,MF0010
RX_CCS_E2_20260121,2217,ADV,-42,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,2343,ADV,-40,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,2431,ADV,-39,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,2544,ADV,-42,e0:5a:1b:15:b2:ee,MF0014
RX_CCS_E2_20260121,2644,ADV,-40,e0:5a:1b:15:b2:ee,MF0015
RX_CCS_E2_20260121,2744,ADV,-40,e0:5a:1b:15:b2:ee,MF0016
RX_CCS_E2_20260121,2850,ADV,-42,e0:5a:1b:15:b2:ee,MF0017
RX_CCS_E2_20260121,2957,ADV,-40,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,3064,ADV,-40,e0:5a:1b:15:b2:ee,MF0019
RX_CCS_E2_20260121,3397,ADV,-42,e0:5a:1b:15:b2:ee,MF001D
RX_CCS_E2_20260121,3484,ADV,-41,e0:5a:1b:15:b2:ee,MF001E
RX_CCS_E2_20260121,3592,ADV,-40,e0:5a:1b:15:b2:ee,MF001F
RX_CCS_E2_20260121,3696,ADV,-42,e0:5a:1b:15:b2:ee,MF0020
RX_CCS_E2_20260121,3799,ADV,-40,e0:5a:1b:15:b2:ee,MF0021
RX_CCS_E2_20260121,3914,ADV,-40,e0:5a:1b:15:b2:ee,MF0022
RX_CCS_E2_20260121,4022,ADV,-42,e0:5a:1b:15:b2:ee,MF0023
RX_CCS_E2_20260121,4118,ADV,-40,e0:5a:1b:15:b2:ee,MF0024
RX_CCS_E2_20260121,4222,ADV,-40,e0:5a:1b:15:b2:ee,MF0025
RX_CCS_E2_20260121,4323,ADV,-42,e0:5a:1b:15:b2:ee,MF0026
RX_CCS_E2_20260121,4442,ADV,-41,e0:5a:1b:15:b2:ee,MF0027
RX_CCS_E2_20260121,4535,ADV,-40,e0:5a:1b:15:b2:ee,MF0028
RX_CCS_E2_20260121,4650,ADV,-43,e0:5a:1b:15:b2:ee,MF0029
RX_CCS_E2_20260121,4754,ADV,-38,e0:5a:1b:15:b2:ee,MF002A
RX_CCS_E2_20260121,4856,ADV,-40,e0:5a:1b:15:b2:ee,MF002B
RX_CCS_E2_20260121,4965,ADV,-43,e0:5a:1b:15:b2:ee,MF002D
RX_CCS_E2_20260121,5065,ADV,-41,e0:5a:1b:15:b2:ee,MF002E
RX_CCS_E2_20260121,5382,ADV,-40,e0:5a:1b:15:b2:ee,MF0031
RX_CCS_E2_20260121,5490,ADV,-43,e0:5a:1b:15:b2:ee,MF0032
RX_CCS_E2_20260121,5590,ADV,-40,e0:5a:1b:15:b2:ee,MF0033
RX_CCS_E2_20260121,5708,ADV,-40,e0:5a:1b:15:b2:ee,MF0034
RX_CCS_E2_20260121,5818,ADV,-42,e0:5a:1b:15:b2:ee,MF0035
RX_CCS_E2_20260121,5909,ADV,-41,e0:5a:1b:15:b2:ee,MF0036
RX_CCS_E2_20260121,6018,ADV,-40,e0:5a:1b:15:b2:ee,MF0037
RX_CCS_E2_20260121,6126,ADV,-42,e0:5a:1b:15:b2:ee,MF0038
RX_CCS_E2_20260121,6221,ADV,-40,e0:5a:1b:15:b2:ee,MF0039
RX_CCS_E2_20260121,6331,ADV,-37,e0:5a:1b:15:b2:ee,MF003A
