prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 22 2026 00:56:40
TXSD_CCS_E2_20260121,11,4844,141900,687.4,5507
TXSD_CCS_E2_20260121,21,4952,70000,346.6,5507
TXSD_CCS_E2_20260121,31,4952,56700,280.8,5507
TXSD_CCS_E2_20260121,41,4952,72400,358.5,5507
TXSD_CCS_E2_20260121,51,4952,57400,284.2,5507
TXSD_CCS_E2_20260121,61,4952,74000,366.4,5507
TXSD_CCS_E2_20260121,71,4920,65500,322.3,5508
TXSD_CCS_E2_20260121,81,4956,74200,367.7,5508
TXSD_CCS_E2_20260121,91,4952,58100,287.7,5508
TXSD_CCS_E2_20260121,101,4952,70800,350.6,5508
TXSD_CCS_E2_20260121,111,4956,60900,301.8,5508
TXSD_CCS_E2_20260121,121,4844,137300,665.1,5508
TXSD_CCS_E2_20260121,131,4952,63600,314.9,5508
TXSD_CCS_E2_20260121,141,4944,56700,280.3,5508
TXSD_CCS_E2_20260121,151,4952,66200,327.8,5508
TXSD_CCS_E2_20260121,161,4952,56800,281.3,5508
TXSD_CCS_E2_20260121,171,4924,69300,341.2,5509
TXSD_CCS_E2_20260121,181,4952,56800,281.3,5509
TXSD_CCS_E2_20260121,191,4956,71700,355.3,5509
TXSD_CCS_E2_20260121,201,4952,56800,281.3,5509
TXSD_CCS_E2_20260121,211,4952,74100,366.9,5509
TXSD_CCS_E2_20260121,221,4952,57400,284.2,5509
TXSD_CCS_E2_20260121,231,4820,192000,925.4,5509
TXSD_CCS_E2_20260121,241,4952,57400,284.2,5509
TXSD_CCS_E2_20260121,251,4952,72200,357.5,5509
TXSD_CCS_E2_20260121,261,4956,59800,296.4,5509
TXSD_CCS_E2_20260121,271,4944,82400,407.4,5510
TXSD_CCS_E2_20260121,281,4956,62300,308.8,5510
TXSD_CCS_E2_20260121,291,4944,56700,280.3,5510
TXSD_CCS_E2_20260121,301,4952,65400,323.9,5510
TXSD_CCS_E2_20260121,311,4940,56700,280.1,5510
TXSD_CCS_E2_20260121,321,4956,68000,337.0,5510
TXSD_CCS_E2_20260121,331,4952,59200,293.2,5510
TXSD_CCS_E2_20260121,341,4952,70500,349.1,5510
TXSD_CCS_E2_20260121,351,4952,56700,280.8,5510
TXSD_CCS_E2_20260121,361,4952,72900,361.0,5510
TXSD_CCS_E2_20260121,371,4924,69400,341.7,5511
TXSD_CCS_E2_20260121,381,4956,74300,368.2,5511
TXSD_CCS_E2_20260121,391,4952,57400,284.2,5511
TXSD_CCS_E2_20260121,401,4952,73500,364.0,5511
TXSD_CCS_E2_20260121,411,4952,58500,289.7,5511
TXSD_CCS_E2_20260121,421,4948,70400,348.3,5511
TXSD_CCS_E2_20260121,431,4952,61000,302.1,5511
TXSD_CCS_E2_20260121,441,4952,113900,564.0,5511
TXSD_CCS_E2_20260121,451,4956,64100,317.7,5511
TXSD_CCS_E2_20260121,461,4944,56700,280.3,5511
TXSD_CCS_E2_20260121,471,4916,67000,329.4,5512
TXSD_CCS_E2_20260121,481,4952,56700,280.8,5512
TXSD_CCS_E2_20260121,491,4956,69600,344.9,5512
TXSD_CCS_E2_20260121,501,4952,56800,281.3,5512
TXSD_CCS_E2_20260121,511,4956,72300,358.3,5512
TXSD_CCS_E2_20260121,521,4952,57200,283.3,5512
TXSD_CCS_E2_20260121,531,4952,74000,366.4,5512
TXSD_CCS_E2_20260121,541,4840,155100,750.7,5512
TXSD_CCS_E2_20260121,551,4952,74100,366.9,5512
TXSD_CCS_E2_20260121,561,4952,57400,284.2,5512
TXSD_CCS_E2_20260121,571,4944,78000,385.6,5513
TXSD_CCS_E2_20260121,581,4956,60300,298.8,5513
TXSD_CCS_E2_20260121,591,4948,56700,280.6,5513
TXSD_CCS_E2_20260121,601,4956,62800,311.2,5513
TXSD_CCS_E2_20260121,611,4944,56700,280.3,5513
TXSD_CCS_E2_20260121,621,4956,65500,324.6,5513
TXSD_CCS_E2_20260121,631,4952,56700,280.8,5513
TXSD_CCS_E2_20260121,641,4840,156000,755.0,5513
TXSD_CCS_E2_20260121,651,4952,56700,280.8,5513
TXSD_CCS_E2_20260121,661,4956,70900,351.4,5513
TXSD_CCS_E2_20260121,671,4928,73300,361.2,5514
TXSD_CCS_E2_20260121,681,4952,73500,364.0,5514
TXSD_CCS_E2_20260121,691,4952,57400,284.2,5514
TXSD_CCS_E2_20260121,701,4952,74100,366.9,5514
TXSD_CCS_E2_20260121,711,4952,57300,283.7,5514
TXSD_CCS_E2_20260121,721,4952,73000,361.5,5514
TXSD_CCS_E2_20260121,731,4956,59100,292.9,5514
TXSD_CCS_E2_20260121,741,4948,70400,348.3,5514
TXSD_CCS_E2_20260121,751,4816,139300,670.9,5514
TXSD_CCS_E2_20260121,761,4944,56700,280.3,5514
TXSD_CCS_E2_20260121,771,4916,64700,318.1,5515
TXSD_CCS_E2_20260121,781,4940,56800,280.6,5515
TXSD_CCS_E2_20260121,791,4956,67000,332.1,5515
TXSD_CCS_E2_20260121,801,4952,56700,280.8,5515
TXSD_CCS_E2_20260121,811,4952,69700,345.2,5515
TXSD_CCS_E2_20260121,821,4952,56700,280.8,5515
TXSD_CCS_E2_20260121,831,4952,72500,359.0,5515
TXSD_CCS_E2_20260121,843,4952,57100,282.8,5515
TXSD_CCS_E2_20260121,851,4836,220400,1065.9,5515
TXSD_CCS_E2_20260121,861,4952,57300,283.7,5515
TXSD_CCS_E2_20260121,871,4944,76700,379.2,5516
TXSD_CCS_E2_20260121,881,4952,57800,286.2,5516
TXSD_CCS_E2_20260121,891,4948,71300,352.8,5516
TXSD_CCS_E2_20260121,901,4952,60800,301.1,5516
TXSD_CCS_E2_20260121,911,4948,56700,280.6,5516
TXSD_CCS_E2_20260121,921,4952,63300,313.5,5516
TXSD_CCS_E2_20260121,931,4944,56700,280.3,5516
TXSD_CCS_E2_20260121,941,4956,65800,326.1,5516
TXSD_CCS_E2_20260121,951,4952,56700,280.8,5516
TXSD_CCS_E2_20260121,961,4956,68900,341.5,5516
TXSD_CCS_E2_20260121,971,4936,77300,381.6,5517
TXSD_CCS_E2_20260121,981,4952,71300,353.1,5517
TXSD_CCS_E2_20260121,991,4952,56700,280.8,5517
TXSD_CCS_E2_20260121,1001,4952,74000,366.4,5517
TXSD_CCS_E2_20260121,1011,4952,57400,284.2,5517
TXSD_CCS_E2_20260121,1021,4956,74000,366.7,5517
TXSD_CCS_E2_20260121,1031,4952,57400,284.2,5517
TXSD_CCS_E2_20260121,1041,4952,72500,359.0,5517
TXSD_CCS_E2_20260121,1051,4952,59500,294.6,5517
TXSD_CCS_E2_20260121,1061,4852,237900,1154.3,5517
TXSD_CCS_E2_20260121,1071,4912,63000,309.5,5518
TXSD_CCS_E2_20260121,1081,4944,56700,280.3,5518
TXSD_CCS_E2_20260121,1091,4956,65100,322.6,5518
TXSD_CCS_E2_20260121,1101,4944,56700,280.3,5518
TXSD_CCS_E2_20260121,1111,4956,67600,335.0,5518
TXSD_CCS_E2_20260121,1121,4952,56800,281.3,5518
TXSD_CCS_E2_20260121,1131,4952,70100,347.1,5518
TXSD_CCS_E2_20260121,1141,4952,56700,280.8,5518
TXSD_CCS_E2_20260121,1151,4956,72600,359.8,5518
TXSD_CCS_E2_20260121,1161,4948,57800,286.0,5518
TXSD_CCS_E2_20260121,1171,4940,75800,374.5,5519
TXSD_CCS_E2_20260121,1181,4952,57400,284.2,5519
TXSD_CCS_E2_20260121,1191,4952,73800,365.5,5519
TXSD_CCS_E2_20260121,1201,4952,58200,288.2,5519
TXSD_CCS_E2_20260121,1211,4952,70800,350.6,5519
TXSD_CCS_E2_20260121,1221,4952,60900,301.6,5519
TXSD_CCS_E2_20260121,1231,4948,56700,280.6,5519
TXSD_CCS_E2_20260121,1241,4952,63700,315.4,5519
TXSD_CCS_E2_20260121,1251,4944,56800,280.8,5519
TXSD_CCS_E2_20260121,1261,4952,66400,328.8,5519
TXSD_CCS_E2_20260121,1271,4748,164900,782.9,5520
