prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=3, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 23 2026 08:25:23
RX_CCS_E2_20260121,47,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,152,ADV,-32,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,255,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,364,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,468,ADV,-32,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,674,ADV,-35,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,786,ADV,-32,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,889,ADV,-42,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,994,ADV,-34,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,1097,ADV,-32,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,1306,ADV,-35,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,1421,ADV,-32,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,1942,ADV,-32,e0:5a:1b:15:b2:ee,MF0010
RX_CCS_E2_20260121,2044,ADV,-42,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,2143,ADV,-35,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,2249,ADV,-32,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,2357,ADV,-42,e0:5a:1b:15:b2:ee,MF0014
RX_CCS_E2_20260121,2462,ADV,-35,e0:5a:1b:15:b2:ee,MF0015
RX_CCS_E2_20260121,2569,ADV,-32,e0:5a:1b:15:b2:ee,MF0016
RX_CCS_E2_20260121,2675,ADV,-42,e0:5a:1b:15:b2:ee,MF0017
RX_CCS_E2_20260121,2777,ADV,-35,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,2878,ADV,-32,e0:5a:1b:15:b2:ee,MF0019
RX_CCS_E2_20260121,2987,ADV,-42,e0:5a:1b:15:b2:ee,MF001A
RX_CCS_E2_20260121,3107,ADV,-35,e0:5a:1b:15:b2:ee,MF001B
RX_CCS_E2_20260121,3194,ADV,-32,e0:5a:1b:15:b2:ee,MF001C
RX_CCS_E2_20260121,3306,ADV,-42,e0:5a:1b:15:b2:ee,MF001E
RX_CCS_E2_20260121,3419,ADV,-34,e0:5a:1b:15:b2:ee,MF001F
RX_CCS_E2_20260121,3522,ADV,-32,e0:5a:1b:15:b2:ee,MF0020
RX_CCS_E2_20260121,4039,ADV,-32,e0:5a:1b:15:b2:ee,MF0025
