prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=4, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 23 2026 08:25:23
RX_CCS_E2_20260121,5,ADV,-42,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,109,ADV,-35,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,426,ADV,-34,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,555,ADV,-43,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,650,ADV,-35,e0:5a:1b:15:b2:ee,MF0002
RX_CCS_E2_20260121,735,ADV,-34,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,858,ADV,-43,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,951,ADV,-34,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,1057,ADV,-34,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,1159,ADV,-43,e0:5a:1b:15:b2:ee,MF0008
RX_CCS_E2_20260121,1265,ADV,-35,e0:5a:1b:15:b2:ee,MF0009
RX_CCS_E2_20260121,1379,ADV,-34,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,1481,ADV,-43,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,1586,ADV,-35,e0:5a:1b:15:b2:ee,MF000C
RX_CCS_E2_20260121,1683,ADV,-34,e0:5a:1b:15:b2:ee,MF000D
RX_CCS_E2_20260121,1798,ADV,-43,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,1892,ADV,-34,e0:5a:1b:15:b2:ee,MF000F
RX_CCS_E2_20260121,2004,ADV,-34,e0:5a:1b:15:b2:ee,MF0010
RX_CCS_E2_20260121,2210,ADV,-34,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,2528,ADV,-34,e0:5a:1b:15:b2:ee,MF0015
RX_CCS_E2_20260121,2633,ADV,-43,e0:5a:1b:15:b2:ee,MF0016
RX_CCS_E2_20260121,2746,ADV,-34,e0:5a:1b:15:b2:ee,MF0017
RX_CCS_E2_20260121,2844,ADV,-35,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,2953,ADV,-43,e0:5a:1b:15:b2:ee,MF0019
RX_CCS_E2_20260121,3054,ADV,-34,e0:5a:1b:15:b2:ee,MF001A
RX_CCS_E2_20260121,3172,ADV,-35,e0:5a:1b:15:b2:ee,MF001C
RX_CCS_E2_20260121,3265,ADV,-42,e0:5a:1b:15:b2:ee,MF001D
RX_CCS_E2_20260121,3368,ADV,-35,e0:5a:1b:15:b2:ee,MF001E
RX_CCS_E2_20260121,3481,ADV,-37,e0:5a:1b:15:b2:ee,MF001F
RX_CCS_E2_20260121,3575,ADV,-43,e0:5a:1b:15:b2:ee,MF0020
RX_CCS_E2_20260121,3681,ADV,-35,e0:5a:1b:15:b2:ee,MF0021
RX_CCS_E2_20260121,3786,ADV,-35,e0:5a:1b:15:b2:ee,MF0022
RX_CCS_E2_20260121,3893,ADV,-43,e0:5a:1b:15:b2:ee,MF0023
RX_CCS_E2_20260121,3994,ADV,-35,e0:5a:1b:15:b2:ee,MF0024
RX_CCS_E2_20260121,4095,ADV,-34,e0:5a:1b:15:b2:ee,MF0025
RX_CCS_E2_20260121,4204,ADV,-42,e0:5a:1b:15:b2:ee,MF0026
RX_CCS_E2_20260121,4307,ADV,-36,e0:5a:1b:15:b2:ee,MF0027
