prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 23 2026 07:55:09
TXSD_CCS_E2_20260121,11,4924,59000,290.5,2205
TXSD_CCS_E2_20260121,20,4924,58100,286.1,2205
TXSD_CCS_E2_20260121,30,4920,56400,277.5,2205
TXSD_CCS_E2_20260121,40,4924,58100,286.1,2205
TXSD_CCS_E2_20260121,50,4924,56400,277.7,2205
TXSD_CCS_E2_20260121,60,4896,58100,284.5,2206
TXSD_CCS_E2_20260121,70,4920,56400,277.5,2206
TXSD_CCS_E2_20260121,80,4924,58100,286.1,2206
TXSD_CCS_E2_20260121,90,4924,56400,277.7,2206
TXSD_CCS_E2_20260121,100,4924,58100,286.1,2206
TXSD_CCS_E2_20260121,110,4920,56400,277.5,2206
TXSD_CCS_E2_20260121,120,4696,167000,784.2,2206
TXSD_CCS_E2_20260121,130,4920,56500,278.0,2206
TXSD_CCS_E2_20260121,140,4924,58300,287.1,2206
TXSD_CCS_E2_20260121,150,4924,57000,280.7,2206
TXSD_CCS_E2_20260121,160,4920,111400,548.1,2207
TXSD_CCS_E2_20260121,170,4924,57100,281.2,2207
TXSD_CCS_E2_20260121,180,4924,57600,283.6,2207
TXSD_CCS_E2_20260121,190,4924,58000,285.6,2207
TXSD_CCS_E2_20260121,200,4924,56900,280.2,2207
TXSD_CCS_E2_20260121,210,4924,58100,286.1,2207
TXSD_CCS_E2_20260121,220,4920,57700,283.9,2207
TXSD_CCS_E2_20260121,230,4924,58100,286.1,2207
TXSD_CCS_E2_20260121,240,4920,56500,278.0,2207
TXSD_CCS_E2_20260121,250,4924,58100,286.1,2207
TXSD_CCS_E2_20260121,260,4752,69400,329.8,2208
TXSD_CCS_E2_20260121,270,4924,58200,286.6,2208
TXSD_CCS_E2_20260121,280,4920,56400,277.5,2208
TXSD_CCS_E2_20260121,290,4924,58100,286.1,2208
TXSD_CCS_E2_20260121,300,4920,56400,277.5,2208
TXSD_CCS_E2_20260121,310,4924,58300,287.1,2208
TXSD_CCS_E2_20260121,320,4920,57000,280.4,2208
TXSD_CCS_E2_20260121,330,4808,228000,1096.2,2208
TXSD_CCS_E2_20260121,340,4920,57100,280.9,2208
TXSD_CCS_E2_20260121,350,4924,57700,284.1,2208
TXSD_CCS_E2_20260121,360,4844,57200,277.1,2209
TXSD_CCS_E2_20260121,370,4924,57600,283.6,2209
TXSD_CCS_E2_20260121,380,4924,58200,286.6,2209
TXSD_CCS_E2_20260121,390,4920,56400,277.5,2209
TXSD_CCS_E2_20260121,400,4924,58100,286.1,2209
TXSD_CCS_E2_20260121,410,4920,56400,277.5,2209
TXSD_CCS_E2_20260121,420,4924,58100,286.1,2209
TXSD_CCS_E2_20260121,430,4768,138600,660.8,2209
TXSD_CCS_E2_20260121,440,4924,58100,286.1,2209
TXSD_CCS_E2_20260121,450,4920,56400,277.5,2209
TXSD_CCS_E2_20260121,460,4908,58100,285.2,2210
TXSD_CCS_E2_20260121,470,4920,56400,277.5,2210
TXSD_CCS_E2_20260121,480,4924,58300,287.1,2210
TXSD_CCS_E2_20260121,490,4920,56700,279.0,2210
TXSD_CCS_E2_20260121,500,4924,58100,286.1,2210
TXSD_CCS_E2_20260121,510,4924,57100,281.2,2210
TXSD_CCS_E2_20260121,520,4924,57700,284.1,2210
TXSD_CCS_E2_20260121,530,4916,96800,475.9,2210
TXSD_CCS_E2_20260121,540,4924,57600,283.6,2210
TXSD_CCS_E2_20260121,550,4924,58100,286.1,2210
TXSD_CCS_E2_20260121,560,4752,84900,403.4,2211
TXSD_CCS_E2_20260121,570,4924,58200,286.6,2211
TXSD_CCS_E2_20260121,580,4920,56400,277.5,2211
TXSD_CCS_E2_20260121,590,4924,58100,286.1,2211
TXSD_CCS_E2_20260121,600,4924,56400,277.7,2211
TXSD_CCS_E2_20260121,610,4924,58200,286.6,2211
TXSD_CCS_E2_20260121,620,4920,56400,277.5,2211
TXSD_CCS_E2_20260121,630,4928,58100,286.3,2211
TXSD_CCS_E2_20260121,640,4736,140800,666.8,2211
TXSD_CCS_E2_20260121,650,4924,58100,286.1,2211
TXSD_CCS_E2_20260121,660,4792,63300,303.3,2212
TXSD_CCS_E2_20260121,670,4924,58300,287.1,2212
TXSD_CCS_E2_20260121,680,4924,57100,281.2,2212
TXSD_CCS_E2_20260121,690,4924,57700,284.1,2212
TXSD_CCS_E2_20260121,700,4924,57100,281.2,2212
TXSD_CCS_E2_20260121,710,4924,57600,283.6,2212
TXSD_CCS_E2_20260121,720,4924,57800,284.6,2212
TXSD_CCS_E2_20260121,730,4924,57200,281.7,2212
TXSD_CCS_E2_20260121,740,4924,58100,286.1,2212
TXSD_CCS_E2_20260121,750,4688,137300,643.7,2212
TXSD_CCS_E2_20260121,760,4892,58100,284.2,2213
TXSD_CCS_E2_20260121,770,4920,56400,277.5,2213
TXSD_CCS_E2_20260121,780,4924,58100,286.1,2213
TXSD_CCS_E2_20260121,790,4920,56400,277.5,2213
TXSD_CCS_E2_20260121,800,4924,58100,286.1,2213
TXSD_CCS_E2_20260121,810,4920,56400,277.5,2213
TXSD_CCS_E2_20260121,820,4924,58100,286.1,2213
TXSD_CCS_E2_20260121,830,4920,56400,277.5,2213
TXSD_CCS_E2_20260121,842,4924,57500,283.1,2213
TXSD_CCS_E2_20260121,850,4924,57100,281.2,2213
TXSD_CCS_E2_20260121,860,4924,57700,284.1,2214
TXSD_CCS_E2_20260121,870,4924,57100,281.2,2214
TXSD_CCS_E2_20260121,880,4924,57700,284.1,2214
TXSD_CCS_E2_20260121,890,4924,57200,281.7,2214
TXSD_CCS_E2_20260121,900,4924,57700,284.1,2214
TXSD_CCS_E2_20260121,910,4924,58100,286.1,2214
TXSD_CCS_E2_20260121,920,4924,56400,277.7,2214
TXSD_CCS_E2_20260121,930,4924,58100,286.1,2214
TXSD_CCS_E2_20260121,940,4920,56400,277.5,2214
TXSD_CCS_E2_20260121,950,4924,58100,286.1,2214
TXSD_CCS_E2_20260121,960,4732,153700,727.3,2215
TXSD_CCS_E2_20260121,970,4924,58200,286.6,2215
TXSD_CCS_E2_20260121,980,4920,56500,278.0,2215
TXSD_CCS_E2_20260121,990,4924,58100,286.1,2215
TXSD_CCS_E2_20260121,1000,4924,56400,277.7,2215
TXSD_CCS_E2_20260121,1010,4924,58200,286.6,2215
TXSD_CCS_E2_20260121,1020,4920,56500,278.0,2215
TXSD_CCS_E2_20260121,1030,4924,58200,286.6,2215
TXSD_CCS_E2_20260121,1040,4924,57100,281.2,2215
TXSD_CCS_E2_20260121,1050,4924,57600,283.6,2215
TXSD_CCS_E2_20260121,1060,4724,141000,666.1,2216
TXSD_CCS_E2_20260121,1070,4776,218400,1043.1,2216
TXSD_CCS_E2_20260121,1080,4924,58100,286.1,2216
TXSD_CCS_E2_20260121,1090,4924,56500,278.2,2216
TXSD_CCS_E2_20260121,1100,4924,58000,285.6,2216
TXSD_CCS_E2_20260121,1110,4920,56500,278.0,2216
TXSD_CCS_E2_20260121,1120,4924,58100,286.1,2216
TXSD_CCS_E2_20260121,1130,4924,56400,277.7,2216
TXSD_CCS_E2_20260121,1140,4924,58100,286.1,2216
TXSD_CCS_E2_20260121,1150,4920,56400,277.5,2216
TXSD_CCS_E2_20260121,1160,4904,58200,285.4,2217
TXSD_CCS_E2_20260121,1170,4920,56400,277.5,2217
TXSD_CCS_E2_20260121,1180,4780,58200,278.2,2217
TXSD_CCS_E2_20260121,1190,4924,56400,277.7,2217
TXSD_CCS_E2_20260121,1200,4924,58300,287.1,2217
TXSD_CCS_E2_20260121,1210,4920,57100,280.9,2217
TXSD_CCS_E2_20260121,1220,4924,57700,284.1,2217
TXSD_CCS_E2_20260121,1230,4920,57100,280.9,2217
TXSD_CCS_E2_20260121,1240,4924,57600,283.6,2217
TXSD_CCS_E2_20260121,1250,4924,57500,283.1,2217
TXSD_CCS_E2_20260121,1260,4764,96300,458.8,2218
TXSD_CCS_E2_20260121,1270,4924,58100,286.1,2218
TXSD_CCS_E2_20260121,1280,4744,142400,675.5,2218
TXSD_CCS_E2_20260121,1290,4924,58200,286.6,2218
TXSD_CCS_E2_20260121,1300,4924,56500,278.2,2218
TXSD_CCS_E2_20260121,1310,4924,58200,286.6,2218
TXSD_CCS_E2_20260121,1320,4920,56400,277.5,2218
TXSD_CCS_E2_20260121,1330,4924,58100,286.1,2218
TXSD_CCS_E2_20260121,1340,4920,56500,278.0,2218
TXSD_CCS_E2_20260121,1350,4924,58100,286.1,2218
TXSD_CCS_E2_20260121,1360,4780,65100,311.2,2219
TXSD_CCS_E2_20260121,1370,4928,58300,287.3,2219
TXSD_CCS_E2_20260121,1380,4920,57100,280.9,2219
TXSD_CCS_E2_20260121,1390,4784,167300,800.4,2219
TXSD_CCS_E2_20260121,1400,4924,57100,281.2,2219
TXSD_CCS_E2_20260121,1410,4924,57600,283.6,2219
TXSD_CCS_E2_20260121,1420,4924,57000,280.7,2219
TXSD_CCS_E2_20260121,1430,4924,57700,284.1,2219
TXSD_CCS_E2_20260121,1440,4924,58100,286.1,2219
TXSD_CCS_E2_20260121,1450,4924,56400,277.7,2219
TXSD_CCS_E2_20260121,1460,4884,58100,283.8,2220
TXSD_CCS_E2_20260121,1470,4924,56400,277.7,2220
TXSD_CCS_E2_20260121,1480,4924,58200,286.6,2220
TXSD_CCS_E2_20260121,1490,4920,56400,277.5,2220
TXSD_CCS_E2_20260121,1500,4736,60100,284.6,2220
TXSD_CCS_E2_20260121,1510,4920,56400,277.5,2220
TXSD_CCS_E2_20260121,1520,4924,58200,286.6,2220
TXSD_CCS_E2_20260121,1530,4924,56400,277.7,2220
TXSD_CCS_E2_20260121,1540,4924,58300,287.1,2220
TXSD_CCS_E2_20260121,1550,4924,56400,277.7,2220
TXSD_CCS_E2_20260121,1560,4916,124800,613.5,2221
TXSD_CCS_E2_20260121,1570,4924,57100,281.2,2221
TXSD_CCS_E2_20260121,1580,4924,57600,283.6,2221
TXSD_CCS_E2_20260121,1590,4924,57100,281.2,2221
TXSD_CCS_E2_20260121,1600,4768,142800,680.9,2221
TXSD_CCS_E2_20260121,1610,4924,58100,286.1,2221
TXSD_CCS_E2_20260121,1620,4924,56800,279.7,2221
TXSD_CCS_E2_20260121,1630,4924,58100,286.1,2221
TXSD_CCS_E2_20260121,1640,4924,56500,278.2,2221
TXSD_CCS_E2_20260121,1650,4924,58100,286.1,2221
TXSD_CCS_E2_20260121,1660,4736,73200,346.7,2222
TXSD_CCS_E2_20260121,1670,4924,58100,286.1,2222
TXSD_CCS_E2_20260121,1681,4920,56400,277.5,2222
TXSD_CCS_E2_20260121,1690,4924,58200,286.6,2222
TXSD_CCS_E2_20260121,1700,4924,56400,277.7,2222
TXSD_CCS_E2_20260121,1710,4776,176200,841.5,2222
TXSD_CCS_E2_20260121,1720,4920,56400,277.5,2222
TXSD_CCS_E2_20260121,1730,4924,58300,287.1,2222
TXSD_CCS_E2_20260121,1740,4924,57000,280.7,2222
TXSD_CCS_E2_20260121,1750,4924,57700,284.1,2222
TXSD_CCS_E2_20260121,1760,4820,60000,289.2,2223
TXSD_CCS_E2_20260121,1770,4924,57600,283.6,2223
TXSD_CCS_E2_20260121,1780,4924,57200,281.7,2223
TXSD_CCS_E2_20260121,1790,4924,57700,284.1,2223
TXSD_CCS_E2_20260121,1800,4928,58100,286.3,2223
TXSD_CCS_E2_20260121,1810,4924,56400,277.7,2223
TXSD_CCS_E2_20260121,1820,4928,58200,286.8,2223
TXSD_CCS_E2_20260121,1830,4920,56400,277.5,2223
TXSD_CCS_E2_20260121,1840,4928,58100,286.3,2223
TXSD_CCS_E2_20260121,1850,4920,56400,277.5,2223
TXSD_CCS_E2_20260121,1860,4900,58200,285.2,2224
TXSD_CCS_E2_20260121,1870,4924,56500,278.2,2224
