prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 23 2026 07:55:09
TXSD_CCS_E2_20260121,11,4924,56400,277.7,8801
TXSD_CCS_E2_20260121,21,4928,58100,286.3,8801
TXSD_CCS_E2_20260121,31,4924,56400,277.7,8801
TXSD_CCS_E2_20260121,41,4924,58100,286.1,8801
TXSD_CCS_E2_20260121,51,4924,56400,277.7,8801
TXSD_CCS_E2_20260121,61,4928,58200,286.8,8801
TXSD_CCS_E2_20260121,71,4924,56400,277.7,8801
TXSD_CCS_E2_20260121,81,4672,87900,410.7,8801
TXSD_CCS_E2_20260121,91,4924,57100,281.2,8801
TXSD_CCS_E2_20260121,101,4928,57500,283.4,8801
TXSD_CCS_E2_20260121,111,4924,57000,280.7,8802
TXSD_CCS_E2_20260121,121,4924,57500,283.1,8802
TXSD_CCS_E2_20260121,131,4924,58000,285.6,8802
TXSD_CCS_E2_20260121,141,4924,56700,279.2,8802
TXSD_CCS_E2_20260121,151,4928,58100,286.3,8802
TXSD_CCS_E2_20260121,161,4924,56400,277.7,8802
TXSD_CCS_E2_20260121,171,4928,58100,286.3,8802
TXSD_CCS_E2_20260121,181,4764,141600,674.6,8802
TXSD_CCS_E2_20260121,191,4928,58200,286.8,8802
TXSD_CCS_E2_20260121,201,4924,56400,277.7,8802
TXSD_CCS_E2_20260121,211,4928,58100,286.3,8803
TXSD_CCS_E2_20260121,221,4924,56400,277.7,8803
TXSD_CCS_E2_20260121,231,4928,58100,286.3,8803
TXSD_CCS_E2_20260121,241,4924,56400,277.7,8803
TXSD_CCS_E2_20260121,251,4924,58100,286.1,8803
TXSD_CCS_E2_20260121,261,4924,57100,281.2,8803
TXSD_CCS_E2_20260121,271,4924,57400,282.6,8803
TXSD_CCS_E2_20260121,281,4924,57100,281.2,8803
TXSD_CCS_E2_20260121,291,4772,145600,694.8,8803
TXSD_CCS_E2_20260121,301,4924,57600,283.6,8803
TXSD_CCS_E2_20260121,311,4924,57200,281.7,8804
TXSD_CCS_E2_20260121,321,4928,58100,286.3,8804
TXSD_CCS_E2_20260121,331,4920,56500,278.0,8804
TXSD_CCS_E2_20260121,341,4928,58100,286.3,8804
TXSD_CCS_E2_20260121,351,4924,56300,277.2,8804
TXSD_CCS_E2_20260121,361,4924,58100,286.1,8804
TXSD_CCS_E2_20260121,371,4924,56400,277.7,8804
TXSD_CCS_E2_20260121,381,4924,58100,286.1,8804
TXSD_CCS_E2_20260121,391,4856,158800,771.1,8804
TXSD_CCS_E2_20260121,401,4928,58100,286.3,8804
TXSD_CCS_E2_20260121,411,4924,56400,277.7,8805
TXSD_CCS_E2_20260121,421,4928,58100,286.3,8805
TXSD_CCS_E2_20260121,431,4924,57000,280.7,8805
