prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=1, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 23 2026 08:25:23
RX_CCS_E2_20260121,19,ADV,-41,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,115,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,223,ADV,-32,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,331,ADV,-40,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,438,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,570,ADV,-32,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,648,ADV,-42,e0:5a:1b:15:b2:ee,MF0002
RX_CCS_E2_20260121,750,ADV,-34,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,858,ADV,-31,e0:5a:1b:15:b2:ee,MF0004
RX_CCS_E2_20260121,970,ADV,-40,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,1064,ADV,-34,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,1494,ADV,-40,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,1589,ADV,-34,e0:5a:1b:15:b2:ee,MF000C
RX_CCS_E2_20260121,1699,ADV,-32,e0:5a:1b:15:b2:ee,MF000D
RX_CCS_E2_20260121,1797,ADV,-41,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,1920,ADV,-34,e0:5a:1b:15:b2:ee,MF000F
RX_CCS_E2_20260121,2034,ADV,-31,e0:5a:1b:15:b2:ee,MF0010
RX_CCS_E2_20260121,2115,ADV,-40,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,2219,ADV,-33,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,2327,ADV,-31,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,2432,ADV,-40,e0:5a:1b:15:b2:ee,MF0014
RX_CCS_E2_20260121,2531,ADV,-33,e0:5a:1b:15:b2:ee,MF0015
RX_CCS_E2_20260121,2641,ADV,-32,e0:5a:1b:15:b2:ee,MF0016
RX_CCS_E2_20260121,2748,ADV,-40,e0:5a:1b:15:b2:ee,MF0017
RX_CCS_E2_20260121,2849,ADV,-33,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,2954,ADV,-31,e0:5a:1b:15:b2:ee,MF0019
RX_CCS_E2_20260121,3067,ADV,-40,e0:5a:1b:15:b2:ee,MF001A
RX_CCS_E2_20260121,3168,ADV,-34,e0:5a:1b:15:b2:ee,MF001B
RX_CCS_E2_20260121,3589,ADV,-40,e0:5a:1b:15:b2:ee,MF0020
RX_CCS_E2_20260121,3694,ADV,-33,e0:5a:1b:15:b2:ee,MF0021
RX_CCS_E2_20260121,3790,ADV,-31,e0:5a:1b:15:b2:ee,MF0022
RX_CCS_E2_20260121,3891,ADV,-39,e0:5a:1b:15:b2:ee,MF0023
RX_CCS_E2_20260121,3988,ADV,-33,e0:5a:1b:15:b2:ee,MF0024
