prog_id,ms,event,rssi,addr,mfd
# meta, firmware=RX_CCS_E2, program_id=RX_CCS_E2_20260121, trial_index=2, scan_interval_ms=100, scan_window_ms=90, active_scan=0, dup_filter=0, buf_size=512, build=Jan 23 2026 08:25:23
RX_CCS_E2_20260121,136,ADV,-47,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,247,ADV,-33,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,342,ADV,-32,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,448,ADV,-47,e0:5a:1b:15:b2:ee,MF0000
RX_CCS_E2_20260121,550,ADV,-33,e0:5a:1b:15:b2:ee,MF0001
RX_CCS_E2_20260121,669,ADV,-32,e0:5a:1b:15:b2:ee,MF0002
RX_CCS_E2_20260121,771,ADV,-47,e0:5a:1b:15:b2:ee,MF0003
RX_CCS_E2_20260121,877,ADV,-33,e0:5a:1b:15:b2:ee,MF0005
RX_CCS_E2_20260121,984,ADV,-32,e0:5a:1b:15:b2:ee,MF0006
RX_CCS_E2_20260121,1086,ADV,-48,e0:5a:1b:15:b2:ee,MF0007
RX_CCS_E2_20260121,1298,ADV,-32,e0:5a:1b:15:b2:ee,MF0009
RX_CCS_E2_20260121,1410,ADV,-47,e0:5a:1b:15:b2:ee,MF000A
RX_CCS_E2_20260121,1516,ADV,-32,e0:5a:1b:15:b2:ee,MF000B
RX_CCS_E2_20260121,1616,ADV,-31,e0:5a:1b:15:b2:ee,MF000C
RX_CCS_E2_20260121,1831,ADV,-32,e0:5a:1b:15:b2:ee,MF000E
RX_CCS_E2_20260121,1938,ADV,-45,e0:5a:1b:15:b2:ee,MF000F
RX_CCS_E2_20260121,2047,ADV,-32,e0:5a:1b:15:b2:ee,MF0010
RX_CCS_E2_20260121,2150,ADV,-32,e0:5a:1b:15:b2:ee,MF0011
RX_CCS_E2_20260121,2256,ADV,-45,e0:5a:1b:15:b2:ee,MF0012
RX_CCS_E2_20260121,2359,ADV,-32,e0:5a:1b:15:b2:ee,MF0013
RX_CCS_E2_20260121,2468,ADV,-32,e0:5a:1b:15:b2:ee,MF0014
RX_CCS_E2_20260121,2791,ADV,-32,e0:5a:1b:15:b2:ee,MF0018
RX_CCS_E2_20260121,3000,ADV,-32,e0:5a:1b:15:b2:ee,MF001A
RX_CCS_E2_20260121,3112,ADV,-33,e0:5a:1b:15:b2:ee,MF001B
RX_CCS_E2_20260121,3211,ADV,-45,e0:5a:1b:15:b2:ee,MF001C
RX_CCS_E2_20260121,3316,ADV,-32,e0:5a:1b:15:b2:ee,MF001D
RX_CCS_E2_20260121,3736,ADV,-47,e0:5a:1b:15:b2:ee,MF0021
RX_CCS_E2_20260121,3836,ADV,-33,e0:5a:1b:15:b2:ee,MF0022
RX_CCS_E2_20260121,3945,ADV,-33,e0:5a:1b:15:b2:ee,MF0023
RX_CCS_E2_20260121,4070,ADV,-45,e0:5a:1b:15:b2:ee,MF0024
RX_CCS_E2_20260121,4155,ADV,-32,e0:5a:1b:15:b2:ee,MF0025
RX_CCS_E2_20260121,4261,ADV,-32,e0:5a:1b:15:b2:ee,MF0026
RX_CCS_E2_20260121,4367,ADV,-43,e0:5a:1b:15:b2:ee,MF0027
RX_CCS_E2_20260121,4478,ADV,-33,e0:5a:1b:15:b2:ee,MF0028
RX_CCS_E2_20260121,4579,ADV,-32,e0:5a:1b:15:b2:ee,MF002A
RX_CCS_E2_20260121,4683,ADV,-48,e0:5a:1b:15:b2:ee,MF002B
RX_CCS_E2_20260121,4783,ADV,-33,e0:5a:1b:15:b2:ee,MF002C
RX_CCS_E2_20260121,4888,ADV,-33,e0:5a:1b:15:b2:ee,MF002D
RX_CCS_E2_20260121,5016,ADV,-48,e0:5a:1b:15:b2:ee,MF002E
RX_CCS_E2_20260121,5098,ADV,-33,e0:5a:1b:15:b2:ee,MF002F
RX_CCS_E2_20260121,5199,ADV,-33,e0:5a:1b:15:b2:ee,MF0030
RX_CCS_E2_20260121,5311,ADV,-49,e0:5a:1b:15:b2:ee,MF0031
RX_CCS_E2_20260121,5411,ADV,-33,e0:5a:1b:15:b2:ee,MF0032
RX_CCS_E2_20260121,5839,ADV,-48,e0:5a:1b:15:b2:ee,MF0036
RX_CCS_E2_20260121,5940,ADV,-33,e0:5a:1b:15:b2:ee,MF0037
RX_CCS_E2_20260121,6049,ADV,-33,e0:5a:1b:15:b2:ee,MF0038
RX_CCS_E2_20260121,6151,ADV,-49,e0:5a:1b:15:b2:ee,MF0039
RX_CCS_E2_20260121,6252,ADV,-33,e0:5a:1b:15:b2:ee,MF003A
RX_CCS_E2_20260121,6370,ADV,-33,e0:5a:1b:15:b2:ee,MF003B
RX_CCS_E2_20260121,6478,ADV,-49,e0:5a:1b:15:b2:ee,MF003C
RX_CCS_E2_20260121,6568,ADV,-34,e0:5a:1b:15:b2:ee,MF003D
RX_CCS_E2_20260121,6671,ADV,-33,e0:5a:1b:15:b2:ee,MF003E
RX_CCS_E2_20260121,6780,ADV,-48,e0:5a:1b:15:b2:ee,MF0040
RX_CCS_E2_20260121,6884,ADV,-34,e0:5a:1b:15:b2:ee,MF0041
RX_CCS_E2_20260121,7116,ADV,-48,e0:5a:1b:15:b2:ee,MF0043
RX_CCS_E2_20260121,7211,ADV,-33,e0:5a:1b:15:b2:ee,MF0044
RX_CCS_E2_20260121,7316,ADV,-33,e0:5a:1b:15:b2:ee,MF0045
RX_CCS_E2_20260121,7638,ADV,-48,e0:5a:1b:15:b2:ee,MF0048
RX_CCS_E2_20260121,7737,ADV,-33,e0:5a:1b:15:b2:ee,MF0049
RX_CCS_E2_20260121,7854,ADV,-33,e0:5a:1b:15:b2:ee,MF004A
RX_CCS_E2_20260121,7961,ADV,-48,e0:5a:1b:15:b2:ee,MF004B
RX_CCS_E2_20260121,8078,ADV,-34,e0:5a:1b:15:b2:ee,MF004C
RX_CCS_E2_20260121,8179,ADV,-33,e0:5a:1b:15:b2:ee,MF004D
RX_CCS_E2_20260121,8276,ADV,-48,e0:5a:1b:15:b2:ee,MF004F
RX_CCS_E2_20260121,8378,ADV,-34,e0:5a:1b:15:b2:ee,MF0050
RX_CCS_E2_20260121,8479,ADV,-33,e0:5a:1b:15:b2:ee,MF0051
RX_CCS_E2_20260121,8597,ADV,-48,e0:5a:1b:15:b2:ee,MF0052
RX_CCS_E2_20260121,8716,ADV,-33,e0:5a:1b:15:b2:ee,MF0053
RX_CCS_E2_20260121,8784,ADV,-33,e0:5a:1b:15:b2:ee,MF0054
RX_CCS_E2_20260121,8892,ADV,-45,e0:5a:1b:15:b2:ee,MF0055
RX_CCS_E2_20260121,8993,ADV,-33,e0:5a:1b:15:b2:ee,MF0056
