prog_id,ms,mV,uA,p_mW,tick_raw
# meta, firmware=TXSD_CCS_E2, program_id=TXSD_CCS_E2_20260121, build=Jan 23 2026 07:55:09
TXSD_CCS_E2_20260121,11,4896,55500,271.7,4
TXSD_CCS_E2_20260121,21,4900,57300,280.8,4
TXSD_CCS_E2_20260121,31,4896,55500,271.7,4
TXSD_CCS_E2_20260121,41,4900,57200,280.3,4
TXSD_CCS_E2_20260121,51,4896,56200,275.2,4
TXSD_CCS_E2_20260121,61,4900,56600,277.3,5
TXSD_CCS_E2_20260121,71,4900,56100,274.9,5
TXSD_CCS_E2_20260121,81,4900,56600,277.3,5
TXSD_CCS_E2_20260121,91,4900,56200,275.4,5
TXSD_CCS_E2_20260121,101,4896,56600,277.1,5
TXSD_CCS_E2_20260121,111,4896,56400,276.1,5
TXSD_CCS_E2_20260121,121,4896,55600,272.2,5
TXSD_CCS_E2_20260121,131,4900,57200,280.3,5
TXSD_CCS_E2_20260121,141,4896,55500,271.7,5
TXSD_CCS_E2_20260121,151,4900,57300,280.8,5
TXSD_CCS_E2_20260121,161,4896,55500,271.7,6
TXSD_CCS_E2_20260121,171,4900,57300,280.8,6
TXSD_CCS_E2_20260121,181,4896,55500,271.7,6
TXSD_CCS_E2_20260121,191,4900,57200,280.3,6
TXSD_CCS_E2_20260121,201,4896,55600,272.2,6
TXSD_CCS_E2_20260121,211,4592,135300,621.3,6
TXSD_CCS_E2_20260121,221,4896,56100,274.7,6
TXSD_CCS_E2_20260121,231,4900,56800,278.3,6
TXSD_CCS_E2_20260121,241,4900,56200,275.4,6
TXSD_CCS_E2_20260121,251,4900,56600,277.3,6
TXSD_CCS_E2_20260121,261,4896,56200,275.2,7
TXSD_CCS_E2_20260121,271,4896,56600,277.1,7
TXSD_CCS_E2_20260121,281,4896,56200,275.2,7
TXSD_CCS_E2_20260121,291,4896,55600,272.2,7
TXSD_CCS_E2_20260121,301,4900,57200,280.3,7
TXSD_CCS_E2_20260121,311,4708,216200,1017.9,7
TXSD_CCS_E2_20260121,321,4900,57200,280.3,7
TXSD_CCS_E2_20260121,331,4896,55500,271.7,7
TXSD_CCS_E2_20260121,341,4900,57200,280.3,7
TXSD_CCS_E2_20260121,351,4896,55600,272.2,7
TXSD_CCS_E2_20260121,361,4884,57200,279.4,8
TXSD_CCS_E2_20260121,371,4896,55500,271.7,8
TXSD_CCS_E2_20260121,381,4900,57300,280.8,8
TXSD_CCS_E2_20260121,391,4896,55900,273.7,8
TXSD_CCS_E2_20260121,401,4900,57000,279.3,8
TXSD_CCS_E2_20260121,411,4692,140200,657.8,8
TXSD_CCS_E2_20260121,421,4900,56600,277.3,8
TXSD_CCS_E2_20260121,431,4896,56200,275.2,8
TXSD_CCS_E2_20260121,441,4900,56600,277.3,8
TXSD_CCS_E2_20260121,451,4900,56200,275.4,8
TXSD_CCS_E2_20260121,461,4896,55600,272.2,9
TXSD_CCS_E2_20260121,471,4900,57100,279.8,9
TXSD_CCS_E2_20260121,481,4896,55500,271.7,9
TXSD_CCS_E2_20260121,491,4900,57200,280.3,9
TXSD_CCS_E2_20260121,501,4896,55500,271.7,9
TXSD_CCS_E2_20260121,511,4900,57200,280.3,9
TXSD_CCS_E2_20260121,521,4676,197400,923.0,9
TXSD_CCS_E2_20260121,531,4900,57200,280.3,9
TXSD_CCS_E2_20260121,541,4896,55500,271.7,9
TXSD_CCS_E2_20260121,551,4900,57200,280.3,9
TXSD_CCS_E2_20260121,561,4896,55600,272.2,10
TXSD_CCS_E2_20260121,571,4900,57300,280.8,10
TXSD_CCS_E2_20260121,581,4896,56200,275.2,10
TXSD_CCS_E2_20260121,591,4900,56600,277.3,10
TXSD_CCS_E2_20260121,601,4896,56200,275.2,10
TXSD_CCS_E2_20260121,611,4900,56700,277.8,10
TXSD_CCS_E2_20260121,621,4900,56200,275.4,10
TXSD_CCS_E2_20260121,631,4716,137600,648.9,10
TXSD_CCS_E2_20260121,641,4896,57200,280.1,10
TXSD_CCS_E2_20260121,651,4896,55600,272.2,10
TXSD_CCS_E2_20260121,661,4872,57200,278.7,11
TXSD_CCS_E2_20260121,671,4896,55500,271.7,11
TXSD_CCS_E2_20260121,681,4900,57200,280.3,11
TXSD_CCS_E2_20260121,691,4896,55500,271.7,11
TXSD_CCS_E2_20260121,701,4900,57200,280.3,11
TXSD_CCS_E2_20260121,711,4896,55500,271.7,11
TXSD_CCS_E2_20260121,721,4900,57200,280.3,11
TXSD_CCS_E2_20260121,731,4892,55500,271.5,11
TXSD_CCS_E2_20260121,741,4612,138100,636.9,11
TXSD_CCS_E2_20260121,751,4896,56200,275.2,11
TXSD_CCS_E2_20260121,761,4900,56600,277.3,12
TXSD_CCS_E2_20260121,771,4896,56200,275.2,12
TXSD_CCS_E2_20260121,781,4896,56600,277.1,12
TXSD_CCS_E2_20260121,791,4896,56200,275.2,12
TXSD_CCS_E2_20260121,801,4896,55600,272.2,12
TXSD_CCS_E2_20260121,811,4896,57200,280.1,12
TXSD_CCS_E2_20260121,821,4896,55500,271.7,12
TXSD_CCS_E2_20260121,831,4900,57200,280.3,12
TXSD_CCS_E2_20260121,841,4708,201100,946.8,12
TXSD_CCS_E2_20260121,851,4900,57300,280.8,12
TXSD_CCS_E2_20260121,861,4896,55500,271.7,13
TXSD_CCS_E2_20260121,871,4900,57200,280.3,13
TXSD_CCS_E2_20260121,881,4896,55600,272.2,13
TXSD_CCS_E2_20260121,893,4900,57200,280.3,13
TXSD_CCS_E2_20260121,901,4896,55500,271.7,13
TXSD_CCS_E2_20260121,911,4900,57300,280.8,13
TXSD_CCS_E2_20260121,921,4896,56200,275.2,13
TXSD_CCS_E2_20260121,931,4896,56600,277.1,13
TXSD_CCS_E2_20260121,941,4896,56200,275.2,13
TXSD_CCS_E2_20260121,951,4716,143500,676.7,13
TXSD_CCS_E2_20260121,961,4896,56200,275.2,14
TXSD_CCS_E2_20260121,971,4900,56100,274.9,14
TXSD_CCS_E2_20260121,981,4896,57100,279.6,14
TXSD_CCS_E2_20260121,991,4896,55500,271.7,14
TXSD_CCS_E2_20260121,1001,4900,57200,280.3,14
TXSD_CCS_E2_20260121,1011,4896,55500,271.7,14
TXSD_CCS_E2_20260121,1021,4900,57300,280.8,14
TXSD_CCS_E2_20260121,1031,4896,55600,272.2,14
TXSD_CCS_E2_20260121,1041,4900,57200,280.3,14
TXSD_CCS_E2_20260121,1051,4896,55500,271.7,14
TXSD_CCS_E2_20260121,1061,4488,142600,640.0,15
TXSD_CCS_E2_20260121,1071,4896,55500,271.7,15
TXSD_CCS_E2_20260121,1081,4900,57300,280.8,15
TXSD_CCS_E2_20260121,1091,4896,56200,275.2,15
TXSD_CCS_E2_20260121,1101,4896,56700,277.6,15
TXSD_CCS_E2_20260121,1111,4896,56200,275.2,15
TXSD_CCS_E2_20260121,1121,4900,56600,277.3,15
TXSD_CCS_E2_20260121,1131,4896,56200,275.2,15
TXSD_CCS_E2_20260121,1141,4900,56300,275.9,15
TXSD_CCS_E2_20260121,1151,4900,56900,278.8,15
TXSD_CCS_E2_20260121,1161,4556,87400,398.2,16
TXSD_CCS_E2_20260121,1171,4900,57200,280.3,16
TXSD_CCS_E2_20260121,1181,4896,55600,272.2,16
TXSD_CCS_E2_20260121,1191,4896,57200,280.1,16
TXSD_CCS_E2_20260121,1201,4896,55600,272.2,16
TXSD_CCS_E2_20260121,1211,4900,57200,280.3,16
TXSD_CCS_E2_20260121,1221,4896,55500,271.7,16
TXSD_CCS_E2_20260121,1231,4900,57300,280.8,16
TXSD_CCS_E2_20260121,1241,4900,55500,272.0,16
TXSD_CCS_E2_20260121,1251,4900,57300,280.8,16
TXSD_CCS_E2_20260121,1261,4708,196000,922.8,17
TXSD_CCS_E2_20260121,1271,4900,56700,277.8,17
TXSD_CCS_E2_20260121,1281,4896,56200,275.2,17
TXSD_CCS_E2_20260121,1291,4896,56600,277.1,17
TXSD_CCS_E2_20260121,1301,4896,56200,275.2,17
TXSD_CCS_E2_20260121,1311,4900,56600,277.3,17
TXSD_CCS_E2_20260121,1321,4896,56500,276.6,17
TXSD_CCS_E2_20260121,1331,4896,55500,271.7,17
TXSD_CCS_E2_20260121,1341,4900,57200,280.3,17
TXSD_CCS_E2_20260121,1351,4896,55500,271.7,17
TXSD_CCS_E2_20260121,1361,4708,131300,618.2,18
TXSD_CCS_E2_20260121,1371,4896,55600,272.2,18
TXSD_CCS_E2_20260121,1381,4900,57300,280.8,18
TXSD_CCS_E2_20260121,1391,4896,55600,272.2,18
TXSD_CCS_E2_20260121,1401,4900,57300,280.8,18
TXSD_CCS_E2_20260121,1411,4896,55600,272.2,18
TXSD_CCS_E2_20260121,1421,4900,57300,280.8,18
TXSD_CCS_E2_20260121,1431,4896,56200,275.2,18
TXSD_CCS_E2_20260121,1441,4900,56700,277.8,18
TXSD_CCS_E2_20260121,1451,4896,56100,274.7,18
TXSD_CCS_E2_20260121,1461,4696,141500,664.5,19
TXSD_CCS_E2_20260121,1471,4764,223900,1066.7,19
TXSD_CCS_E2_20260121,1481,4896,56600,277.1,19
TXSD_CCS_E2_20260121,1491,4896,56200,275.2,19
TXSD_CCS_E2_20260121,1501,4896,55600,272.2,19
TXSD_CCS_E2_20260121,1511,4900,57300,280.8,19
TXSD_CCS_E2_20260121,1521,4896,55500,271.7,19
TXSD_CCS_E2_20260121,1531,4900,57200,280.3,19
TXSD_CCS_E2_20260121,1541,4896,55500,271.7,19
TXSD_CCS_E2_20260121,1551,4900,57300,280.8,19
TXSD_CCS_E2_20260121,1561,4896,55600,272.2,20
TXSD_CCS_E2_20260121,1571,4900,57300,280.8,20
TXSD_CCS_E2_20260121,1581,4896,55500,271.7,20
TXSD_CCS_E2_20260121,1591,4900,57200,280.3,20
TXSD_CCS_E2_20260121,1601,4896,55900,273.7,20
TXSD_CCS_E2_20260121,1611,4900,57100,279.8,20
TXSD_CCS_E2_20260121,1621,4896,56100,274.7,20
TXSD_CCS_E2_20260121,1631,4900,56600,277.3,20
TXSD_CCS_E2_20260121,1641,4896,56200,275.2,20
TXSD_CCS_E2_20260121,1651,4900,56700,277.8,20
TXSD_CCS_E2_20260121,1661,4900,56200,275.4,21
TXSD_CCS_E2_20260121,1671,4896,55600,272.2,21
TXSD_CCS_E2_20260121,1681,4652,199500,928.1,21
TXSD_CCS_E2_20260121,1691,4896,55600,272.2,21
TXSD_CCS_E2_20260121,1701,4900,57200,280.3,21
TXSD_CCS_E2_20260121,1711,4896,55500,271.7,21
TXSD_CCS_E2_20260121,1721,4900,57200,280.3,21
TXSD_CCS_E2_20260121,1731,4896,55500,271.7,21
TXSD_CCS_E2_20260121,1741,4900,57300,280.8,21
TXSD_CCS_E2_20260121,1751,4896,55600,272.2,21
TXSD_CCS_E2_20260121,1761,4888,57200,279.6,22
TXSD_CCS_E2_20260121,1771,4896,55600,272.2,22
TXSD_CCS_E2_20260121,1781,4900,57200,280.3,22
TXSD_CCS_E2_20260121,1791,4900,56200,275.4,22
TXSD_CCS_E2_20260121,1801,4900,56600,277.3,22
TXSD_CCS_E2_20260121,1811,4896,56200,275.2,22
TXSD_CCS_E2_20260121,1821,4276,52900,226.2,22
TXSD_CCS_E2_20260121,1831,2828,64100,181.3,22
TXSD_CCS_E2_20260121,1841,2340,4900,11.5,22
TXSD_CCS_E2_20260121,1851,2176,3100,6.7,22
TXSD_CCS_E2_20260121,1861,2020,2200,4.4,22
TXSD_CCS_E2_20260121,1871,1896,1300,2.5,22
TXSD_CCS_E2_20260121,1881,1784,500,0.9,22
TXSD_CCS_E2_20260121,1891,1692,300,0.5,22
TXSD_CCS_E2_20260121,1901,1600,100,0.2,22
TXSD_CCS_E2_20260121,1911,1524,100,0.2,22
TXSD_CCS_E2_20260121,1921,1440,100,0.1,22
TXSD_CCS_E2_20260121,1931,1368,0,0.0,22
TXSD_CCS_E2_20260121,1941,1300,100,0.1,22
TXSD_CCS_E2_20260121,1951,1236,0,0.0,22
TXSD_CCS_E2_20260121,1961,1176,-100,-0.1,22
TXSD_CCS_E2_20260121,1971,1116,-100,-0.1,22
TXSD_CCS_E2_20260121,1981,1056,-100,-0.1,22
TXSD_CCS_E2_20260121,1991,1012,-100,-0.1,22
TXSD_CCS_E2_20260121,2001,960,-100,-0.1,22
TXSD_CCS_E2_20260121,2011,912,-100,-0.1,22
TXSD_CCS_E2_20260121,2021,872,-200,-0.2,22
TXSD_CCS_E2_20260121,2031,828,-200,-0.2,22
TXSD_CCS_E2_20260121,2041,788,-200,-0.2,22
TXSD_CCS_E2_20260121,2051,748,-100,-0.1,22
TXSD_CCS_E2_20260121,2061,716,-200,-0.1,22
TXSD_CCS_E2_20260121,2071,680,-100,-0.1,22
TXSD_CCS_E2_20260121,2081,648,-100,-0.1,22
TXSD_CCS_E2_20260121,2091,616,-100,-0.1,22
TXSD_CCS_E2_20260121,2101,588,-100,-0.1,22
TXSD_CCS_E2_20260121,2111,560,-100,-0.1,22
TXSD_CCS_E2_20260121,2121,532,-100,-0.1,22
TXSD_CCS_E2_20260121,2131,504,-100,-0.1,22
TXSD_CCS_E2_20260121,2141,484,-100,-0.0,22
TXSD_CCS_E2_20260121,2151,460,-100,-0.0,22
TXSD_CCS_E2_20260121,2161,440,-100,-0.0,22
TXSD_CCS_E2_20260121,2171,416,-200,-0.1,22
TXSD_CCS_E2_20260121,2181,396,-100,-0.0,22
